member_id,stored_validation_rank,stored_validation_r2,heldout_rank,heldout_r2,heldout_r2_ci_low,heldout_r2_ci_high,bootstrap_rank_median,bootstrap_rank_ci_low,bootstrap_rank_ci_high,bootstrap_probability_top10
2864601_0.437,1,0.9872478424249335,31,0.9853529215226179,0.9840699807973234,0.9866343203751675,33.0,9.0,68.0,0.042
2864601_0.371,2,0.9872127152434337,1,0.9864212824502696,0.9850981863036209,0.98767203068901,3.0,1.0,20.0,0.872
2864601_0.409,3,0.9869342788758352,7,0.986001407464925,0.9845767817548311,0.9872543956091959,10.0,2.0,34.0,0.536
2864601_0.386,4,0.9868647078508245,2,0.986335575055381,0.9850315529944147,0.9876391163102198,3.0,1.0,25.524999999999977,0.842
2864601_0.355,5,0.986653882857579,11,0.985904257311202,0.9844457055657991,0.9873003055844487,11.0,1.4750000000000014,46.0,0.482
2864601_0.449,6,0.9866019140829062,4,0.9861570027720173,0.9848169147613115,0.9873966941475522,7.0,1.0,27.524999999999977,0.712
2864601_0.340,7,0.986583635864816,3,0.9861602080949233,0.9848227330840326,0.9874857491820853,6.0,1.0,30.524999999999977,0.714
2864601_0.296,8,0.9864532538459632,12,0.9858276928325097,0.9846057168089042,0.987040020778231,14.0,2.0,44.0,0.344
2864601_0.270,9,0.9864491977335025,71,0.9846565881476227,0.9832134213615559,0.9860413833281528,70.0,34.0,93.0,0.0
2864601_0.352,10,0.986416399649577,9,0.9859344297312711,0.9845874555283168,0.987208890946668,10.0,1.0,46.52499999999998,0.506
2864601_0.487,11,0.9863320038324273,39,0.9852395919759178,0.9837809711829713,0.9866475540428526,41.0,9.0,81.0,0.038
2864601_0.272,12,0.9863123049070434,8,0.9859896433145027,0.984651090991772,0.9872940082394529,9.0,1.0,40.0,0.57
2864601_0.404,13,0.9863025802761562,27,0.985392340292237,0.983952882485338,0.9866634661102168,31.5,10.0,66.0,0.036
2864601_0.274,14,0.9863011474221421,51,0.9850509290193561,0.9837803804808357,0.9863954739517509,50.0,19.0,79.52499999999998,0.0
2864601_0.240,15,0.9862121823910468,23,0.9854169178374793,0.9839041767930967,0.9868410399705383,30.0,6.0,72.52499999999998,0.068
2864601_0.417,16,0.986142225711121,34,0.985318375181714,0.9837966995305145,0.9867604509304558,33.0,9.0,73.52499999999998,0.044
2864601_0.494,17,0.9861375019038452,17,0.9856596271982585,0.984314437720425,0.9869260813487578,21.0,3.0,59.52499999999998,0.202
2864601_0.260,18,0.9860957889337546,16,0.9856819011839484,0.984421999727399,0.9869724390794434,19.0,5.0,42.52499999999998,0.152
2864601_0.434,19,0.9860854698018107,45,0.9851218848369789,0.9836512730290645,0.9865487118045995,47.0,13.0,84.0,0.014
2864601_0.460,20,0.9860678115772409,57,0.9849967736237305,0.9832340289391298,0.9865034078325382,52.0,14.475000000000001,90.52499999999998,0.01
2864601_0.402,21,0.9860588516662657,29,0.9853888132723274,0.983961787229806,0.9866917643699253,31.0,7.0,71.0,0.056
2864601_0.279,22,0.9860579986253767,35,0.9852831523622168,0.9839362796641996,0.9866376566441583,37.0,12.0,74.0,0.016
2864601_0.353,23,0.9860167506013395,38,0.9852512878381968,0.9839301665934088,0.986361885719882,41.0,13.0,77.52499999999998,0.02
2864601_0.175,24,0.9859811638097008,92,0.984140848079014,0.982675977606573,0.9854639331501347,90.0,57.475,100.0,0.0
2864601_0.277,25,0.9859590916066494,74,0.9846276979027238,0.9830803052932016,0.9861204854710593,71.0,33.475,94.0,0.0
2864601_0.463,26,0.9859523324047254,60,0.9849216936757216,0.9834486259830016,0.9863095110552788,57.0,20.0,89.0,0.004
2864601_0.229,27,0.985937320854573,36,0.9852680535646461,0.9839257459995637,0.9864557139650622,39.0,13.0,68.0,0.01
2864601_0.224,28,0.985934471589765,65,0.9848386956102051,0.983450611751034,0.9861715538659899,62.0,25.475,89.0,0.0
2864601_0.373,29,0.9859143814712813,15,0.985681965987426,0.9844688902580363,0.9869005036720606,19.0,4.0,51.52499999999998,0.218
2864601_0.481,30,0.985847394695905,28,0.9853889301339721,0.9840290453208504,0.9866515235836926,32.0,6.475000000000001,69.52499999999998,0.086
2864601_0.289,31,0.9858464135742241,81,0.9844545602855018,0.9828906276518157,0.9857938776894011,78.5,52.0,96.0,0.0
2864601_0.393,32,0.9858063981875119,10,0.9859178104676489,0.984795480384969,0.9869769904728818,11.0,2.0,34.52499999999998,0.462
2864601_0.406,33,0.9857748107556049,6,0.9860797651184503,0.9849338763894803,0.9872239074601032,8.0,1.0,34.52499999999998,0.65
2864601_0.206,34,0.9857615022818809,14,0.9857977547970841,0.984576452854198,0.9869344543767006,14.0,3.0,42.0,0.31
2864601_0.284,35,0.985727893352772,13,0.9858154294076811,0.984479823865211,0.9870834188190362,15.0,3.0,45.52499999999998,0.336
2864601_0.235,36,0.9857223398231714,50,0.9850577960280191,0.9833981094157549,0.986534884193386,48.5,16.475,85.0,0.01
2864601_0.405,37,0.9857081929169128,53,0.9850338042568384,0.9834915502618553,0.9864026055636493,52.0,15.0,86.0,0.008
2864601_0.398,38,0.9857074838231263,63,0.9848840276509385,0.9833449366065428,0.9862920632009171,60.0,20.0,90.0,0.004
2864601_0.358,39,0.9856996764120354,22,0.9854344958597803,0.9841545985363545,0.9867409542009399,29.0,7.0,69.0,0.082
2864601_0.242,40,0.9856655399090926,77,0.984523947480509,0.9830966956680075,0.9858519256085185,76.0,46.475,95.0,0.0
2864601_0.490,41,0.9856578635421721,69,0.984689684999129,0.9832580049567988,0.9861488152088902,69.5,33.475,93.0,0.0
2864601_0.263,42,0.9856554305268338,56,0.9850040720151667,0.9836508566451546,0.986261842032966,53.0,22.0,87.0,0.0
2864601_0.211,43,0.9856504196671207,25,0.9854115731498508,0.9841506465037425,0.9866502187155146,31.0,8.0,66.0,0.04
2864601_0.292,44,0.9856355894813268,18,0.9855895065238939,0.9842125294280064,0.9867852125096205,25.0,5.0,59.52499999999998,0.134
2864601_0.276,45,0.985616608490206,40,0.9852378995025449,0.9836827747020195,0.986506311401673,41.0,10.0,78.0,0.03
2864601_0.427,46,0.9856069319680308,19,0.9855662412862035,0.9842401582246123,0.98680351617529,23.5,5.0,59.52499999999998,0.136
2864601_0.461,47,0.9855963883004945,66,0.9848281813030019,0.9834524335570182,0.9862370172478984,63.0,27.475,87.0,0.0
2864601_0.471,48,0.9855913167827264,5,0.9861004774479037,0.9849760979565421,0.9872497862225663,7.0,1.0,27.0,0.708
2864601_0.440,49,0.9855819756956029,21,0.9854655065895934,0.9841329620969743,0.9866463809206104,29.0,7.0,66.0,0.068
2864601_0.457,50,0.9855778643734661,26,0.9853943968973834,0.9842091207687943,0.9866421444408906,33.0,8.475000000000001,65.0,0.046
2864601_0.400,51,0.9855720411319709,33,0.9853330394931001,0.9838857279619311,0.9866726359713786,35.0,8.475000000000001,74.0,0.042
2864601_0.385,52,0.9855640560700065,58,0.9849908474776666,0.9834833673828983,0.986280134582477,54.0,14.475000000000001,88.52499999999998,0.006
2864601_0.350,53,0.9855631867421151,88,0.9843029901308028,0.9826446610368333,0.9858502745491133,85.0,48.475,99.0,0.0
2864601_0.416,54,0.9855631012522035,75,0.9845891191656448,0.9832316352657808,0.9858785333158598,74.0,43.0,91.52499999999998,0.0
2864601_0.342,55,0.985554111673061,46,0.9851056822928317,0.9837595925493037,0.9864509672583914,47.0,17.0,77.52499999999998,0.004
2864601_0.359,56,0.9855424742614327,68,0.9847014864937116,0.9832410495998138,0.9861931711529681,67.5,33.475,92.0,0.0
2864601_0.475,57,0.9855416143748738,42,0.9852035599153057,0.9837899792930788,0.9865667515012356,40.5,8.0,86.0,0.046
2864601_0.462,58,0.9855383516501591,44,0.9851387017176019,0.9838549480197107,0.9862817389066912,46.0,15.475000000000001,77.52499999999998,0.006
2864601_0.268,59,0.985519608133426,83,0.9844525709920521,0.9831253491752223,0.9860099459180386,79.5,38.475,98.0,0.0
2864601_0.262,60,0.9854941044198289,79,0.9844757248665875,0.9831960272027589,0.985806111499332,79.0,51.475,93.0,0.0
2864601_0.485,61,0.9854763912423791,32,0.9853376084337051,0.9839172209512764,0.9866335887848381,34.0,10.0,65.0,0.028
