member_id,n,r2,mse,bias,residual_q01,residual_q05,residual_q25,residual_q50,residual_q75,residual_q95,residual_q99
ensemble_mean,9785.0,0.9893106592817136,0.05175937838674417,0.005333699272144476,-0.696419689655304,-0.2908699870109558,-0.04984688758850098,0.0015548467636108398,0.06454023718833923,0.30365281105041486,0.6491670322418212
2864601_0.437,9785.0,0.9853529215226179,0.07092333354799155,0.007496459148588053,-0.8103947257995605,-0.345400595664978,-0.056331388652324677,0.0014780759811401367,0.08236777782440186,0.36494445800781244,0.7703545761108391
2864601_0.371,9785.0,0.9864212824502696,0.06575017095870865,-0.003211834164068991,-0.7701039552688599,-0.3594475626945495,-0.07091617584228516,-0.0030736923217773438,0.06609499454498291,0.33578550815582237,0.764178260564804
2864601_0.409,9785.0,0.986001407464925,0.06778326811730123,0.009043933673486123,-0.7705523115955293,-0.33919962644577023,-0.05778670310974121,0.005335569381713867,0.08337461948394775,0.3573793888092038,0.7654297113418578
2864601_0.386,9785.0,0.986335575055381,0.0661651789184596,0.0026528235678814445,-0.7436302995681763,-0.34564498662948606,-0.06794798374176025,0.0028345584869384766,0.06750988960266113,0.3563073635101317,0.7744161033630362
2864601_0.355,9785.0,0.985904257311202,0.0682536836180703,0.009239795300692551,-0.7714062404632568,-0.33751947879791255,-0.05778275430202484,0.002036571502685547,0.07760119438171387,0.37541599273681636,0.7647031867504112
2864601_0.449,9785.0,0.9861570027720173,0.06702985248697951,0.014124128681580299,-0.759104254245758,-0.31589455604553224,-0.05514955520629883,0.0041959285736083984,0.08142781257629395,0.3736031413078307,0.793807742595672
2864601_0.340,9785.0,0.9861602080949233,0.06701433183650016,-0.0006182684017518773,-0.7559313094615936,-0.35498319678008555,-0.06355679035186768,-0.0009350776672363281,0.0687713623046875,0.347661888599395,0.7449510860443113
2864601_0.296,9785.0,0.9858276928325097,0.06862442021708585,0.0035925169387068714,-0.7841410601139068,-0.3530834197998047,-0.07142579555511475,0.0017539262771606445,0.06948351860046387,0.37390494346618647,0.8176676988601683
2864601_0.270,9785.0,0.9846565881476227,0.0742950833677009,0.010259459655006537,-0.720232740342617,-0.3446936130523682,-0.06776833534240723,0.003209829330444336,0.0808144211769104,0.39488782882690354,0.8323440730571731
2864601_0.352,9785.0,0.9859344297312711,0.06810758427028443,-0.0034675263809036618,-0.8349350643157959,-0.35532536506652834,-0.0682528018951416,0.0002243518829345703,0.06163358688354492,0.34705224037170407,0.7606948947906489
2864601_0.487,9785.0,0.9852395919759178,0.07147209207713208,-0.016290925707795726,-0.8790391957759857,-0.3825228214263916,-0.08206367492675781,-0.006126880645751953,0.05750226974487305,0.3361871719360344,0.6982855987548827
2864601_0.272,9785.0,0.9859896433145027,0.06784023188421223,-0.00017855891967218467,-0.8120499897003174,-0.35941529273986816,-0.06658720970153809,0.0012850761413574219,0.07224822044372559,0.3576574563980102,0.7492406868934629
2864601_0.404,9785.0,0.985392340292237,0.07073246199978028,0.008519408288568247,-0.7321113801002502,-0.34052805751562115,-0.06478571891784668,0.0018720626831054688,0.07930028438568115,0.36581928730010943,0.8185048484802242
2864601_0.274,9785.0,0.9850509290193561,0.07238562618682085,-0.0014002444358942549,-0.8185015988349914,-0.36547236442565917,-0.06628340482711792,0.0002931356430053711,0.07694745063781738,0.3588473558425903,0.806259841918944
2864601_0.240,9785.0,0.9854169178374793,0.07061345386845232,0.0013395994052396328,-0.809280948638916,-0.3513084538280964,-0.06602239608764648,0.0013028383255004883,0.07377040386199951,0.3706121563911436,0.7477456647157669
2864601_0.417,9785.0,0.985318375181714,0.07109061207132153,-0.0016138851391604835,-0.8362637853622437,-0.3724349021911621,-0.07224512100219727,0.009419918060302734,0.07090473175048828,0.3534409046173095,0.7770922803878783
2864601_0.494,9785.0,0.9856596271982585,0.0694382190271596,0.0023376905383330647,-0.776485366821289,-0.3678867816925048,-0.06568944454193115,-0.0006706714630126953,0.07322719693183899,0.36726735830307,0.7884749889373777
2864601_0.260,9785.0,0.9856819011839484,0.06933036507396582,0.010756962364498458,-0.7541908276081085,-0.33551814556121823,-0.05677199363708496,0.004147768020629883,0.07720613479614258,0.3857832908630369,0.7905036056041708
2864601_0.434,9785.0,0.9851218848369789,0.07204204755930067,0.007442058944133243,-0.8125493551045656,-0.3432672888040542,-0.05809950828552246,0.0011388063430786133,0.08193302154541016,0.36730697751045205,0.784795236587523
2864601_0.460,9785.0,0.9849967736237305,0.07264785467104093,-0.006879218318657264,-0.786113224029541,-0.36425772309303284,-0.08510398864746094,-0.0015120506286621094,0.06114506721496582,0.3548999309539795,0.80053174495697
2864601_0.402,9785.0,0.9853888132723274,0.07074954035502115,0.004112910743876906,-0.7489208602905273,-0.3592381715774536,-0.06506597995758057,0.000997781753540039,0.07639837265014648,0.3738574981689449,0.7680550098419183
2864601_0.279,9785.0,0.9852831523622168,0.07126116620466348,0.003719586506268813,-0.8105945181846619,-0.3544734477996826,-0.0681077241897583,0.0016975998878479004,0.07740485668182373,0.37187491655349725,0.7745676755905148
2864601_0.353,9785.0,0.9852512878381968,0.07141545897157271,0.0018556893534032036,-0.814116598367691,-0.37325389385223384,-0.07128500938415527,0.0016547441482543945,0.0822221040725708,0.38018202781677246,0.7543897008895875
2864601_0.175,9785.0,0.984140848079014,0.07679237352467534,0.028397595047101633,-0.76977548122406,-0.3173550844192505,-0.04405498504638672,0.00458371639251709,0.10594391822814941,0.42718582153320284,0.8766751432418812
2864601_0.277,9785.0,0.9846276979027238,0.0744349742325184,0.008228668729059268,-0.8544543075561524,-0.35759445428848263,-0.059813737869262695,0.0015245676040649414,0.08569073677062988,0.37955330610275245,0.7591086000204084
2864601_0.463,9785.0,0.9849216936757216,0.07301140295158212,0.004272684137375338,-0.8377406871318817,-0.36179534196853635,-0.06280481815338135,0.0010073184967041016,0.07864081859588623,0.3784198284149163,0.7959472393989556
2864601_0.229,9785.0,0.9852680535646461,0.07133427682927906,0.003422250579987278,-0.8026874494552612,-0.36460092067718497,-0.06674075126647949,0.003116011619567871,0.07757571339607239,0.37258968353271404,0.7614409071207041
2864601_0.224,9785.0,0.9848386956102051,0.0734132919353513,0.01630367739546954,-0.7800592613220215,-0.34192304611206054,-0.0526583194732666,0.005124330520629883,0.09075045585632324,0.39226915836334203,0.858072414398193
2864601_0.373,9785.0,0.985681965987426,0.0693300512858846,-0.014429535615909535,-0.8512243396043777,-0.3807814836502075,-0.08509367564693093,-0.009460926055908203,0.0562591552734375,0.3470274209976195,0.7379448294639581
2864601_0.481,9785.0,0.9853889301339721,0.07074897449354833,0.007608288539452554,-0.7808186650276184,-0.34400415420532227,-0.06314516067504883,0.0015288591384887695,0.0816425085067749,0.3773038923740387,0.7763671970367428
2864601_0.289,9785.0,0.9844545602855018,0.07527333233887358,0.014983938723455997,-0.8249900364875793,-0.35095887184143065,-0.06009522080421448,0.01100611686706543,0.0927574634552002,0.39288789033889765,0.8280918359756466
2864601_0.393,9785.0,0.9859178104676489,0.06818805721777477,0.006468652526825532,-0.7770496892929077,-0.37054721713066097,-0.06194615364074707,0.002221345901489258,0.08386564254760742,0.3861577987670894,0.7972482204437248
2864601_0.406,9785.0,0.9860797651184503,0.0674038486989105,0.005748452545403859,-0.7300196022354066,-0.35413492769002913,-0.06331944465637207,0.0014897584915161133,0.07721567153930664,0.3614560365676876,0.7952894961833948
2864601_0.206,9785.0,0.9857977547970841,0.0687693846395502,0.017009173622104426,-0.7307245707511901,-0.32808462679386136,-0.05805087089538574,0.007876276969909668,0.08986395597457886,0.3918419584631919,0.8163692045211779
2864601_0.284,9785.0,0.9858154294076811,0.06868380154496652,-0.0026214736339408434,-0.79362797498703,-0.3643096685409546,-0.07013177871704102,0.001542210578918457,0.06923392415046692,0.35720412731170625,0.7158759880065912
2864601_0.235,9785.0,0.9850577960280191,0.07235237510902809,0.007998946835210177,-0.8216470527648926,-0.3477922916412353,-0.061200857162475586,0.003094792366027832,0.08077949285507202,0.37410546541213935,0.7590710949897764
