entity,function,stratum,n,r2,mse,bias,residual_q01,residual_q05,residual_q25,residual_q50,residual_q75,residual_q95,residual_q99,residual_std,cost_scope,wall_seconds,microseconds_per_sample
2864601_0.437,original_f,all,9785.0,0.9853529215226179,0.07092333354799155,0.007496459148588053,-0.8103947257995605,-0.345400595664978,-0.056331388652324677,0.0014780759811401367,0.08236777782440186,0.36494445800781244,0.7703545761108391,0.26622242545337277,single_member,3.4117610002867877,348.6725600701878
2864601_0.437,original_f,stable_near_floor,3170.0,-1126.9156379239596,0.02987425243401009,0.031115890411830476,-0.046389000415802004,-0.027618825435638428,-0.009957551956176758,0.0010150671005249023,0.014507532119750977,0.1510841906070707,0.7525357341766356,0.17004462739026538,single_member,3.4117610002867877,348.6725600701878
2864601_0.437,original_f,unstable,6615.0,0.9698619968463833,0.09059462411961985,-0.0038223008067374913,-0.9532281371951103,-0.4357969403266906,-0.12351065874099731,0.004175066947937012,0.1310276985168457,0.40638863444328294,0.7940074646472928,0.3009878890093701,single_member,3.4117610002867877,348.6725600701878
2864601_0.437,shift_averaged_bar_f,all,9785.0,0.9867526040623443,0.06414586241068539,0.009857229315342076,-0.7590953946113587,-0.32079861164093015,-0.05201232433319092,0.002461552619934082,0.07996797561645508,0.3552955150604239,0.7449580955505367,0.2530913742308656,single_member,109.75108408322558,11216.257954340886
2864601_0.437,shift_averaged_bar_f,stable_near_floor,3170.0,-941.6033824165839,0.024966026220981614,0.030570850439064136,-0.04044772386550903,-0.025470364093780517,-0.009195983409881592,0.0020937323570251465,0.01526796817779541,0.1615091562271118,0.6768672871589658,0.15504525989355455,single_member,109.75108408322558,11216.257954340886
2864601_0.437,shift_averaged_bar_f,unstable,6615.0,0.9724146440098519,0.08292138481754269,-6.902600774166293e-05,-0.8989893996715546,-0.405529773235321,-0.11370065808296204,0.003981351852416992,0.12631095107644796,0.3882855355739591,0.7586755454540245,0.2879824947878709,single_member,109.75108408322558,11216.257954340886
2864601_0.437,invariant_tilde_f,all,9785.0,0.9866075537825251,0.0648482174497968,0.010543793253288292,-0.7547515213489533,-0.31694238185882556,-0.05133959650993347,0.0024889707565307617,0.08054399490356445,0.3595354795455923,0.7535699915885915,0.2544477598590467,single_member,6.081010791938752,621.4625234480073
2864601_0.437,invariant_tilde_f,stable_near_floor,3170.0,-955.8048315556418,0.025342169313819527,0.029171476047779858,-0.04231276512145996,-0.02602677345275879,-0.00950688123703003,0.0015535354614257812,0.014548122882843018,0.15357123613357543,0.6899327719211577,0.15652131696923866,single_member,6.081010791938752,621.4625234480073
2864601_0.437,invariant_tilde_f,unstable,6615.0,0.9721289878678238,0.08378006515819407,0.0016171485883543142,-0.9081078061461448,-0.4039717197418212,-0.11384391784667969,0.005756855010986328,0.12758171558380127,0.3885712981224058,0.7652750584483139,0.28946522532584384,single_member,6.081010791938752,621.4625234480073
2864601_0.371,original_f,all,9785.0,0.9864212824502696,0.06575017095870865,-0.003211834164068991,-0.7701039552688599,-0.3594475626945495,-0.07091617584228516,-0.0030736923217773438,0.06609499454498291,0.33578550815582237,0.764178260564804,0.25641094789122804,single_member,3.027225791942328,309.3741228351894
