member_id,mean_identity_max_abs,mean_identity_relative_l2,equivariance_max_abs,equivariance_relative_l2,alignment_max_abs,alignment_relative_l2,mean_identity_pass,equivariance_pass,alignment_pass
2864601_0.437,3.5762786865234375e-07,8.385501359953196e-08,4.76837158203125e-07,1.601115329208369e-08,9.5367431640625e-07,1.4328593067602924e-07,True,True,True
2864601_0.371,1.9073486328125e-06,1.1397568044912987e-07,0.0,0.0,1.9073486328125e-06,1.588411748798535e-07,True,True,True
2864601_0.409,1.1920928955078125e-07,7.786694311562314e-08,4.76837158203125e-07,3.602922404866149e-08,5.960464477539062e-07,2.01669564603435e-07,True,True,True
2864601_0.386,4.76837158203125e-07,9.152602586937064e-08,0.0,0.0,1.1920928955078125e-06,1.949151595681542e-07,True,True,True
2864601_0.355,2.384185791015625e-07,7.593430950691982e-08,0.0,0.0,9.5367431640625e-07,1.6708719385860604e-07,True,True,True
2864601_0.449,4.76837158203125e-07,1.0485341306321061e-07,0.0,0.0,9.5367431640625e-07,1.8194857887010585e-07,True,True,True
2864601_0.340,9.5367431640625e-07,9.769182440777513e-08,0.0,0.0,1.430511474609375e-06,1.7317201184141595e-07,True,True,True
2864601_0.296,2.384185791015625e-07,8.458804501287887e-08,0.0,0.0,1.1920928955078125e-06,2.2954810674491455e-07,True,True,True
2864601_0.270,2.384185791015625e-07,9.349112417567085e-08,0.0,0.0,7.152557373046875e-07,2.663936129465583e-07,True,True,True
2864601_0.352,2.384185791015625e-07,5.4076174649253517e-08,0.0,0.0,1.0132789611816406e-06,1.3548972788157698e-07,True,True,True
2864601_0.487,3.5762786865234375e-07,9.58938457529257e-08,7.748603820800781e-07,6.231095284192634e-08,1.3113021850585938e-06,2.236731972971029e-07,True,True,True
2864601_0.272,9.5367431640625e-07,7.799025070198695e-08,0.0,0.0,1.9073486328125e-06,1.7444317279569077e-07,True,True,True
2864601_0.404,3.5762786865234375e-07,9.504773146318257e-08,0.0,0.0,1.430511474609375e-06,1.783323568815831e-07,True,True,True
