member_id,function,point_delta_residual_std_vs_f,bootstrap_median_delta,ci_95_lower,ci_95_upper,probability_improved
2864601_0.437,shift_averaged_bar_f,-0.013131051222507184,-0.01331626104531683,-0.01690079759313717,-0.009627032084166832,1.0
2864601_0.371,shift_averaged_bar_f,-0.010575247676179733,-0.010500655467295797,-0.015326819431125809,-0.006495843087736927,1.0
2864601_0.409,shift_averaged_bar_f,-0.0077298378845871984,-0.0077609847948215405,-0.01073024586327829,-0.004923554232363403,1.0
2864601_0.386,shift_averaged_bar_f,-0.013101013534190326,-0.013067824187111596,-0.01775046506552295,-0.009165539875330366,1.0
2864601_0.355,shift_averaged_bar_f,-0.012932085466055898,-0.012886174477339002,-0.016456551991340187,-0.009602870769384372,1.0
2864601_0.449,shift_averaged_bar_f,-0.012322498975746776,-0.01237329192696926,-0.016068921967409396,-0.008679031671820318,1.0
2864601_0.340,shift_averaged_bar_f,-0.020472249823081573,-0.02043305220179359,-0.024886609282305086,-0.01588422757272506,1.0
2864601_0.296,shift_averaged_bar_f,-0.009875218098390315,-0.009902036709803802,-0.012916803861804459,-0.00719884847083345,1.0
2864601_0.270,shift_averaged_bar_f,-0.015480398677864271,-0.015456909270356506,-0.021371810426455164,-0.010935985340301236,1.0
2864601_0.352,shift_averaged_bar_f,-0.012193515132017496,-0.012055771758911454,-0.01697550851436305,-0.007616566092178446,1.0
2864601_0.487,shift_averaged_bar_f,-0.01563983351554782,-0.01567125341140685,-0.019530718390446938,-0.012299633355025789,1.0
2864601_0.272,shift_averaged_bar_f,-0.011005677796678492,-0.0111669806226425,-0.01523675033015189,-0.006747070858197807,1.0
2864601_0.404,shift_averaged_bar_f,-0.011235571090051355,-0.011281913175755887,-0.014968225228719257,-0.007855261216139208,1.0
2864601_0.274,shift_averaged_bar_f,-0.009092819694679177,-0.009121775179699476,-0.011393070496574372,-0.006428130452360021,1.0
2864601_0.240,shift_averaged_bar_f,-0.01178530873159711,-0.011762734525329638,-0.015264572792635408,-0.008292323417996968,1.0
2864601_0.417,shift_averaged_bar_f,-0.00857371098400489,-0.00868082691016378,-0.012129292893371385,-0.004880685478806975,1.0
2864601_0.494,shift_averaged_bar_f,-0.004524434763238605,-0.004503551349361229,-0.008623255947673715,-0.0008519667682949499,0.992
2864601_0.260,shift_averaged_bar_f,-0.012569092259029802,-0.012442246066016696,-0.01560137746847019,-0.009855139828006006,1.0
2864601_0.434,shift_averaged_bar_f,-0.012129875286403635,-0.012128748439430653,-0.01539333835490698,-0.008700370446760738,1.0
2864601_0.460,shift_averaged_bar_f,-0.009258852663224848,-0.009019298656970626,-0.013354597858059567,-0.005623094945133486,1.0
2864601_0.402,shift_averaged_bar_f,-0.008851763046982652,-0.008804321357781836,-0.012497255808609315,-0.005480226014717123,1.0
2864601_0.279,shift_averaged_bar_f,-0.010450300719039685,-0.01042280008121027,-0.013242169342689776,-0.007783469925801497,1.0
2864601_0.353,shift_averaged_bar_f,-0.015198499419370182,-0.01502153266324699,-0.018738447933258573,-0.011315807020721812,1.0
2864601_0.175,shift_averaged_bar_f,-0.0138747684060061,-0.01367878505738293,-0.01830563473528802,-0.00944759009986557,1.0
2864601_0.277,shift_averaged_bar_f,-0.008805708712194993,-0.00897728232899711,-0.012382117610709295,-0.005603570856602714,1.0
2864601_0.463,shift_averaged_bar_f,-0.016134279091283732,-0.016070036435400517,-0.020387366072890864,-0.011728553353591482,1.0
2864601_0.229,shift_averaged_bar_f,-0.006222343029829047,-0.006235220395573976,-0.008877032357444055,-0.0036456483932513083,1.0
2864601_0.224,shift_averaged_bar_f,-0.012482444282694016,-0.012610629749539137,-0.015601855042080686,-0.008915268184683876,1.0
2864601_0.373,shift_averaged_bar_f,-0.008804604835296381,-0.008784078961078856,-0.011768590075204392,-0.005408948538650051,1.0
