entity,entity_type,gradient_set,stratum,n,mean_signed_change,mean_absolute_change,rms_change,max_absolute_change,relative_l2_change
2864601_0.437,member,varied,all,1000,-1.2438977137207984e-08,8.242134936153889e-08,1.3854599316157913e-07,9.5367431640625e-07,6.651466362178921e-08
2864601_0.437,member,varied,stable_near_floor,240,-1.9278377294540405e-08,8.751327792803447e-08,1.304818047817022e-07,3.5762786865234375e-07,6.783102864115746e-08
2864601_0.437,member,varied,unstable,760,-1.0279166561208274e-08,8.081337191948765e-08,1.4099678929783563e-07,9.5367431640625e-07,6.617162741414639e-08
2864601_0.437,member,fixed,all,1000,2.86102294921875e-09,1.0514259338378906e-07,1.3963270630213092e-07,4.76837158203125e-07,7.075901647351573e-08
2864601_0.437,member,fixed,stable_near_floor,23,-1.5549037767493206e-08,1.1920928955078125e-07,1.511983471934155e-07,3.5762786865234375e-07,7.830619694993515e-08
2864601_0.437,member,fixed,unstable,977,3.2944225362037808e-09,1.0481144291107584e-07,1.3934886981135445e-07,4.76837158203125e-07,7.057979559944154e-08
2864601_0.371,member,varied,all,1000,1.9173603504896163e-09,8.943420834839344e-08,1.4268919439390773e-07,4.76837158203125e-07,6.8841578409394e-08
2864601_0.371,member,varied,stable_near_floor,240,7.357448339462281e-09,8.832042415936787e-08,1.2767930937068928e-07,2.384185791015625e-07,6.636689951624752e-08
2864601_0.371,member,varied,unstable,760,1.994378276561436e-10,8.978592967124362e-08,1.4711132889061705e-07,4.76837158203125e-07,6.947213229576047e-08
2864601_0.371,member,fixed,all,1000,-3.814697265625e-09,1.71661376953125e-07,2.2793614201959838e-07,7.152557373046875e-07,1.113882066179188e-07
2864601_0.371,member,fixed,stable_near_floor,23,4.1464100713315216e-08,1.8658845320991849e-07,2.4354644701731167e-07,4.76837158203125e-07,1.2118396642889544e-07
2864601_0.371,member,fixed,unstable,977,-4.880625979561157e-09,1.713099718825966e-07,2.2755575151422748e-07,7.152557373046875e-07,1.1115594577562842e-07
2864601_0.409,member,varied,all,1000,6.210291758179664e-09,8.217780850827694e-08,1.3333463033112514e-07,4.76837158203125e-07,6.453041562746204e-08
2864601_0.409,member,varied,stable_near_floor,240,1.455967624982198e-08,8.776163061459859e-08,1.2743633151173155e-07,4.76837158203125e-07,6.652676331570049e-08
2864601_0.409,member,varied,unstable,760,3.5736440239768277e-09,8.041449626417537e-08,1.3514377910862142e-07,4.76837158203125e-07,6.400140473467773e-08
2864601_0.409,member,fixed,all,1000,-4.053115844726563e-09,1.0704994201660156e-07,1.601136530912477e-07,4.76837158203125e-07,7.16019220427664e-08
2864601_0.409,member,fixed,stable_near_floor,23,6.219615106997282e-08,8.292820142663043e-08,1.406116067456218e-07,2.384185791015625e-07,5.41929313386718e-08
2864601_0.409,member,fixed,unstable,977,-5.61271987649533e-09,1.076178028493235e-07,1.6054422080064142e-07,4.76837158203125e-07,7.208894067501088e-08
2864601_0.386,member,varied,all,1000,4.237750545144081e-09,8.423416875302792e-08,1.3669909179652126e-07,9.5367431640625e-07,6.560031823340814e-08
2864601_0.386,member,varied,stable_near_floor,240,-3.725290298461914e-09,9.040037790934244e-08,1.2711194181394385e-07,3.5762786865234375e-07,6.587263254436204e-08
2864601_0.386,member,varied,unstable,760,6.75239502207229e-09,8.228694480892858e-08,1.3958988199262323e-07,9.5367431640625e-07,6.552956729088053e-08
2864601_0.386,member,fixed,all,1000,1.5497207641601562e-09,1.4364719390869141e-07,1.8640155519380437e-07,5.960464477539062e-07,9.5521598358666e-08
2864601_0.386,member,fixed,stable_near_floor,23,2.591506294582201e-08,1.6067339026409647e-07,1.9729517139221565e-07,4.76837158203125e-07,1.0181145057335451e-07
2864601_0.386,member,fixed,unstable,977,9.761251959122313e-10,1.4324637250011995e-07,1.8613742276925485e-07,5.960464477539062e-07,9.537069901999655e-08
2864601_0.355,member,varied,all,1000,-6.975606083869934e-10,8.288677781820297e-08,1.386548251091483e-07,4.76837158203125e-07,6.712714762821986e-08
2864601_0.355,member,varied,stable_near_floor,240,-1.0554989178975423e-09,8.38811198870341e-08,1.217624872775483e-07,3.5762786865234375e-07,6.361471459309505e-08
2864601_0.355,member,varied,unstable,760,-5.845274580152411e-10,8.257277505962473e-08,1.435769357857939e-07,4.76837158203125e-07,6.800926555111082e-08
2864601_0.355,member,fixed,all,1000,-2.9802322387695314e-09,1.2290477752685546e-07,1.6769997460162231e-07,4.76837158203125e-07,8.387058024209281e-08
2864601_0.355,member,fixed,stable_near_floor,23,1.0366025178328804e-08,1.5549037767493207e-07,2.1669703940066951e-07,4.76837158203125e-07,1.0789116894818623e-07
2864601_0.355,member,fixed,unstable,977,-3.2944225362037808e-09,1.2213766513851795e-07,1.6637275644477112e-07,4.76837158203125e-07,8.32156157931137e-08
2864601_0.449,member,varied,all,1000,5.246605724096298e-09,8.42125155031681e-08,1.3609223624303753e-07,4.76837158203125e-07,6.578232177981137e-08
