member_id,stored_validation_rank,stored_validation_r2,block,kernel_size,output_stride,formal_span,left_extent,right_extent,center_offset,unique_periodic_positions,wraps,globally_connected
2864601_0.437,1,0.9872478424249335,1,13,2,14,6,7,0.5,14,False,False
2864601_0.437,1,0.9872478424249335,2,5,4,24,10,13,1.5,24,False,False
2864601_0.437,1,0.9872478424249335,3,3,8,36,14,21,3.5,36,False,False
2864601_0.437,1,0.9872478424249335,4,8,16,100,38,61,11.5,96,True,True
2864601_0.437,1,0.9872478424249335,5,5,32,180,70,109,19.5,96,True,True
2864601_0.371,2,0.9872127152434337,1,3,2,4,1,2,0.5,4,False,False
2864601_0.371,2,0.9872127152434337,2,7,4,18,7,10,1.5,18,False,False
2864601_0.371,2,0.9872127152434337,3,10,8,58,23,34,5.5,58,False,False
2864601_0.371,2,0.9872127152434337,4,10,16,138,55,82,13.5,96,True,True
2864601_0.371,2,0.9872127152434337,5,12,32,330,135,194,29.5,96,True,True
2864601_0.409,3,0.9869342788758352,1,5,2,6,2,3,0.5,6,False,False
2864601_0.409,3,0.9869342788758352,2,10,4,26,10,15,2.5,26,False,False
2864601_0.409,3,0.9869342788758352,3,5,8,46,18,27,4.5,46,False,False
2864601_0.409,3,0.9869342788758352,4,11,16,134,58,75,8.5,96,True,True
2864601_0.409,3,0.9869342788758352,5,6,32,230,90,139,24.5,96,True,True
2864601_0.386,4,0.9868647078508245,1,10,2,11,4,6,1.0,11,False,False
2864601_0.386,4,0.9868647078508245,2,2,4,15,4,10,3.0,15,False,False
2864601_0.386,4,0.9868647078508245,3,3,8,27,8,18,5.0,27,False,False
2864601_0.386,4,0.9868647078508245,4,12,16,123,48,74,13.0,96,True,True
2864601_0.386,4,0.9868647078508245,5,5,32,203,80,122,21.0,96,True,True
2864601_0.355,5,0.986653882857579,1,6,2,7,2,4,1.0,7,False,False
2864601_0.355,5,0.986653882857579,2,7,4,21,8,12,2.0,21,False,False
2864601_0.355,5,0.986653882857579,3,5,8,41,16,24,4.0,41,False,False
2864601_0.355,5,0.986653882857579,4,7,16,97,40,56,8.0,96,True,True
2864601_0.355,5,0.986653882857579,5,8,32,225,88,136,24.0,96,True,True
2864601_0.449,6,0.9866019140829062,1,10,2,11,4,6,1.0,11,False,False
2864601_0.449,6,0.9866019140829062,2,4,4,19,6,12,3.0,19,False,False
2864601_0.449,6,0.9866019140829062,3,2,8,27,6,20,7.0,27,False,False
2864601_0.449,6,0.9866019140829062,4,12,16,123,46,76,15.0,96,True,True
2864601_0.449,6,0.9866019140829062,5,2,32,155,46,108,31.0,96,True,True
2864601_0.340,7,0.986583635864816,1,3,2,4,1,2,0.5,4,False,False
2864601_0.340,7,0.986583635864816,2,2,4,8,1,6,2.5,8,False,False
2864601_0.340,7,0.986583635864816,3,3,8,20,5,14,4.5,20,False,False
2864601_0.340,7,0.986583635864816,4,7,16,76,29,46,8.5,76,False,False
2864601_0.340,7,0.986583635864816,5,5,32,156,61,94,16.5,96,True,True
2864601_0.296,8,0.9864532538459632,1,15,2,16,7,8,0.5,16,False,False
2864601_0.296,8,0.9864532538459632,2,16,4,48,21,26,2.5,48,False,False
2864601_0.296,8,0.9864532538459632,3,10,8,88,37,50,6.5,88,False,False
2864601_0.296,8,0.9864532538459632,4,9,16,160,69,90,10.5,96,True,True
2864601_0.296,8,0.9864532538459632,5,12,32,352,149,202,26.5,96,True,True
2864601_0.270,9,0.9864491977335025,1,3,2,4,1,2,0.5,4,False,False
2864601_0.270,9,0.9864491977335025,2,2,4,8,1,6,2.5,8,False,False
2864601_0.270,9,0.9864491977335025,3,10,8,48,17,30,6.5,48,False,False
2864601_0.270,9,0.9864491977335025,4,6,16,96,33,62,14.5,96,False,True
2864601_0.270,9,0.9864491977335025,5,12,32,288,113,174,30.5,96,True,True
2864601_0.352,10,0.986416399649577,1,4,2,5,1,3,1.0,5,False,False
2864601_0.352,10,0.986416399649577,2,5,4,15,5,9,2.0,15,False,False
2864601_0.352,10,0.986416399649577,3,13,8,67,29,37,4.0,67,False,False
2864601_0.352,10,0.986416399649577,4,8,16,131,53,77,12.0,96,True,True
2864601_0.352,10,0.986416399649577,5,7,32,243,101,141,20.0,96,True,True
2864601_0.487,11,0.9863320038324273,1,7,2,8,3,4,0.5,8,False,False
2864601_0.487,11,0.9863320038324273,2,12,4,32,13,18,2.5,32,False,False
2864601_0.487,11,0.9863320038324273,3,4,8,48,17,30,6.5,48,False,False
2864601_0.487,11,0.9863320038324273,4,16,16,176,73,102,14.5,96,True,True
2864601_0.487,11,0.9863320038324273,5,2,32,208,73,134,30.5,96,True,True
2864601_0.272,12,0.9863123049070434,1,9,2,10,4,5,0.5,10,False,False
2864601_0.272,12,0.9863123049070434,2,13,4,36,16,19,1.5,36,False,False
2864601_0.272,12,0.9863123049070434,3,2,8,44,16,27,5.5,44,False,False
2864601_0.272,12,0.9863123049070434,4,16,16,172,72,99,13.5,96,True,True
2864601_0.272,12,0.9863123049070434,5,12,32,364,152,211,29.5,96,True,True
2864601_0.404,13,0.9863025802761562,1,5,2,6,2,3,0.5,6,False,False
2864601_0.404,13,0.9863025802761562,2,16,4,38,16,21,2.5,38,False,False
2864601_0.404,13,0.9863025802761562,3,10,8,78,32,45,6.5,78,False,False
2864601_0.404,13,0.9863025802761562,4,2,16,94,32,61,14.5,94,False,False
2864601_0.404,13,0.9863025802761562,5,9,32,238,96,141,22.5,96,True,True
2864601_0.274,14,0.9863011474221421,1,7,2,8,3,4,0.5,8,False,False
2864601_0.274,14,0.9863011474221421,2,11,4,30,13,16,1.5,30,False,False
2864601_0.274,14,0.9863011474221421,3,3,8,42,17,24,3.5,42,False,False
2864601_0.274,14,0.9863011474221421,4,9,16,114,49,64,7.5,96,True,True
2864601_0.274,14,0.9863011474221421,5,13,32,322,145,176,15.5,96,True,True
2864601_0.240,15,0.9862121823910468,1,7,2,8,3,4,0.5,8,False,False
2864601_0.240,15,0.9862121823910468,2,3,4,14,5,8,1.5,14,False,False
2864601_0.240,15,0.9862121823910468,3,12,8,62,25,36,5.5,62,False,False
2864601_0.240,15,0.9862121823910468,4,4,16,94,33,60,13.5,94,False,False
2864601_0.240,15,0.9862121823910468,5,9,32,238,97,140,21.5,96,True,True
2864601_0.417,16,0.986142225711121,1,5,2,6,2,3,0.5,6,False,False
2864601_0.417,16,0.986142225711121,2,15,4,36,16,19,1.5,36,False,False
2864601_0.417,16,0.986142225711121,3,9,8,72,32,39,3.5,72,False,False
2864601_0.417,16,0.986142225711121,4,11,16,160,72,87,7.5,96,True,True
2864601_0.417,16,0.986142225711121,5,7,32,272,120,151,15.5,96,True,True
2864601_0.494,17,0.9861375019038452,1,9,2,10,4,5,0.5,10,False,False
2864601_0.494,17,0.9861375019038452,2,13,4,36,16,19,1.5,36,False,False
2864601_0.494,17,0.9861375019038452,3,14,8,92,40,51,5.5,92,False,False
2864601_0.494,17,0.9861375019038452,4,10,16,172,72,99,13.5,96,True,True
2864601_0.494,17,0.9861375019038452,5,10,32,332,136,195,29.5,96,True,True
2864601_0.260,18,0.9860957889337546,1,4,2,5,1,3,1.0,5,False,False
2864601_0.260,18,0.9860957889337546,2,7,4,19,7,11,2.0,19,False,False
2864601_0.260,18,0.9860957889337546,3,4,8,35,11,23,6.0,35,False,False
2864601_0.260,18,0.9860957889337546,4,13,16,139,59,79,10.0,96,True,True
2864601_0.260,18,0.9860957889337546,5,11,32,315,139,175,18.0,96,True,True
2864601_0.434,19,0.9860854698018107,1,5,2,6,2,3,0.5,6,False,False
2864601_0.434,19,0.9860854698018107,2,6,4,18,6,11,2.5,18,False,False
2864601_0.434,19,0.9860854698018107,3,11,8,62,26,35,4.5,62,False,False
2864601_0.434,19,0.9860854698018107,4,10,16,142,58,83,12.5,96,True,True
2864601_0.434,19,0.9860854698018107,5,13,32,350,154,195,20.5,96,True,True
2864601_0.460,20,0.9860678115772409,1,11,2,12,5,6,0.5,12,False,False
2864601_0.460,20,0.9860678115772409,2,2,4,16,5,10,2.5,16,False,False
2864601_0.460,20,0.9860678115772409,3,16,8,80,33,46,6.5,80,False,False
2864601_0.460,20,0.9860678115772409,4,7,16,136,57,78,10.5,96,True,True
2864601_0.460,20,0.9860678115772409,5,7,32,248,105,142,18.5,96,True,True
2864601_0.402,21,0.9860588516662657,1,6,2,7,2,4,1.0,7,False,False
2864601_0.402,21,0.9860588516662657,2,4,4,15,4,10,3.0,15,False,False
2864601_0.402,21,0.9860588516662657,3,11,8,59,24,34,5.0,59,False,False
2864601_0.402,21,0.9860588516662657,4,9,16,131,56,74,9.0,96,True,True
2864601_0.402,21,0.9860588516662657,5,4,32,195,72,122,25.0,96,True,True
2864601_0.279,22,0.9860579986253767,1,5,2,6,2,3,0.5,6,False,False
2864601_0.279,22,0.9860579986253767,2,12,4,30,12,17,2.5,30,False,False
2864601_0.279,22,0.9860579986253767,3,10,8,70,28,41,6.5,70,False,False
2864601_0.279,22,0.9860579986253767,4,10,16,150,60,89,14.5,96,True,True
2864601_0.279,22,0.9860579986253767,5,13,32,358,156,201,22.5,96,True,True
2864601_0.353,23,0.9860167506013395,1,4,2,5,1,3,1.0,5,False,False
2864601_0.353,23,0.9860167506013395,2,2,4,9,1,7,3.0,9,False,False
2864601_0.353,23,0.9860167506013395,3,3,8,21,5,15,5.0,21,False,False
2864601_0.353,23,0.9860167506013395,4,5,16,61,21,39,9.0,61,False,False
2864601_0.353,23,0.9860167506013395,5,8,32,189,69,119,25.0,96,True,True
2864601_0.175,24,0.9859811638097008,1,7,2,8,3,4,0.5,8,False,False
2864601_0.175,24,0.9859811638097008,2,7,4,22,9,12,1.5,22,False,False
2864601_0.175,24,0.9859811638097008,3,2,8,30,9,20,5.5,30,False,False
2864601_0.175,24,0.9859811638097008,4,10,16,110,41,68,13.5,96,True,True
2864601_0.175,24,0.9859811638097008,5,2,32,142,41,100,29.5,96,True,True
2864601_0.277,25,0.9859590916066494,1,12,2,13,5,7,1.0,13,False,False
2864601_0.277,25,0.9859590916066494,2,7,4,27,11,15,2.0,27,False,False
2864601_0.277,25,0.9859590916066494,3,4,8,43,15,27,6.0,43,False,False
2864601_0.277,25,0.9859590916066494,4,13,16,147,63,83,10.0,96,True,True
2864601_0.277,25,0.9859590916066494,5,10,32,307,127,179,26.0,96,True,True
2864601_0.463,26,0.9859523324047254,1,5,2,6,2,3,0.5,6,False,False
2864601_0.463,26,0.9859523324047254,2,5,4,16,6,9,1.5,16,False,False
2864601_0.463,26,0.9859523324047254,3,9,8,52,22,29,3.5,52,False,False
2864601_0.463,26,0.9859523324047254,4,13,16,156,70,85,7.5,96,True,True
2864601_0.463,26,0.9859523324047254,5,2,32,188,70,117,23.5,96,True,True
2864601_0.229,27,0.985937320854573,1,12,2,13,5,7,1.0,13,False,False
2864601_0.229,27,0.985937320854573,2,8,4,29,11,17,3.0,29,False,False
2864601_0.229,27,0.985937320854573,3,7,8,57,23,33,5.0,57,False,False
2864601_0.229,27,0.985937320854573,4,11,16,145,63,81,9.0,96,True,True
2864601_0.229,27,0.985937320854573,5,11,32,321,143,177,17.0,96,True,True
2864601_0.224,28,0.985934471589765,1,8,2,9,3,5,1.0,9,False,False
2864601_0.224,28,0.985934471589765,2,6,4,21,7,13,3.0,21,False,False
2864601_0.224,28,0.985934471589765,3,10,8,61,23,37,7.0,61,False,False
2864601_0.224,28,0.985934471589765,4,12,16,157,63,93,15.0,96,True,True
2864601_0.224,28,0.985934471589765,5,5,32,237,95,141,23.0,96,True,True
2864601_0.373,29,0.9859143814712813,1,14,2,15,6,8,1.0,15,False,False
2864601_0.373,29,0.9859143814712813,2,4,4,23,8,14,3.0,23,False,False
2864601_0.373,29,0.9859143814712813,3,9,8,59,24,34,5.0,59,False,False
2864601_0.373,29,0.9859143814712813,4,12,16,155,64,90,13.0,96,True,True
2864601_0.373,29,0.9859143814712813,5,11,32,331,144,186,21.0,96,True,True
2864601_0.481,30,0.985847394695905,1,3,2,4,1,2,0.5,4,False,False
2864601_0.481,30,0.985847394695905,2,12,4,28,11,16,2.5,28,False,False
2864601_0.481,30,0.985847394695905,3,10,8,68,27,40,6.5,68,False,False
2864601_0.481,30,0.985847394695905,4,2,16,84,27,56,14.5,84,False,False
2864601_0.481,30,0.985847394695905,5,8,32,212,75,136,30.5,96,True,True
2864601_0.289,31,0.9858464135742241,1,7,2,8,3,4,0.5,8,False,False
2864601_0.289,31,0.9858464135742241,2,6,4,20,7,12,2.5,20,False,False
2864601_0.289,31,0.9858464135742241,3,3,8,32,11,20,4.5,32,False,False
2864601_0.289,31,0.9858464135742241,4,9,16,104,43,60,8.5,96,True,True
2864601_0.289,31,0.9858464135742241,5,13,32,312,139,172,16.5,96,True,True
2864601_0.393,32,0.9858063981875119,1,14,2,15,6,8,1.0,15,False,False
2864601_0.393,32,0.9858063981875119,2,4,4,23,8,14,3.0,23,False,False
2864601_0.393,32,0.9858063981875119,3,13,8,75,32,42,5.0,75,False,False
2864601_0.393,32,0.9858063981875119,4,7,16,131,56,74,9.0,96,True,True
2864601_0.393,32,0.9858063981875119,5,5,32,211,88,122,17.0,96,True,True
2864601_0.406,33,0.9857748107556049,1,7,2,8,3,4,0.5,8,False,False
2864601_0.406,33,0.9857748107556049,2,8,4,24,9,14,2.5,24,False,False
2864601_0.406,33,0.9857748107556049,3,3,8,36,13,22,4.5,36,False,False
2864601_0.406,33,0.9857748107556049,4,11,16,124,53,70,8.5,96,True,True
2864601_0.406,33,0.9857748107556049,5,8,32,252,101,150,24.5,96,True,True
2864601_0.206,34,0.9857615022818809,1,14,2,15,6,8,1.0,15,False,False
2864601_0.206,34,0.9857615022818809,2,5,4,25,10,14,2.0,25,False,False
2864601_0.206,34,0.9857615022818809,3,9,8,61,26,34,4.0,61,False,False
2864601_0.206,34,0.9857615022818809,4,15,16,181,82,98,8.0,96,True,True
2864601_0.206,34,0.9857615022818809,5,11,32,357,162,194,16.0,96,True,True
2864601_0.284,35,0.985727893352772,1,14,2,15,6,8,1.0,15,False,False
2864601_0.284,35,0.985727893352772,2,2,4,19,6,12,3.0,19,False,False
2864601_0.284,35,0.985727893352772,3,11,8,63,26,36,5.0,63,False,False
2864601_0.284,35,0.985727893352772,4,6,16,111,42,68,13.0,96,True,True
2864601_0.284,35,0.985727893352772,5,10,32,271,106,164,29.0,96,True,True
2864601_0.235,36,0.9857223398231714,1,7,2,8,3,4,0.5,8,False,False
2864601_0.235,36,0.9857223398231714,2,8,4,24,9,14,2.5,24,False,False
2864601_0.235,36,0.9857223398231714,3,8,8,56,21,34,6.5,56,False,False
2864601_0.235,36,0.9857223398231714,4,16,16,184,77,106,14.5,96,True,True
2864601_0.235,36,0.9857223398231714,5,13,32,392,173,218,22.5,96,True,True
2864601_0.405,37,0.9857081929169128,1,3,2,4,1,2,0.5,4,False,False
2864601_0.405,37,0.9857081929169128,2,12,4,28,11,16,2.5,28,False,False
2864601_0.405,37,0.9857081929169128,3,6,8,52,19,32,6.5,52,False,False
2864601_0.405,37,0.9857081929169128,4,11,16,140,59,80,10.5,96,True,True
2864601_0.405,37,0.9857081929169128,5,13,32,348,155,192,18.5,96,True,True
2864601_0.398,38,0.9857074838231263,1,14,2,15,6,8,1.0,15,False,False
2864601_0.398,38,0.9857074838231263,2,2,4,19,6,12,3.0,19,False,False
2864601_0.398,38,0.9857074838231263,3,16,8,83,34,48,7.0,83,False,False
2864601_0.398,38,0.9857074838231263,4,9,16,155,66,88,11.0,96,True,True
2864601_0.398,38,0.9857074838231263,5,6,32,251,98,152,27.0,96,True,True
2864601_0.358,39,0.9856996764120354,1,16,2,17,7,9,1.0,17,False,False
2864601_0.358,39,0.9856996764120354,2,2,4,21,7,13,3.0,21,False,False
2864601_0.358,39,0.9856996764120354,3,3,8,33,11,21,5.0,33,False,False
2864601_0.358,39,0.9856996764120354,4,9,16,105,43,61,9.0,96,True,True
2864601_0.358,39,0.9856996764120354,5,10,32,265,107,157,25.0,96,True,True
