contrast,contrast_type,replicate,members,treatment_family,treatment_parameter,control_family,treatment_member_median,control_member_median,paired_difference_q10,paired_difference_median,paired_difference_q90,members_positive,units
joint_permutation_minus_random_joint_shift,registered_matched_control,0,10,joint_permutation,,random_joint_shift,3.257568316681833,7.431766475307656e-07,3.0028742785314733,3.257567696555122,3.5438892974574623,10,panel_member_residual_standard_deviations
independent_shift_minus_random_joint_shift,registered_matched_control,0,10,independent_shift,,random_joint_shift,2.4131995623205214,7.431766475307656e-07,2.2302288205724214,2.4131988826306543,2.58660121843477,10,panel_member_residual_standard_deviations
channel_phase_minus_common_phase,registered_matched_control,0,10,channel_phase_scramble,,common_phase_scramble,2.9840923274519735,2.8007251109525098,-0.0406488938168167,0.40214372261532483,0.6057732309111212,8,panel_member_residual_standard_deviations
joint_permutation_minus_independent_shift,ordering_vs_colocation_comparison,0,10,joint_permutation,,independent_shift,3.257568316681833,2.4131995623205214,0.42147700968093676,0.882860533145092,1.1502329752895157,10,panel_member_residual_standard_deviations
block_permutation_L2_minus_random_joint_shift,registered_matched_control,0,10,block_permutation,block_length=2,random_joint_shift,2.9253722603156294,7.431766475307656e-07,2.745821086521701,2.925371640188918,3.194062078312436,10,panel_member_residual_standard_deviations
block_permutation_L4_minus_random_joint_shift,registered_matched_control,0,10,block_permutation,block_length=4,random_joint_shift,2.416649448026047,7.431766475307656e-07,2.2986570588775885,2.416648779485703,2.558962477196611,10,panel_member_residual_standard_deviations
block_permutation_L8_minus_random_joint_shift,registered_matched_control,0,10,block_permutation,block_length=8,random_joint_shift,1.8280615795408912,7.431766475307656e-07,1.651971646423461,1.8280608659879216,2.0077167523853703,10,panel_member_residual_standard_deviations
block_permutation_L16_minus_random_joint_shift,registered_matched_control,0,10,block_permutation,block_length=16,random_joint_shift,1.2578598004157973,7.431766475307656e-07,1.2137597976157668,1.2578590203025293,1.3750713817900184,10,panel_member_residual_standard_deviations
block_permutation_L32_minus_random_joint_shift,registered_matched_control,0,10,block_permutation,block_length=32,random_joint_shift,1.167894465525978,7.431766475307656e-07,1.097229024002762,1.1678937330260966,1.2285764764656666,10,panel_member_residual_standard_deviations
wrong_parity_minus_stellarator_parity,registered_matched_control,0,10,wrong_parity,,parity,1.255533040894755,0.13842903891413605,1.0513791082715487,1.1086622038094442,1.3092654149449146,10,panel_member_residual_standard_deviations
joint_permutation_minus_random_joint_shift,registered_matched_control,1,10,joint_permutation,,random_joint_shift,3.248878165690083,7.437666124382066e-07,2.9715019504023568,3.2488774621835654,3.5877842111267575,10,panel_member_residual_standard_deviations
independent_shift_minus_random_joint_shift,registered_matched_control,1,10,independent_shift,,random_joint_shift,2.380666708583785,7.437666124382066e-07,2.244254586121356,2.3806660739927707,2.5045078996543513,10,panel_member_residual_standard_deviations
channel_phase_minus_common_phase,registered_matched_control,1,10,channel_phase_scramble,,common_phase_scramble,3.114037240726728,2.652160922758736,-0.3543945082848804,0.6173048011821225,1.1417331795253403,8,panel_member_residual_standard_deviations
