section,item,parameter,robust_input_displacement_rms,robust_dose_comparison_scope,top10_q10,top10_median,top10_q90,top10_median_effect_per_robust_input_rms,all100_q10,all100_median,all100_q90
ladder,joint_shift,replicate=0,,not_cross_family_comparable,5.059056047951667e-07,8.11065499099066e-07,8.687340044859518e-07,,4.192220389313174e-07,7.425970940601796e-07,8.675667187803196e-07
ladder,random_joint_shift,replicate=0,,not_cross_family_comparable,6.327661856357359e-07,7.431766475307656e-07,8.120428712147048e-07,,5.903715834894631e-07,7.153542987197545e-07,8.586565641795302e-07
ladder,parity,replicate=0,,not_cross_family_comparable,0.10960957095665463,0.13842903891413605,0.153474230758857,,0.10492605805704744,0.12626947810496947,0.15347510917092969
ladder,wrong_parity,replicate=0,,not_cross_family_comparable,1.1850933571064906,1.255533040894755,1.4528253534195634,,1.1191982672051568,1.284569095811102,1.4514664600881728
ladder,joint_permutation,replicate=0,,not_cross_family_comparable,3.002875030046783,3.257568316681833,3.5438899680285307,,2.8637261439397097,3.1923416212508187,3.5469610029964143
ladder,independent_shift,replicate=0,,not_cross_family_comparable,2.2302294682658683,2.4131995623205214,2.5866019584301756,,2.0844404960781904,2.246559960844226,2.4858670210324045
ladder,common_phase_scramble,replicate=0,,not_cross_family_comparable,1.933629593446199,2.8007251109525098,4.743719289243101,,1.7326614509144866,2.3617766788355414,3.5592973208647876
ladder,channel_phase_scramble,replicate=0,,not_cross_family_comparable,2.3209597855085344,2.9840923274519735,4.88012095687463,,2.2798801772390127,2.689070616915959,3.7333262147795483
block_length_spectrum,L2,replicate=0;non_cyclic_orders_only,,not_cross_family_comparable,2.7458218865384514,2.9253722603156294,3.194062856250866,,2.592703774486207,2.8711227185413977,3.1557749574839127
block_length_spectrum,L4,replicate=0;non_cyclic_orders_only,,not_cross_family_comparable,2.298657813784716,2.416649448026047,2.5589632551350414,,2.161292171664605,2.35853027836456,2.5113749437042086
block_length_spectrum,L8,replicate=0;non_cyclic_orders_only,,not_cross_family_comparable,1.6519724464402112,1.8280615795408912,2.0077174121049377,,1.584467468092938,1.7570565741429327,1.8893647960807634
block_length_spectrum,L16,replicate=0;non_cyclic_orders_only,,not_cross_family_comparable,1.2137605459206016,1.2578598004157973,1.3750720392256577,,1.1361952635492178,1.3000824587571818,1.4403951867873332
three_block_reversal_control,L32,replicate=0;three_blocks;reversal_rotation_class,,not_cross_family_comparable,1.0972297300917164,1.167894465525978,1.228577083952903,,0.9920271410910545,1.1349913387783443,1.2753989421994854
fourier_full_attenuation,low,dose=1,2.6414578855789514,within_section_only,3.5588544003399987,3.847302077072821,4.067926887639968,1.456507066827444,,,
fourier_full_attenuation,mid,dose=1,2.5913688858088935,within_section_only,0.8973156013300357,1.2229827481530493,1.9160697357119088,0.4719446755922967,,,
fourier_full_attenuation,high,dose=1,0.371226266929482,within_section_only,0.06394701947958979,0.09945143197605501,0.1381200256003714,0.2678997712059712,,,
channel_replacement,bmag,channel=0,1.3274987170288222,within_section_only,0.5425378286736496,0.6696400729441053,0.7335343536566321,0.50443745395316,,,
channel_replacement,gbdrift,channel=1,1.996081883923508,within_section_only,2.093908479602662,2.1774666493029016,2.328306824807474,1.0908704030832959,,,
channel_replacement,cvdrift,channel=2,1.9929560617906574,within_section_only,0.9964021521190433,1.1422299744469506,1.2533774598606686,0.573133545864862,,,
channel_replacement,gbdrift0_over_shat,channel=3,1.1028758720975194,within_section_only,1.7193198520024473,1.819974368559388,2.027856731027198,1.6502078018064221,,,
channel_replacement,gds2,channel=4,10.843738949129895,within_section_only,1.7516242572084653,1.9856098573656125,2.3592833081828983,0.183111182100611,,,
channel_replacement,gds21_over_shat,channel=5,2.3278824055659957,within_section_only,1.1890196736241612,1.2730530232719741,1.3695061860532005,0.5468717063319386,,,
channel_replacement,gds22_over_shat_squared,channel=6,2.0647134823093234,within_section_only,1.8688196583431056,2.0154032496172123,2.0838311936951355,0.9761176390261379,,,
