perturbation,family,registered_dose,path_dose,replicate,validity_tag,n,reconstruction_rms_median,reconstruction_percentile_median,nearest_distance_median,nearest_percentile_median,warning_score_median,warning_score_q90,fraction_outside_heldout_central_95pct,warning_tail_definition,cyclic_anchor,interpretation
joint_shift_32,joint_shift,1.0,0.0,0,exact_symmetry,1000,0.6488106234996165,0.4697265625,2.0248319668109045,0.5869140625,0.71875,0.96484375,0.114,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
joint_shift_32,joint_shift,1.0,0.25,0,exact_symmetry,1000,0.523874480806714,0.2392578125,2.088823336549254,0.615234375,0.7734375,0.9847656250000001,0.164,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
joint_shift_32,joint_shift,1.0,0.5,0,exact_symmetry,1000,0.46820255739562106,0.158203125,2.11806713986803,0.630859375,0.828125,0.98828125,0.267,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
joint_shift_32,joint_shift,1.0,0.75,0,exact_symmetry,1000,0.5033544979602296,0.205078125,2.0906878234729147,0.615234375,0.7734375,0.98828125,0.179,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
joint_shift_32,joint_shift,1.0,1.0,0,exact_symmetry,1000,0.6509934826008577,0.474609375,2.0394346234389564,0.5908203125,0.71875,0.9652343750000001,0.113,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
stellarator_parity,parity,1.0,0.0,0,exact_symmetry,1000,0.6488106234996165,0.4697265625,2.0248319668109045,0.5869140625,0.71875,0.96484375,0.114,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
stellarator_parity,parity,1.0,0.25,0,exact_symmetry,1000,0.6477134129871365,0.466796875,2.021341368362714,0.583984375,0.71875,0.9609375,0.114,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
stellarator_parity,parity,1.0,0.5,0,exact_symmetry,1000,0.6472556020808241,0.4658203125,2.019935560829038,0.583984375,0.71875,0.9609375,0.115,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
stellarator_parity,parity,1.0,0.75,0,exact_symmetry,1000,0.6477475871454257,0.466796875,2.0200010049083046,0.583984375,0.71875,0.9609375,0.115,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
stellarator_parity,parity,1.0,1.0,0,exact_symmetry,1000,0.6494679099334162,0.4716796875,2.027329571512077,0.5888671875,0.71875,0.9613281250000001,0.114,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
wrong_parity,wrong_parity,1.0,0.0,0,deliberately_off_manifold_diagnostic,1000,0.6488106234996165,0.4697265625,2.0248319668109045,0.5869140625,0.71875,0.96484375,0.114,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
wrong_parity,wrong_parity,1.0,0.25,0,deliberately_off_manifold_diagnostic,1000,0.5520374816033174,0.2861328125,1.9897975582191156,0.560546875,0.7578125,0.98046875,0.167,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
wrong_parity,wrong_parity,1.0,0.5,0,deliberately_off_manifold_diagnostic,1000,0.5490716501140043,0.283203125,2.1585642512518857,0.642578125,0.75390625,0.9730468750000001,0.135,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
wrong_parity,wrong_parity,1.0,0.75,0,deliberately_off_manifold_diagnostic,1000,0.6478759329811542,0.466796875,2.324073596753501,0.685546875,0.68359375,0.94140625,0.081,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
wrong_parity,wrong_parity,1.0,1.0,0,deliberately_off_manifold_diagnostic,1000,0.8032413373973534,0.6767578125,2.491530655789564,0.73828125,0.65234375,0.93359375,0.06,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
random_joint_shift_r0,random_joint_shift,1.0,0.0,0,exact_symmetry,1000,0.6488106234996165,0.4697265625,2.0248319668109045,0.5869140625,0.71875,0.96484375,0.114,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
random_joint_shift_r0,random_joint_shift,1.0,0.25,0,exact_symmetry,1000,0.5293867383727788,0.248046875,2.096887879724074,0.6162109375,0.76953125,0.98828125,0.17,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
random_joint_shift_r0,random_joint_shift,1.0,0.5,0,exact_symmetry,1000,0.482128495091247,0.169921875,2.075935671277003,0.607421875,0.802734375,0.98828125,0.237,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
random_joint_shift_r0,random_joint_shift,1.0,0.75,0,exact_symmetry,1000,0.5290170478782446,0.248046875,2.0899506017993037,0.615234375,0.7734375,0.98828125,0.172,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
random_joint_shift_r0,random_joint_shift,1.0,1.0,0,exact_symmetry,1000,0.6501721361722594,0.47265625,2.0519036889849414,0.59765625,0.71875,0.96484375,0.112,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
joint_permutation_r0,joint_permutation,1.0,0.0,0,deliberately_off_manifold_diagnostic,1000,0.6488106234996165,0.4697265625,2.0248319668109045,0.5869140625,0.71875,0.96484375,0.114,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
joint_permutation_r0,joint_permutation,1.0,0.25,0,deliberately_off_manifold_diagnostic,1000,0.5645416821833221,0.3193359375,2.0249494264060397,0.5869140625,0.73828125,0.96875,0.12,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
joint_permutation_r0,joint_permutation,1.0,0.5,0,deliberately_off_manifold_diagnostic,1000,0.5928891673575649,0.37109375,2.036050751731238,0.58984375,0.69921875,0.94921875,0.099,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
joint_permutation_r0,joint_permutation,1.0,0.75,0,deliberately_off_manifold_diagnostic,1000,0.736205319169613,0.595703125,2.0577926178518204,0.6015625,0.6328125,0.94140625,0.081,two_sided_p_below_0.025_or_above_0.975,argmax_joint_robust_standardized_energy,warning_only_not_physical_validity
