member_id,window_lengths,receptive_field_positions_by_block
2864601_0.437,2;4;8;14;16;24;32;36;96,14;24;36;96;96
2864601_0.371,2;4;8;16;18;32;58;96,4;18;58;96;96
2864601_0.409,2;4;6;8;16;26;32;46;96,6;26;46;96;96
2864601_0.386,2;4;8;11;15;16;27;32;96,11;15;27;96;96
2864601_0.355,2;4;7;8;16;21;32;41;96,7;21;41;96;96
2864601_0.449,2;4;8;11;16;19;27;32;96,11;19;27;96;96
2864601_0.340,2;4;8;16;20;32;76;96,4;8;20;76;96
2864601_0.296,2;4;8;16;32;48;88;96,16;48;88;96;96
2864601_0.270,2;4;8;16;32;48;96,4;8;48;96;96
2864601_0.352,2;4;5;8;15;16;32;67;96,5;15;67;96;96
2864601_0.487,2;4;8;16;32;48;96,8;32;48;96;96
2864601_0.272,2;4;8;10;16;32;36;44;96,10;36;44;96;96
2864601_0.404,2;4;6;8;16;32;38;78;94;96,6;38;78;94;96
2864601_0.274,2;4;8;16;30;32;42;96,8;30;42;96;96
2864601_0.240,2;4;8;14;16;32;62;94;96,8;14;62;94;96
2864601_0.417,2;4;6;8;16;32;36;72;96,6;36;72;96;96
2864601_0.494,2;4;8;10;16;32;36;92;96,10;36;92;96;96
2864601_0.260,2;4;5;8;16;19;32;35;96,5;19;35;96;96
2864601_0.434,2;4;6;8;16;18;32;62;96,6;18;62;96;96
2864601_0.460,2;4;8;12;16;32;80;96,12;16;80;96;96
2864601_0.402,2;4;7;8;15;16;32;59;96,7;15;59;96;96
2864601_0.279,2;4;6;8;16;30;32;70;96,6;30;70;96;96
2864601_0.353,2;4;5;8;9;16;21;32;61;96,5;9;21;61;96
2864601_0.175,2;4;8;16;22;30;32;96,8;22;30;96;96
2864601_0.277,2;4;8;13;16;27;32;43;96,13;27;43;96;96
2864601_0.463,2;4;6;8;16;32;52;96,6;16;52;96;96
2864601_0.229,2;4;8;13;16;29;32;57;96,13;29;57;96;96
2864601_0.224,2;4;8;9;16;21;32;61;96,9;21;61;96;96
2864601_0.373,2;4;8;15;16;23;32;59;96,15;23;59;96;96
2864601_0.481,2;4;8;16;28;32;68;84;96,4;28;68;84;96
2864601_0.289,2;4;8;16;20;32;96,8;20;32;96;96
2864601_0.393,2;4;8;15;16;23;32;75;96,15;23;75;96;96
2864601_0.406,2;4;8;16;24;32;36;96,8;24;36;96;96
2864601_0.206,2;4;8;15;16;25;32;61;96,15;25;61;96;96
2864601_0.284,2;4;8;15;16;19;32;63;96,15;19;63;96;96
2864601_0.235,2;4;8;16;24;32;56;96,8;24;56;96;96
2864601_0.405,2;4;8;16;28;32;52;96,4;28;52;96;96
2864601_0.398,2;4;8;15;16;19;32;83;96,15;19;83;96;96
2864601_0.358,2;4;8;16;17;21;32;33;96,17;21;33;96;96
2864601_0.242,2;4;8;14;16;18;32;58;82;96,14;18;58;82;96
2864601_0.490,2;4;8;16;26;32;90;96,4;26;90;96;96
2864601_0.263,2;4;5;8;11;16;23;32;96,5;11;23;96;96
2864601_0.211,2;4;8;16;24;32;96,8;16;24;96;96
2864601_0.292,2;4;5;8;9;16;32;37;96,5;9;37;96;96
2864601_0.276,2;4;8;16;18;32;50;96,8;18;50;96;96
2864601_0.427,2;4;8;13;16;17;25;32;96,13;17;25;96;96
2864601_0.461,2;4;8;16;24;32;40;96,16;24;40;96;96
2864601_0.471,2;4;8;10;16;30;32;62;96,4;10;30;62;96
2864601_0.440,2;4;8;15;16;21;32;41;96,15;21;41;96;96
2864601_0.457,2;4;8;16;32;34;78;96,4;34;78;96;96
2864601_0.400,2;4;8;15;16;32;33;77;96,15;33;77;96;96
2864601_0.385,2;4;8;14;16;32;34;66;96,14;34;66;96;96
2864601_0.350,2;4;8;10;14;16;32;54;96,10;14;54;96;96
2864601_0.416,2;4;7;8;16;32;37;81;96,7;37;81;96;96
2864601_0.342,2;4;8;10;16;32;36;96,10;36;96;96;96
2864601_0.359,2;4;8;11;16;32;33;41;96,11;33;41;96;96
2864601_0.475,2;4;8;9;16;32;41;85;96,9;41;85;96;96
2864601_0.462,2;4;8;10;16;18;32;78;96,10;18;78;96;96
2864601_0.268,2;4;8;16;22;32;70;96,16;22;70;96;96
2864601_0.262,2;4;8;12;16;30;32;70;96,12;30;70;96;96
2864601_0.485,2;4;8;16;17;23;32;51;96,17;23;51;96;96
2864601_0.473,2;4;8;16;32;40;84;96,8;40;84;96;96
2864601_0.189,2;4;8;9;15;16;32;43;96,9;15;43;96;96
2864601_0.395,2;4;8;14;16;32;46;74;96,14;46;74;96;96
2864601_0.237,2;4;8;16;20;32;72;96,16;20;72;96;96
2864601_0.372,2;4;8;16;17;32;41;65;96,17;41;65;96;96
2864601_0.472,2;4;8;15;16;21;32;81;96,15;21;81;96;96
2864601_0.436,2;3;4;8;16;29;32;77;96,3;29;77;96;96
2864601_0.454,2;4;8;15;16;27;32;55;96,15;27;55;96;96
2864601_0.377,2;4;8;13;16;32;35;59;96,13;35;59;96;96
2864601_0.212,2;4;8;16;30;32;78;96,8;30;78;96;96
2864601_0.123,2;4;7;8;16;25;32;85;96,7;25;85;96;96
2864601_0.288,2;4;8;16;17;31;32;63;96,17;31;63;96;96
2864601_0.349,2;4;8;15;16;32;43;55;96,15;43;55;96;96
2864601_0.510,2;4;8;16;28;32;68;96,16;28;68;96;96
2864601_0.376,2;4;8;12;16;30;32;42;96,12;30;42;96;96
2864601_0.305,2;4;8;16;17;32;35;47;71;96,17;35;47;71;96
2864601_0.496,2;4;8;15;16;27;32;75;91;96,15;27;75;91;96
2864601_0.261,2;4;8;16;17;32;43;71;96,17;43;71;96;96
2864601_0.252,2;4;8;13;16;32;37;77;96,13;37;77;96;96
2864601_0.208,2;4;5;8;16;23;32;71;96,5;23;71;96;96
2864601_0.230,2;4;7;8;15;16;32;55;96,7;15;55;96;96
2864601_0.452,2;4;8;13;16;32;45;96,13;45;96;96;96
2864601_0.498,2;4;8;12;16;32;40;96,12;16;40;96;96
2864601_0.271,2;4;8;12;16;32;34;66;96,12;34;66;96;96
2864601_0.450,2;4;8;14;16;32;50;66;96,4;14;50;66;96
2864601_0.46,2;3;4;8;16;31;32;59;96,3;31;59;96;96
2864601_0.308,2;4;8;14;16;22;32;78;96,14;22;78;96;96
2864601_0.163,2;4;8;11;16;27;32;39;96,11;27;39;96;96
2864601_0.246,2;4;5;8;16;31;32;67;96,5;31;67;96;96
2864601_0.438,2;4;8;12;16;28;32;96,8;12;28;96;96
2864601_0.362,2;4;8;15;16;31;32;71;96,15;31;71;96;96
2864601_0.136,2;4;8;12;16;32;44;96,12;44;96;96;96
2864601_0.250,2;4;8;16;28;32;64;96,16;28;64;96;96
2864601_0.247,2;4;8;16;32;38;46;96,16;38;46;96;96
2864601_0.382,2;4;8;15;16;29;32;61;96,15;29;61;96;96
2864601_0.307,2;4;7;8;16;25;32;61;96,7;25;61;96;96
2864601_0.339,2;4;8;15;16;25;32;33;96,15;25;33;96;96
2864601_0.426,2;4;8;15;16;23;32;43;96,15;23;43;96;96
2864601_0.379,2;4;6;8;14;16;32;34;58;96,6;14;34;58;96
