entity,entity_type,convention,a_over_LT_input,n,prediction_mean,prediction_std,prediction_min,prediction_max,fraction_within_0p05_of_floor,r2_against_fixed_target,mean_absolute_error
2864601_0.437,member,training,3.0,1000,2.0131109203323723,1.1516679055240588,-2.0027825832366943,6.129403114318848,0.014,0.9831201295092915,0.10165092939441092
2864601_0.371,member,training,3.0,1000,1.9939908692240715,1.1539031884322462,-1.999916434288025,5.469010829925537,0.016,0.9865115471672866,0.09498628467996605
2864601_0.409,member,training,3.0,1000,2.0128830398917197,1.1549549407338702,-2.054163694381714,5.616428375244141,0.015,0.9814794619919714,0.10214955491269939
2864601_0.386,member,training,3.0,1000,2.0080885570943354,1.1572531704683862,-2.003848075866699,5.742302894592285,0.02,0.9836137640247611,0.09735061173071154
2864601_0.355,member,training,3.0,1000,2.011426605015993,1.1450708294807936,-2.001786470413208,5.268054962158203,0.016,0.9823359619245897,0.1005659586705733
2864601_0.449,member,training,3.0,1000,2.005377415008843,1.1446264688044911,-1.9898080825805664,5.561832427978516,0.019,0.9834380930595995,0.1008898913084995
2864601_0.340,member,training,3.0,1000,1.9918721978664398,1.1613578729307745,-2.032538414001465,5.569678783416748,0.015,0.9770732752516096,0.10504055992816574
2864601_0.296,member,training,3.0,1000,2.0065835892260075,1.1581012347105761,-2.012765645980835,5.809778690338135,0.018,0.9846650856948362,0.0962413637235295
2864601_0.270,member,training,3.0,1000,1.9964889076948167,1.1454233191208618,-2.0540575981140137,5.434718132019043,0.014,0.9809067248707242,0.10554641729150899
2864601_0.352,member,training,3.0,1000,1.9941749722659587,1.1531568405796817,-2.005568027496338,6.239665508270264,0.02,0.9867361026577386,0.09182908641849645
2864601_0.487,member,training,3.0,1000,1.9888052678406238,1.1412973975375202,-1.9985029697418213,5.545964241027832,0.013,0.9798600916088344,0.1054718557044398
2864601_0.272,member,training,3.0,1000,1.9978762929663063,1.1501543981575173,-2.0230019092559814,5.496673107147217,0.016,0.9842707581333238,0.09679174563731067
2864601_0.404,member,training,3.0,1000,2.0060510263964533,1.1481316121755938,-2.0233042240142822,6.232998847961426,0.016,0.9844836610247183,0.09833577967737801
2864601_0.274,member,training,3.0,1000,2.015568041808903,1.1593531037442892,-2.0226845741271973,5.925885200500488,0.014,0.9805733952816997,0.1047159216485452
2864601_0.240,member,training,3.0,1000,1.995751618936658,1.1479636033279212,-2.002035140991211,5.500202655792236,0.016,0.981153545234969,0.10068994438718074
2864601_0.417,member,training,3.0,1000,2.0000325035750866,1.145452264678523,-1.9760572910308838,5.6559224128723145,0.015,0.9856467426323354,0.09495268507744185
2864601_0.494,member,training,3.0,1000,1.9985296328365802,1.1484293022796224,-2.0226259231567383,5.585990905761719,0.016,0.9829743130615423,0.10215586603363044
2864601_0.260,member,training,3.0,1000,2.018248688004911,1.1537801174004,-2.0038599967956543,5.992956638336182,0.015,0.9811717811139914,0.10498680602456444
2864601_0.434,member,training,3.0,1000,2.012212304532528,1.1566254194641834,-2.000204563140869,6.245822429656982,0.016,0.9852078685059749,0.0939528123929631
2864601_0.460,member,training,3.0,1000,1.9901649888455868,1.1447828079665556,-2.0187277793884277,5.563982009887695,0.016,0.9807680404378936,0.1033115928217303
2864601_0.402,member,training,3.0,1000,2.002954244926572,1.148436341702505,-2.0346333980560303,5.4040422439575195,0.016,0.9812232475919966,0.10664184146816842
2864601_0.279,member,training,3.0,1000,2.007213149085641,1.1581985000346113,-2.022993326187134,5.664545059204102,0.015,0.9833322763397825,0.09839312210748903
2864601_0.353,member,training,3.0,1000,2.007975388213992,1.1479055226438093,-2.03214168548584,5.493889331817627,0.014,0.9779640033579309,0.11029422916541808
2864601_0.175,member,training,3.0,1000,2.0288886990249155,1.1507486316051079,-1.9964596033096313,5.5439348220825195,0.016,0.9794624759164349,0.10837474550749175
2864601_0.277,member,training,3.0,1000,2.0114332880973818,1.1534740285337388,-2.0013720989227295,5.798984527587891,0.016,0.981407934471572,0.10169591463287361
2864601_0.463,member,training,3.0,1000,2.0041765567362306,1.1443756466113013,-1.9937968254089355,5.532968521118164,0.017,0.9815217578613361,0.10377130578528158
2864601_0.229,member,training,3.0,1000,2.002040917739272,1.1539626059173054,-2.0078682899475098,5.715540409088135,0.016,0.9807467971669616,0.10113318418036216
2864601_0.224,member,training,3.0,1000,2.0191963646113873,1.1585846387420433,-2.0204474925994873,5.50239896774292,0.017,0.9819513722731678,0.10524163053114899
