entity,entity_type,gradient_set,stratum,n,shift,mean_absolute_change,rms_change,max_absolute_change
2864601_0.437,member,varied,all,1000,32,2.3165345191955565e-07,3.544685268112215e-07,2.682209014892578e-06
2864601_0.437,member,varied,all,1000,64,2.2986531257629395e-07,3.366092826699298e-07,1.9073486328125e-06
2864601_0.437,member,varied,stable_near_floor,240,32,2.0489096641540527e-07,3.20865519831761e-07,2.0265579223632812e-06
2864601_0.437,member,varied,stable_near_floor,240,64,1.9905467828114826e-07,3.1010291460999786e-07,1.7881393432617188e-06
2864601_0.437,member,varied,unstable,760,32,2.401047631313926e-07,3.644368634649689e-07,2.682209014892578e-06
2864601_0.437,member,varied,unstable,760,64,2.3959498656423466e-07,3.445563374293186e-07,1.9073486328125e-06
2864601_0.437,member,fixed,all,1000,32,1.7404556274414062e-07,2.518745881631185e-07,9.5367431640625e-07
2864601_0.437,member,fixed,all,1000,64,1.7616152763366698e-07,2.58379432069892e-07,1.0728836059570312e-06
2864601_0.437,member,fixed,stable_near_floor,23,32,1.5030736508576767e-07,2.2371169644757186e-07,4.76837158203125e-07
2864601_0.437,member,fixed,stable_near_floor,23,64,1.3994133990743887e-07,2.318493101528939e-07,7.152557373046875e-07
2864601_0.437,member,fixed,unstable,977,32,1.7460439441880037e-07,2.524997419466423e-07,9.5367431640625e-07
2864601_0.437,member,fixed,unstable,977,64,1.770142034962087e-07,2.5897124747344093e-07,1.0728836059570312e-06
2864601_0.371,member,varied,all,1000,32,3.434121608734131e-07,5.631369430036623e-07,4.708766937255859e-06
2864601_0.371,member,varied,all,1000,64,3.3462047576904296e-07,5.763386977029835e-07,5.7220458984375e-06
2864601_0.371,member,varied,stable_near_floor,240,32,2.9752651850382485e-07,4.806096139453301e-07,2.86102294921875e-06
2864601_0.371,member,varied,stable_near_floor,240,64,2.54934032758077e-07,4.00806151299908e-07,1.9073486328125e-06
2864601_0.371,member,varied,unstable,760,32,3.5790236372696724e-07,5.867917593637849e-07,4.708766937255859e-06
2864601_0.371,member,varied,unstable,760,64,3.5978461566724276e-07,6.215550928805912e-07,5.7220458984375e-06
2864601_0.371,member,fixed,all,1000,32,2.059638500213623e-07,3.201121816114822e-07,2.5033950805664062e-06
2864601_0.371,member,fixed,all,1000,64,2.1347403526306153e-07,3.361445676726462e-07,2.8014183044433594e-06
2864601_0.371,member,fixed,stable_near_floor,23,32,1.1402627696161685e-07,1.792453316583901e-07,4.76837158203125e-07
2864601_0.371,member,fixed,stable_near_floor,23,64,1.1402627696161685e-07,1.792453316583901e-07,4.76837158203125e-07
2864601_0.371,member,fixed,unstable,977,32,2.0812819411591107e-07,3.2268836884649995e-07,2.5033950805664062e-06
2864601_0.371,member,fixed,unstable,977,64,2.158151800337199e-07,3.3896435371842563e-07,2.8014183044433594e-06
2864601_0.409,member,varied,all,1000,32,2.208501100540161e-07,3.473942962816013e-07,2.8014183044433594e-06
2864601_0.409,member,varied,all,1000,64,2.1748244762420655e-07,3.2510871171804837e-07,1.7881393432617188e-06
2864601_0.409,member,varied,stable_near_floor,240,32,1.12876296043396e-07,1.8908432546444843e-07,1.1324882507324219e-06
2864601_0.409,member,varied,stable_near_floor,240,64,1.4373411734898886e-07,2.32988046052138e-07,1.0132789611816406e-06
2864601_0.409,member,varied,unstable,760,32,2.5494710395210666e-07,3.8406089391127687e-07,2.8014183044433594e-06
2864601_0.409,member,varied,unstable,760,64,2.407713940269069e-07,3.4918636882232296e-07,1.7881393432617188e-06
2864601_0.409,member,fixed,all,1000,32,1.8593668937683105e-07,2.8004352894270145e-07,3.0994415283203125e-06
2864601_0.409,member,fixed,all,1000,64,1.8937885761260986e-07,2.943064214593029e-07,2.7418136596679688e-06
2864601_0.409,member,fixed,stable_near_floor,23,32,1.5549037767493207e-07,2.409961521638512e-07,7.152557373046875e-07
2864601_0.409,member,fixed,stable_near_floor,23,64,1.8658845320991849e-07,2.9200193199910854e-07,9.5367431640625e-07
2864601_0.409,member,fixed,unstable,977,32,1.8665343980584197e-07,2.8089737352251105e-07,3.0994415283203125e-06
2864601_0.409,member,fixed,unstable,977,64,1.8944454778790352e-07,2.9436045513115104e-07,2.7418136596679688e-06
2864601_0.386,member,varied,all,1000,32,3.1329691410064695e-07,5.263884492931462e-07,5.602836608886719e-06
2864601_0.386,member,varied,all,1000,64,2.988055348396301e-07,4.83343058111668e-07,3.4570693969726562e-06
2864601_0.386,member,varied,stable_near_floor,240,32,2.9765069484710695e-07,5.506209261443422e-07,5.602836608886719e-06
2864601_0.386,member,varied,stable_near_floor,240,64,2.936770518620809e-07,4.795959815286452e-07,2.9802322387695312e-06
2864601_0.386,member,varied,unstable,760,32,3.1823782544387017e-07,5.185008533151766e-07,2.86102294921875e-06
2864601_0.386,member,varied,unstable,760,64,3.004250557799088e-07,4.845203250653889e-07,3.4570693969726562e-06
2864601_0.386,member,fixed,all,1000,32,1.9650161266326903e-07,3.0135180892980207e-07,2.5033950805664062e-06
2864601_0.386,member,fixed,all,1000,64,1.9662082195281983e-07,2.8686999411217623e-07,2.0265579223632812e-06
2864601_0.386,member,fixed,stable_near_floor,23,32,1.6067339026409647e-07,2.344991025896408e-07,4.76837158203125e-07
2864601_0.386,member,fixed,stable_near_floor,23,64,2.228695413340693e-07,2.688679974875852e-07,4.76837158203125e-07
2864601_0.386,member,fixed,unstable,977,32,1.9734506109231813e-07,3.0274781617745144e-07,2.5033950805664062e-06
2864601_0.386,member,fixed,unstable,977,64,1.9600288894793882e-07,2.872801968190327e-07,2.0265579223632812e-06
2864601_0.355,member,varied,all,1000,32,2.5413930416107177e-07,3.956153061377709e-07,2.9802322387695312e-06
2864601_0.355,member,varied,all,1000,64,2.483874559402466e-07,3.682670577729096e-07,1.9073486328125e-06
2864601_0.355,member,varied,stable_near_floor,240,32,2.351279060045878e-07,3.512074931172579e-07,1.6689300537109375e-06
2864601_0.355,member,varied,stable_near_floor,240,64,2.687176068623861e-07,4.0198166685904484e-07,1.9073486328125e-06
2864601_0.355,member,varied,unstable,760,32,2.6014290357890884e-07,4.086374369028319e-07,2.9802322387695312e-06
2864601_0.355,member,varied,unstable,760,64,2.4196740828062356e-07,3.569593875670948e-07,1.6689300537109375e-06
2864601_0.355,member,fixed,all,1000,32,1.7705559730529785e-07,2.8038426571923964e-07,2.5033950805664062e-06
2864601_0.355,member,fixed,all,1000,64,1.7756223678588868e-07,2.78051036180801e-07,2.7418136596679688e-06
2864601_0.355,member,fixed,stable_near_floor,23,32,1.5549037767493207e-07,2.1091741011843272e-07,4.76837158203125e-07
2864601_0.355,member,fixed,stable_near_floor,23,64,1.7103941544242526e-07,2.152666802747891e-07,4.76837158203125e-07
2864601_0.355,member,fixed,unstable,977,32,1.7756327391890933e-07,2.818133904288396e-07,2.5033950805664062e-06
2864601_0.355,member,fixed,unstable,977,64,1.7771579348077062e-07,2.7935912293610976e-07,2.7418136596679688e-06
2864601_0.449,member,varied,all,1000,32,2.9699504375457765e-07,4.829450021046474e-07,4.76837158203125e-06
2864601_0.449,member,varied,all,1000,64,2.8023123741149904e-07,4.216133400080384e-07,2.86102294921875e-06
2864601_0.449,member,varied,stable_near_floor,240,32,2.9535343249638875e-07,4.828652633886424e-07,3.337860107421875e-06
2864601_0.449,member,varied,stable_near_floor,240,64,3.0522545178731284e-07,4.695324128782088e-07,2.5033950805664062e-06
2864601_0.449,member,varied,unstable,760,32,2.975134473097952e-07,4.82970180016713e-07,4.76837158203125e-06
2864601_0.449,member,varied,unstable,760,64,2.7233832760861047e-07,4.0530567355872537e-07,2.86102294921875e-06
2864601_0.449,member,fixed,all,1000,32,1.8120557069778444e-07,2.66755862262624e-07,1.430511474609375e-06
2864601_0.449,member,fixed,all,1000,64,2.0047277212142944e-07,3.9480295460418e-07,9.000301361083984e-06
2864601_0.449,member,fixed,stable_near_floor,23,32,1.1402627696161685e-07,2.278168406262181e-07,7.152557373046875e-07
2864601_0.449,member,fixed,stable_near_floor,23,64,1.2439230213994565e-07,1.8601167144906376e-07,4.76837158203125e-07
2864601_0.449,member,fixed,unstable,977,32,1.8278706891265838e-07,2.676042890774548e-07,1.430511474609375e-06
2864601_0.449,member,fixed,unstable,977,64,2.022638169623446e-07,3.984020861027107e-07,9.000301361083984e-06
2864601_0.340,member,varied,all,1000,32,3.1476467847824097e-07,4.6073254256116555e-07,2.86102294921875e-06
2864601_0.340,member,varied,all,1000,64,3.1176209449768067e-07,4.804920960095397e-07,3.2186508178710938e-06
2864601_0.340,member,varied,stable_near_floor,240,32,3.104408582051595e-07,4.4957735972402474e-07,2.1457672119140625e-06
2864601_0.340,member,varied,stable_near_floor,240,64,2.9224902391433717e-07,4.245490931451068e-07,2.1457672119140625e-06
2864601_0.340,member,varied,unstable,760,32,3.1613009540658247e-07,4.6419954194592665e-07,2.86102294921875e-06
2864601_0.340,member,varied,unstable,760,64,3.1792411678715754e-07,4.968513895813273e-07,3.2186508178710938e-06
2864601_0.340,member,fixed,all,1000,32,1.9863247871398926e-07,3.1410131489124197e-07,3.814697265625e-06
2864601_0.340,member,fixed,all,1000,64,1.9762665033340453e-07,2.949947282481971e-07,2.0265579223632812e-06
2864601_0.340,member,fixed,stable_near_floor,23,32,1.6585640285326086e-07,3.602100528612148e-07,1.430511474609375e-06
2864601_0.340,member,fixed,stable_near_floor,23,64,2.228695413340693e-07,2.951588013877837e-07,9.5367431640625e-07
2864601_0.340,member,fixed,unstable,977,32,1.994040751774455e-07,3.1293400818090476e-07,3.814697265625e-06
2864601_0.340,member,fixed,unstable,977,64,1.970323959905025e-07,2.949908646285735e-07,2.0265579223632812e-06
