member_id,filter_index,channel_index,channel_name,kernel_position,signed_weight
2864601_0.437,0,0,bmag,0,-0.06669865548610687
2864601_0.437,0,0,bmag,1,-0.1485985368490219
2864601_0.437,0,0,bmag,2,-0.14022111892700195
2864601_0.437,0,0,bmag,3,-0.26328423619270325
2864601_0.437,0,0,bmag,4,-0.2163783460855484
2864601_0.437,0,0,bmag,5,-0.42429599165916443
2864601_0.437,0,0,bmag,6,-0.3554038107395172
2864601_0.437,0,0,bmag,7,-0.177130326628685
2864601_0.437,0,0,bmag,8,-0.05792772024869919
2864601_0.437,0,0,bmag,9,0.1872091442346573
2864601_0.437,0,0,bmag,10,0.3437420129776001
2864601_0.437,0,0,bmag,11,0.43275386095046997
2864601_0.437,0,0,bmag,12,0.2238425761461258
2864601_0.437,0,1,gbdrift,0,0.5383248925209045
2864601_0.437,0,1,gbdrift,1,0.3902796506881714
2864601_0.437,0,1,gbdrift,2,0.22081267833709717
2864601_0.437,0,1,gbdrift,3,0.32080012559890747
2864601_0.437,0,1,gbdrift,4,0.33956313133239746
2864601_0.437,0,1,gbdrift,5,0.4206772744655609
2864601_0.437,0,1,gbdrift,6,0.6039090156555176
2864601_0.437,0,1,gbdrift,7,0.7180163264274597
2864601_0.437,0,1,gbdrift,8,0.7077032327651978
2864601_0.437,0,1,gbdrift,9,0.5922559499740601
2864601_0.437,0,1,gbdrift,10,0.4651845395565033
2864601_0.437,0,1,gbdrift,11,0.5008872151374817
2864601_0.437,0,1,gbdrift,12,0.6695649027824402
2864601_0.437,0,2,cvdrift,0,0.4263443052768707
2864601_0.437,0,2,cvdrift,1,0.03139965608716011
2864601_0.437,0,2,cvdrift,2,-0.00046036476851440966
2864601_0.437,0,2,cvdrift,3,0.1355724185705185
2864601_0.437,0,2,cvdrift,4,0.1059354916214943
2864601_0.437,0,2,cvdrift,5,0.33013296127319336
2864601_0.437,0,2,cvdrift,6,0.46376800537109375
2864601_0.437,0,2,cvdrift,7,0.5637251138687134
2864601_0.437,0,2,cvdrift,8,0.1289830058813095
2864601_0.437,0,2,cvdrift,9,0.06610929220914841
2864601_0.437,0,2,cvdrift,10,-0.088363416492939
2864601_0.437,0,2,cvdrift,11,0.049919333308935165
2864601_0.437,0,2,cvdrift,12,0.24942292273044586
2864601_0.437,0,3,gbdrift0_over_shat,0,-0.5428026914596558
2864601_0.437,0,3,gbdrift0_over_shat,1,-0.365283340215683
2864601_0.437,0,3,gbdrift0_over_shat,2,-0.14586354792118073
2864601_0.437,0,3,gbdrift0_over_shat,3,-0.08778856694698334
2864601_0.437,0,3,gbdrift0_over_shat,4,-0.05742902308702469
2864601_0.437,0,3,gbdrift0_over_shat,5,-0.40699827671051025
2864601_0.437,0,3,gbdrift0_over_shat,6,-0.13496166467666626
2864601_0.437,0,3,gbdrift0_over_shat,7,-0.11361110210418701
2864601_0.437,0,3,gbdrift0_over_shat,8,-0.027383146807551384
2864601_0.437,0,3,gbdrift0_over_shat,9,-0.13895170390605927
2864601_0.437,0,3,gbdrift0_over_shat,10,-0.18685109913349152
2864601_0.437,0,3,gbdrift0_over_shat,11,-0.24000178277492523
2864601_0.437,0,3,gbdrift0_over_shat,12,-0.09596423804759979
2864601_0.437,0,4,gds2,0,0.0035406160168349743
2864601_0.437,0,4,gds2,1,0.054180435836315155
2864601_0.437,0,4,gds2,2,0.003536176634952426
2864601_0.437,0,4,gds2,3,-0.0454021617770195
2864601_0.437,0,4,gds2,4,0.03801737725734711
2864601_0.437,0,4,gds2,5,-0.04936911538243294
2864601_0.437,0,4,gds2,6,-0.027626236900687218
2864601_0.437,0,4,gds2,7,-0.10792891681194305
2864601_0.437,0,4,gds2,8,0.012763197533786297
2864601_0.437,0,4,gds2,9,-0.039109960198402405
2864601_0.437,0,4,gds2,10,0.007434886880218983
2864601_0.437,0,4,gds2,11,-0.07891906797885895
2864601_0.437,0,4,gds2,12,0.006402202881872654
2864601_0.437,0,5,gds21_over_shat,0,-0.020542334765195847
2864601_0.437,0,5,gds21_over_shat,1,-0.04389504715800285
2864601_0.437,0,5,gds21_over_shat,2,0.05308828502893448
2864601_0.437,0,5,gds21_over_shat,3,0.034517835825681686
2864601_0.437,0,5,gds21_over_shat,4,-0.01184170413762331
2864601_0.437,0,5,gds21_over_shat,5,0.27556565403938293
2864601_0.437,0,5,gds21_over_shat,6,0.23856361210346222
2864601_0.437,0,5,gds21_over_shat,7,0.10265395790338516
2864601_0.437,0,5,gds21_over_shat,8,0.10541243106126785
2864601_0.437,0,5,gds21_over_shat,9,0.0359199158847332
2864601_0.437,0,5,gds21_over_shat,10,-0.027959469705820084
2864601_0.437,0,5,gds21_over_shat,11,-0.13825498521327972
2864601_0.437,0,5,gds21_over_shat,12,-0.23221608996391296
2864601_0.437,0,6,gds22_over_shat_squared,0,-0.0072039212100207806
2864601_0.437,0,6,gds22_over_shat_squared,1,0.04785449057817459
2864601_0.437,0,6,gds22_over_shat_squared,2,0.04147589951753616
2864601_0.437,0,6,gds22_over_shat_squared,3,-0.03586191684007645
2864601_0.437,0,6,gds22_over_shat_squared,4,-0.032150693237781525
2864601_0.437,0,6,gds22_over_shat_squared,5,-0.03617945685982704
2864601_0.437,0,6,gds22_over_shat_squared,6,-0.14195483922958374
2864601_0.437,0,6,gds22_over_shat_squared,7,-0.14511726796627045
2864601_0.437,0,6,gds22_over_shat_squared,8,0.05566313862800598
2864601_0.437,0,6,gds22_over_shat_squared,9,0.15486052632331848
2864601_0.437,0,6,gds22_over_shat_squared,10,0.17074353992938995
2864601_0.437,0,6,gds22_over_shat_squared,11,0.010329263284802437
2864601_0.437,0,6,gds22_over_shat_squared,12,0.027627337723970413
2864601_0.437,1,0,bmag,0,-0.1591343730688095
2864601_0.437,1,0,bmag,1,-0.1506635993719101
2864601_0.437,1,0,bmag,2,-0.2359115183353424
2864601_0.437,1,0,bmag,3,-0.18623510003089905
2864601_0.437,1,0,bmag,4,-0.23156586289405823
2864601_0.437,1,0,bmag,5,-0.2637941241264343
2864601_0.437,1,0,bmag,6,-0.07970023155212402
2864601_0.437,1,0,bmag,7,0.23593761026859283
2864601_0.437,1,0,bmag,8,0.27686649560928345
