member_id,filter_index,channel_index,channel_name,kernel_width,dc_amplitude,peak_frequency_index,spectral_centroid,kernel_l1,kernel_l2
2864601_0.437,0,0,bmag,13,0.6623911485075951,6,12.71010323503773,3.0374863147735596,0.9455090761184692
2864601_0.437,0,1,gbdrift,13,6.487978935241699,0,12.53489190614939,6.487978935241699,1.8797663450241089
2864601_0.437,0,2,cvdrift,13,2.4624887249374297,0,16.899692986844318,2.640136241912842,0.9735149145126343
2864601_0.437,0,3,gbdrift0_over_shat,13,2.543890183791518,0,17.25806245964495,2.5438899993896484,0.8825520873069763
2864601_0.437,0,4,gds2,13,0.22248056600801647,48,24.594066309602194,0.4742303490638733,0.17126990854740143
2864601_0.437,0,5,gds21_over_shat,13,0.37101206090301275,7,17.374718872094547,1.3204312324523926,0.48590967059135437
2864601_0.437,0,6,gds22_over_shat_squared,13,0.11008610064163804,11,18.014164758621654,0.9070222973823547,0.32558345794677734
2864601_0.437,1,0,bmag,13,0.24373474717140198,6,13.124118786342391,2.8577442169189453,0.8475509881973267
2864601_0.437,1,1,gbdrift,13,5.236720971763134,0,11.243026538886335,5.654812335968018,1.855318546295166
2864601_0.437,1,2,cvdrift,13,0.30750623159110546,7,19.057081949393396,2.5847227573394775,0.964917778968811
2864601_0.437,1,3,gbdrift0_over_shat,13,3.174251802265644,0,12.276187752377496,3.285681962966919,1.0141979455947876
2864601_0.437,1,4,gds2,13,0.20885092671960592,4,22.134153179025795,0.5919952988624573,0.18506944179534912
2864601_0.437,1,5,gds21_over_shat,13,0.2501308061182499,25,23.066767085366973,0.822927713394165,0.2622939348220825
2864601_0.437,1,6,gds22_over_shat_squared,13,0.27640552015509456,21,20.69611740023649,0.563895583152771,0.19718919694423676
2864601_0.437,2,0,bmag,13,0.6760570965707302,6,12.107126942311385,3.939347267150879,1.19105863571167
2864601_0.437,2,1,gbdrift,13,4.488523900508881,0,12.12793180704773,4.488523960113525,1.3580747842788696
2864601_0.437,2,2,cvdrift,13,2.776687491685152,2,12.155822917125697,3.527406692504883,1.1454180479049683
2864601_0.437,2,3,gbdrift0_over_shat,13,1.2868887353688478,0,17.57608330382345,1.8464964628219604,0.5764705538749695
2864601_0.437,2,4,gds2,13,1.3007079847157001,0,15.557253778461993,1.6694443225860596,0.49980318546295166
2864601_0.437,2,5,gds21_over_shat,13,1.5792194828391075,0,17.740185977314237,1.8442485332489014,0.5760270357131958
2864601_0.437,2,6,gds22_over_shat_squared,13,0.1871674731373787,24,24.605476858582026,0.6552876234054565,0.20190083980560303
2864601_0.437,3,0,bmag,13,1.1699441820383072,8,14.224734968685121,2.423460006713867,0.8177701234817505
2864601_0.437,3,1,gbdrift,13,0.6872065990464762,6,17.789672176886352,1.5980125665664673,0.4987284541130066
2864601_0.437,3,2,cvdrift,13,2.3940946720540524,0,14.345830352315737,3.2202839851379395,1.0385966300964355
2864601_0.437,3,3,gbdrift0_over_shat,13,0.9630324691534042,12,20.066719560089023,2.9650797843933105,1.0457905530929565
2864601_0.437,3,4,gds2,13,0.1527014933526516,38,26.539308407732264,0.8312521576881409,0.25688615441322327
2864601_0.437,3,5,gds21_over_shat,13,0.006742745754308999,43,28.41518026555783,0.5773872137069702,0.20503908395767212
2864601_0.437,3,6,gds22_over_shat_squared,13,0.19352390430867672,5,23.373622781408667,0.9193106889724731,0.2934543788433075
2864601_0.437,4,0,bmag,13,2.508344821166247,0,13.37855387081332,2.631737470626831,0.9570338129997253
2864601_0.437,4,1,gbdrift,13,1.8369233955163509,0,15.034080380137848,2.1578853130340576,0.7287768721580505
