member_id,unit_id,cluster,cluster_size,cluster_fraction,two_cluster_separation_ratio,center_statistic,dispersion_statistic,validity_tag
2864601_0.437,2864601_0.437:u000,0,15,0.9375,34.84719767478646,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.437,2864601_0.437:u000,1,1,0.0625,34.84719767478646,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.437,2864601_0.437:u001,0,15,0.9375,1.3683326183049016,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.437,2864601_0.437:u001,1,1,0.0625,1.3683326183049016,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.437,2864601_0.437:u002,0,14,0.875,3.1521355612516135,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.437,2864601_0.437:u002,1,2,0.125,3.1521355612516135,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.437,2864601_0.437:u003,0,1,0.0625,1.7738687821913652,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.437,2864601_0.437:u003,1,15,0.9375,1.7738687821913652,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.437,2864601_0.437:u005,0,15,0.9375,67.67401661875219,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.437,2864601_0.437:u005,1,1,0.0625,67.67401661875219,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.437,2864601_0.437:u006,0,15,0.9375,3.9315059123507843,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.437,2864601_0.437:u006,1,1,0.0625,3.9315059123507843,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.437,2864601_0.437:u007,0,15,0.9375,4.56523403590878,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.437,2864601_0.437:u007,1,1,0.0625,4.56523403590878,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.437,2864601_0.437:u008,0,15,0.9375,4.047650210976978,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.437,2864601_0.437:u008,1,1,0.0625,4.047650210976978,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.437,2864601_0.437:u009,0,15,0.9375,152.65982023360345,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.437,2864601_0.437:u009,1,1,0.0625,152.65982023360345,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.371,2864601_0.371:u000,0,15,0.9375,35.262368931059065,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.371,2864601_0.371:u000,1,1,0.0625,35.262368931059065,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.371,2864601_0.371:u001,0,15,0.9375,3.129118709168154,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.371,2864601_0.371:u001,1,1,0.0625,3.129118709168154,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.371,2864601_0.371:u002,0,15,0.9375,3.32129189865873,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.371,2864601_0.371:u002,1,1,0.0625,3.32129189865873,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.371,2864601_0.371:u003,0,13,0.8125,3.1223078821141956,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.371,2864601_0.371:u003,1,3,0.1875,3.1223078821141956,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.371,2864601_0.371:u004,0,15,0.9375,1.1344593632822129,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.371,2864601_0.371:u004,1,1,0.0625,1.1344593632822129,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.371,2864601_0.371:u005,0,15,0.9375,29.027633087471255,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.371,2864601_0.371:u005,1,1,0.0625,29.027633087471255,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.371,2864601_0.371:u008,0,15,0.9375,106.83008418864446,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.371,2864601_0.371:u008,1,1,0.0625,106.83008418864446,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.371,2864601_0.371:u009,0,15,0.9375,1.23310164415754,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.371,2864601_0.371:u009,1,1,0.0625,1.23310164415754,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.371,2864601_0.371:u010,0,14,0.875,8.224752649048849,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.371,2864601_0.371:u010,1,2,0.125,8.224752649048849,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.371,2864601_0.371:u011,0,13,0.8125,1.2487467287018326,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.371,2864601_0.371:u011,1,3,0.1875,1.2487467287018326,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.371,2864601_0.371:u012,0,13,0.8125,1.0753774681549897,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.371,2864601_0.371:u012,1,3,0.1875,1.0753774681549897,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.371,2864601_0.371:u013,0,13,0.8125,1.4196119340125355,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.371,2864601_0.371:u013,1,3,0.1875,1.4196119340125355,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.371,2864601_0.371:u014,0,15,0.9375,57.15489571466197,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.371,2864601_0.371:u014,1,1,0.0625,57.15489571466197,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
2864601_0.371,2864601_0.371:u015,0,15,0.9375,7.011996835408555,coordinatewise median,coordinatewise median absolute deviation,observed-comparison
