member_id,unit_id,stratum,n,signed_invariant_minus_native_mean,rms_invariant_minus_native,pearson_invariant_vs_native,native_object,invariant_object
2864601_0.437,2864601_0.437:u000,overall,1000,-0.004014276433736086,0.10190272331237793,0.9922235625136034,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.437,2864601_0.437:u000,stable_or_near_floor,240,0.0007157372892834246,0.08266477286815643,0.9947241994889713,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.437,2864601_0.437:u000,unstable,760,-0.005507964640855789,0.10726340115070343,0.9913650038419609,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.437,2864601_0.437:u001,overall,1000,0.000174725049873814,0.08715740591287613,0.9974509862141356,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.437,2864601_0.437:u001,stable_or_near_floor,240,0.0004257168620824814,0.05605877935886383,0.9985215991820026,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.437,2864601_0.437:u001,unstable,760,9.546374349156395e-05,0.09488353878259659,0.9971431942861522,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.437,2864601_0.437:u002,overall,1000,0.002382447710260749,0.1485961675643921,0.9804541338673767,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.437,2864601_0.437:u002,stable_or_near_floor,240,0.003404969582334161,0.12128724157810211,0.9821484188893076,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.437,2864601_0.437:u002,unstable,760,0.0020595460664480925,0.15623143315315247,0.9801394291181629,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.437,2864601_0.437:u003,overall,1000,-0.0013881155755370855,0.02851860597729683,0.9986138162022636,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.437,2864601_0.437:u003,stable_or_near_floor,240,-0.0022597848437726498,0.03837176039814949,0.9985317858644431,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.437,2864601_0.437:u003,unstable,760,-0.0011128513142466545,0.024600407108664513,0.9986066151420236,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.437,2864601_0.437:u005,overall,1000,0.005559506826102734,0.11898275464773178,0.9816416627905946,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.437,2864601_0.437:u005,stable_or_near_floor,240,0.005526028107851744,0.07798053324222565,0.9848986896730297,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.437,2864601_0.437:u005,unstable,760,0.0055700791999697685,0.12925629317760468,0.9810077827313751,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.437,2864601_0.437:u006,overall,1000,-0.0013461043126881123,0.051423124969005585,0.9933348439748799,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.437,2864601_0.437:u006,stable_or_near_floor,240,-0.000381913356250152,0.05595735087990761,0.9947244159248758,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.437,2864601_0.437:u006,unstable,760,-0.001650585443712771,0.04990575090050697,0.9921097890249432,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.437,2864601_0.437:u007,overall,1000,0.002667799359187484,0.09742829203605652,0.9846063814735142,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.437,2864601_0.437:u007,stable_or_near_floor,240,-0.0031232042238116264,0.07188376784324646,0.9888024413446463,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.437,2864601_0.437:u007,unstable,760,0.0044965376146137714,0.1042020171880722,0.9836388357284099,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.437,2864601_0.437:u008,overall,1000,0.0007067742408253253,0.0810273140668869,0.9923324930601967,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.437,2864601_0.437:u008,stable_or_near_floor,240,0.0022411320824176073,0.05761890113353729,0.9965480619067805,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.437,2864601_0.437:u008,unstable,760,0.0002222396869910881,0.08712241798639297,0.9905023871139204,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.437,2864601_0.437:u009,overall,1000,0.00019561384397093207,0.01239972934126854,0.9983190800235449,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.437,2864601_0.437:u009,stable_or_near_floor,240,0.00024905207101255655,0.01133937668055296,0.9991794739049243,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.437,2864601_0.437:u009,unstable,760,0.00017873862816486508,0.012716220691800117,0.9976973633626662,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u000,overall,1000,-0.00501474691554904,0.23452015221118927,0.9920184910172802,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u000,stable_or_near_floor,240,-0.007688813377171755,0.2048128843307495,0.9933389734394237,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
2864601_0.371,2864601_0.371:u000,unstable,760,-0.004170303698629141,0.24314849078655243,0.9915882621843168,original_f strided pre-GAP bottleneck,mean_z rho feeding invariant_tilde_f
