member_id,unit_id,exemplar_rank,row_id,equilibrium_file,activation_center_position,activation,cluster,alignment_operation,receptive_field_offsets,validity_tag
2864601_0.437,2864601_0.437:u000,1,67179,20241115-01-random_heliotrons/20241115-01-023_heliotrons_finiteBeta_randomAspect_randomNfpUpTo8_withTorsion_flux_tubes/heliotron_randomAspect_finiteBeta_maxm1_maxn1_LMN8_000827.h5,36,5.630600452423096,0,joint_circular_roll_to_activation_center,-70:109,observed-comparison
2864601_0.437,2864601_0.437:u000,2,64714,20241115-01-random_heliotrons/20241115-01-023_heliotrons_finiteBeta_randomAspect_randomNfpUpTo8_withTorsion_flux_tubes/heliotron_randomAspect_finiteBeta_maxm1_maxn1_LMN8_000211.h5,18,5.625473976135254,0,joint_circular_roll_to_activation_center,-70:109,observed-comparison
2864601_0.437,2864601_0.437:u000,3,100411,20241122-01-QUASR/20241122-01-031_QUASR_finite_beta_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_finiteBeta_003890.h5,6,5.296078205108643,0,joint_circular_roll_to_activation_center,-70:109,observed-comparison
2864601_0.437,2864601_0.437:u000,4,81193,20241122-01-QUASR/20241122-01-030_QUASR_vacuum_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_vacuum_000227.h5,0,5.191321849822998,0,joint_circular_roll_to_activation_center,-70:109,observed-comparison
2864601_0.437,2864601_0.437:u000,5,81328,20241122-01-QUASR/20241122-01-030_QUASR_vacuum_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_vacuum_000233.h5,69,5.119292259216309,0,joint_circular_roll_to_activation_center,-70:109,observed-comparison
2864601_0.437,2864601_0.437:u000,6,84754,20241122-01-QUASR/20241122-01-030_QUASR_vacuum_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_vacuum_000405.h5,10,5.108613014221191,0,joint_circular_roll_to_activation_center,-70:109,observed-comparison
2864601_0.437,2864601_0.437:u000,7,67637,20241115-01-random_heliotrons/20241115-01-023_heliotrons_finiteBeta_randomAspect_randomNfpUpTo8_withTorsion_flux_tubes/heliotron_randomAspect_finiteBeta_maxm1_maxn1_LMN8_000942.h5,13,5.024445056915283,0,joint_circular_roll_to_activation_center,-70:109,observed-comparison
2864601_0.437,2864601_0.437:u000,8,69892,20241115-01-random_heliotrons/20241115-01-023_heliotrons_finiteBeta_randomAspect_randomNfpUpTo8_withTorsion_flux_tubes/heliotron_randomAspect_finiteBeta_maxm1_maxn1_LMN8_001506.h5,6,5.010987758636475,0,joint_circular_roll_to_activation_center,-70:109,observed-comparison
2864601_0.437,2864601_0.437:u000,9,68283,20241115-01-random_heliotrons/20241115-01-023_heliotrons_finiteBeta_randomAspect_randomNfpUpTo8_withTorsion_flux_tubes/heliotron_randomAspect_finiteBeta_maxm1_maxn1_LMN8_001103.h5,22,4.801514148712158,1,joint_circular_roll_to_activation_center,-70:109,observed-comparison
2864601_0.437,2864601_0.437:u000,10,84448,20241122-01-QUASR/20241122-01-030_QUASR_vacuum_equilibria_with_maxF_below_threshold_and_enough_iota_flux_tubes/QUASR_vacuum_000390.h5,20,4.643762588500977,0,joint_circular_roll_to_activation_center,-70:109,observed-comparison
