member_id,unit_id,formal_span,left_extent,right_extent,center_offset,unique_periodic_positions,wraps,globally_connected,coordinate_convention
2864601_0.437,2864601_0.437:u000,180,70,109,19.5,96,True,True,integer offsets -left_extent through +right_extent; wrapped modulo 96
2864601_0.437,2864601_0.437:u001,180,70,109,19.5,96,True,True,integer offsets -left_extent through +right_extent; wrapped modulo 96
2864601_0.437,2864601_0.437:u002,180,70,109,19.5,96,True,True,integer offsets -left_extent through +right_extent; wrapped modulo 96
2864601_0.437,2864601_0.437:u003,180,70,109,19.5,96,True,True,integer offsets -left_extent through +right_extent; wrapped modulo 96
2864601_0.437,2864601_0.437:u005,180,70,109,19.5,96,True,True,integer offsets -left_extent through +right_extent; wrapped modulo 96
2864601_0.437,2864601_0.437:u006,180,70,109,19.5,96,True,True,integer offsets -left_extent through +right_extent; wrapped modulo 96
2864601_0.437,2864601_0.437:u007,180,70,109,19.5,96,True,True,integer offsets -left_extent through +right_extent; wrapped modulo 96
2864601_0.437,2864601_0.437:u008,180,70,109,19.5,96,True,True,integer offsets -left_extent through +right_extent; wrapped modulo 96
2864601_0.437,2864601_0.437:u009,180,70,109,19.5,96,True,True,integer offsets -left_extent through +right_extent; wrapped modulo 96
2864601_0.371,2864601_0.371:u000,330,135,194,29.5,96,True,True,integer offsets -left_extent through +right_extent; wrapped modulo 96
2864601_0.371,2864601_0.371:u001,330,135,194,29.5,96,True,True,integer offsets -left_extent through +right_extent; wrapped modulo 96
2864601_0.371,2864601_0.371:u002,330,135,194,29.5,96,True,True,integer offsets -left_extent through +right_extent; wrapped modulo 96
2864601_0.371,2864601_0.371:u003,330,135,194,29.5,96,True,True,integer offsets -left_extent through +right_extent; wrapped modulo 96
2864601_0.371,2864601_0.371:u004,330,135,194,29.5,96,True,True,integer offsets -left_extent through +right_extent; wrapped modulo 96
2864601_0.371,2864601_0.371:u005,330,135,194,29.5,96,True,True,integer offsets -left_extent through +right_extent; wrapped modulo 96
2864601_0.371,2864601_0.371:u008,330,135,194,29.5,96,True,True,integer offsets -left_extent through +right_extent; wrapped modulo 96
2864601_0.371,2864601_0.371:u009,330,135,194,29.5,96,True,True,integer offsets -left_extent through +right_extent; wrapped modulo 96
2864601_0.371,2864601_0.371:u010,330,135,194,29.5,96,True,True,integer offsets -left_extent through +right_extent; wrapped modulo 96
2864601_0.371,2864601_0.371:u011,330,135,194,29.5,96,True,True,integer offsets -left_extent through +right_extent; wrapped modulo 96
2864601_0.371,2864601_0.371:u012,330,135,194,29.5,96,True,True,integer offsets -left_extent through +right_extent; wrapped modulo 96
2864601_0.371,2864601_0.371:u013,330,135,194,29.5,96,True,True,integer offsets -left_extent through +right_extent; wrapped modulo 96
2864601_0.371,2864601_0.371:u014,330,135,194,29.5,96,True,True,integer offsets -left_extent through +right_extent; wrapped modulo 96
2864601_0.371,2864601_0.371:u015,330,135,194,29.5,96,True,True,integer offsets -left_extent through +right_extent; wrapped modulo 96
2864601_0.371,2864601_0.371:u016,330,135,194,29.5,96,True,True,integer offsets -left_extent through +right_extent; wrapped modulo 96
2864601_0.371,2864601_0.371:u017,330,135,194,29.5,96,True,True,integer offsets -left_extent through +right_extent; wrapped modulo 96
2864601_0.371,2864601_0.371:u018,330,135,194,29.5,96,True,True,integer offsets -left_extent through +right_extent; wrapped modulo 96
2864601_0.371,2864601_0.371:u019,330,135,194,29.5,96,True,True,integer offsets -left_extent through +right_extent; wrapped modulo 96
2864601_0.371,2864601_0.371:u020,330,135,194,29.5,96,True,True,integer offsets -left_extent through +right_extent; wrapped modulo 96
2864601_0.371,2864601_0.371:u021,330,135,194,29.5,96,True,True,integer offsets -left_extent through +right_extent; wrapped modulo 96
