member_id,unit_id,stratum,concept,rank_correlation_zero_lag,lag_correlation_zero_lag,overlap_at_fixed_sparsity_tie_inclusive,overlap_chance_baseline,overlap_enrichment,density_mask_mean_count,concept_mask_mean_count,sparsity,best_lag,lag_correlation,lag_correlation_defined_rows,n_rows_with_defined_correlation,defined_correlation_fraction,partial_rank_correlation_density_local_controls,partial_control_position,validity_tag,bootstrap_group,bootstrap_recurrence,lag_correlation_ci95_lower,lag_correlation_ci95_upper
2864601_0.437,2864601_0.437:u000,overall,bmag,0.05529182957826657,0.0497799600340717,0.10046666666666666,0.0709375,1.4162701908957416,6.81,5.629,0.05,20,0.2605758964631878,0.26241278596494216,993,0.993,0.3199984580992482,density_position_not_lagged_concept_source,observed-comparison,equilibrium_files,0.0,0.23975491079128872,0.2810464954805688
2864601_0.437,2864601_0.437:u000,overall,bmag__mean_w9,0.07786241468766383,0.07343978165320623,0.11073333333333334,0.0709375,1.560998531571219,6.81,5.529,0.05,20,0.31156099462997133,0.313757295699871,993,0.993,0.37034121422090727,density_position_not_lagged_concept_source,observed-comparison,equilibrium_files,0.0,0.2885530006921348,0.33619465826942196
2864601_0.437,2864601_0.437:u000,overall,bmag__mean_w25,0.11062805636735518,0.10594195986404549,0.12463333333333333,0.0709375,1.7569456681350955,6.81,5.482,0.05,19,0.3696438952986382,0.3722496427982251,993,0.993,0.4263781392769132,density_position_not_lagged_concept_source,observed-comparison,equilibrium_files,0.0,0.3445537321577899,0.396647913442753
2864601_0.437,2864601_0.437:u000,overall,inverse_bmag,-0.05529182957826657,-0.04986294708533893,0.10046666666666666,0.0709375,1.4162701908957416,6.81,5.629,0.05,20,-0.2615246626965487,-0.2633682403792028,993,0.993,-0.31999845809924815,density_position_not_lagged_concept_source,observed-comparison,equilibrium_files,0.0,-0.282134052906744,-0.2405552515737506
2864601_0.437,2864601_0.437:u000,overall,inverse_bmag__mean_w9,-0.0785298300364994,-0.07355290479338403,0.11166666666666666,0.0709375,1.5741556534508077,6.81,5.296,0.05,20,-0.3126004605356037,-0.31480408915972197,993,0.993,-0.3711172944174474,density_position_not_lagged_concept_source,observed-comparison,equilibrium_files,0.0,-0.33678472439646545,-0.2897019386951553
2864601_0.437,2864601_0.437:u000,overall,inverse_bmag__mean_w25,-0.11177221060259046,-0.10726705404664091,0.12386666666666668,0.0709375,1.7461380323054334,6.81,5.17,0.05,19,-0.37225074851381906,-0.3748748726221744,993,0.993,-0.42801699225605033,density_position_not_lagged_concept_source,observed-comparison,equilibrium_files,0.0,-0.39904221657288963,-0.3481759977730296
2864601_0.437,2864601_0.437:u000,overall,bad_curvature,-0.05689985439024855,-0.052203303142371545,0.08796245211488801,0.0709375,1.2399993249675842,6.81,50.831,0.05,21,-0.2560501090047295,-0.27473187661451687,932,0.932,-0.31080670046331815,density_position_not_lagged_concept_source,observed-comparison,equilibrium_files,0.0,-0.27612622002910936,-0.23795673425373917
2864601_0.437,2864601_0.437:u000,overall,bad_curvature__mean_w9,-0.08874231464621493,-0.08063876220690658,0.09630588309099036,0.0709375,1.3576159730888508,6.81,32.004,0.05,19,-0.31748408375113785,-0.3406481585312642,932,0.932,-0.3765419059382467,density_position_not_lagged_concept_source,observed-comparison,equilibrium_files,0.0,-0.3401060258461019,-0.2953090363983935
2864601_0.437,2864601_0.437:u000,overall,bad_curvature__mean_w25,-0.11723056087844083,-0.11150688500244485,0.11098814021442167,0.0709375,1.564590522846473,6.81,22.283,0.05,19,-0.3762620209832038,-0.4037146147888449,932,0.932,-0.42462633442472164,density_position_not_lagged_concept_source,observed-comparison,equilibrium_files,0.0,-0.40290125863178167,-0.35082990966683747
2864601_0.437,2864601_0.437:u000,overall,good_curvature,0.05689985439024855,0.05220330314237152,0.08796245211488801,0.0709375,1.2399993249675842,6.81,50.831,0.05,21,0.2560501090047295,0.27473187661451687,932,0.932,0.30911120259915215,density_position_not_lagged_concept_source,observed-comparison,equilibrium_files,0.0,0.23795673425373914,0.27612622002910936
