member_id,unit_id,unit_index,stratum,n_equilibrium_files,signed_mean,standard_deviation,q50,q90,q99,maximum,active_fraction,median_active_positions,median_halfmax_positions,q90_halfmax_positions,s04_shapley_mean_absolute,s04_mean_ablation_rms,s04_shapley_rank
2864601_0.437,2864601_0.437:u000,0,overall,1000,1.063887119293213,0.9137147665023804,0.8833519220352173,2.3327097177505496,3.7521345210075325,5.630600452423096,0.8936041666666666,96.0,65.0,96.0,0.09242625590093667,0.21475383484071142,4.0
2864601_0.437,2864601_0.437:u000,0,stable_or_near_floor,240,0.9163016676902771,0.8875241279602051,0.6532129943370819,2.1947097778320326,3.712495167255403,5.119292259216309,0.8771701388888888,96.0,62.5,96.0,0.09242625590093667,0.21475383484071142,4.0
2864601_0.437,2864601_0.437:u000,0,unstable,760,1.1104929447174072,0.9169087409973145,0.9477238357067108,2.370792865753174,3.768281686306,5.630600452423096,0.8987938596491228,96.0,65.0,96.0,0.09242625590093667,0.21475383484071142,4.0
2864601_0.437,2864601_0.437:u001,1,overall,1000,1.8733383417129517,1.2695461511611938,1.7017854452133179,3.4110498189926157,6.076597595214838,12.729996681213379,0.9485625,96.0,96.0,96.0,0.4183336394447324,0.6342015484811914,1.0
2864601_0.437,2864601_0.437:u001,1,stable_or_near_floor,240,1.5038981437683105,1.052844524383545,1.384427547454834,2.7353706359863303,5.109392642974854,6.282045364379883,0.9213541666666667,96.0,96.0,96.0,0.4183336394447324,0.6342015484811914,1.0
2864601_0.437,2864601_0.437:u001,1,unstable,760,1.9900037050247192,1.3091835975646973,1.8043776750564575,3.5654865503311175,6.441319508552558,12.729996681213379,0.9571546052631579,96.0,96.0,96.0,0.4183336394447324,0.6342015484811914,1.0
2864601_0.437,2864601_0.437:u002,2,overall,1000,0.8597055077552795,0.7704238891601562,0.800632655620575,1.7581324219703691,3.2317620062827883,9.481535911560059,0.792125,96.0,81.0,96.0,0.03823037576804427,0.20053968462621174,9.0
2864601_0.437,2864601_0.437:u002,2,stable_or_near_floor,240,0.9277713298797607,0.6831631660461426,0.9384239912033081,1.7508882761001587,2.941084384918213,5.0457963943481445,0.8273871527777777,96.0,88.5,96.0,0.03823037576804427,0.20053968462621174,9.0
2864601_0.437,2864601_0.437:u002,2,unstable,760,0.8382108807563782,0.7947849035263062,0.752683162689209,1.761734163761139,3.330212488174443,9.481535911560059,0.7809895833333333,96.0,78.0,96.0,0.03823037576804427,0.20053968462621174,9.0
2864601_0.437,2864601_0.437:u003,3,overall,1000,0.19609755277633667,0.5480582118034363,0.0,0.8946899473667156,2.5979666280746376,3.0557258129119873,0.16395833333333334,0.0,96.0,96.0,0.1588110346283065,0.22818662073150656,3.0
