member_id,unit_id,motif_status,claimed_concept,best_observed_concept,lag,lag_correlation,lag_correlation_ci95_lower,lag_correlation_ci95_upper,bootstrap_recurrence,bootstrap_unit,natural_exemplar_count,independent_exemplar_equilibria,formal_receptive_field_span,receptive_field_left,receptive_field_right,unique_periodic_positions,shift_consistency_max_abs,natural_only,synthetic_optimization_used,validity_tag
2864601_0.437,2864601_0.437:u000,supported_named_motif,bad_curvature_compression_p1_Bm1__mean_w25,bad_curvature_compression_p1_Bm1__mean_w25,18,-0.39688489592352527,-0.423295619948851,-0.3725840104304078,0.95,equilibrium_files,16,16,180,-70,109,96,2.86102294921875e-06,True,False,observed-comparison
2864601_0.437,2864601_0.437:u001,supported_named_motif,f_Q_integrand_p3_Bm1__mean_w25,f_Q_integrand_p3_Bm1__mean_w25,23,-0.3694081202042421,-0.39576158058763544,-0.3435321185976277,0.994,equilibrium_files,16,16,180,-70,109,96,2.86102294921875e-06,True,False,observed-comparison
2864601_0.437,2864601_0.437:u002,unresolved_named_concept,none,radial_drift_geodesic_curvature__mean_w25,-31,-0.18153234840452398,-0.19969263854166677,-0.1633934190391747,0.986,equilibrium_files,16,16,180,-70,109,96,2.86102294921875e-06,True,False,observed-comparison
2864601_0.437,2864601_0.437:u003,unresolved_named_concept,none,radial_drift_geodesic_curvature__mean_w25,-28,0.10782263699124664,0.09255336702750946,0.12506623627853108,1.0,equilibrium_files,16,16,180,-70,109,96,2.86102294921875e-06,True,False,observed-comparison
2864601_0.437,2864601_0.437:u005,unresolved_named_concept,none,f_Q_integrand_p3_Bm1__mean_w9,39,-0.1926829197303246,-0.2084738552938076,-0.17697623422954675,0.998,equilibrium_files,16,16,180,-70,109,96,2.86102294921875e-06,True,False,observed-comparison
2864601_0.437,2864601_0.437:u006,unresolved_named_concept,none,radial_drift_geodesic_curvature__mean_w25,22,-0.19842827089252665,-0.21938013381044077,-0.1765153334361248,1.0,equilibrium_files,16,16,180,-70,109,96,2.86102294921875e-06,True,False,observed-comparison
2864601_0.437,2864601_0.437:u007,unresolved_named_concept,none,f_Q_integrand_p3_Bm1__mean_w25,-22,0.15602850827967163,0.13511298997465776,0.17410344969615768,0.982,equilibrium_files,16,16,180,-70,109,96,2.86102294921875e-06,True,False,observed-comparison
2864601_0.437,2864601_0.437:u008,supported_named_motif,radial_drift_geodesic_curvature__mean_w25,radial_drift_geodesic_curvature__mean_w25,-39,-0.3150370488547432,-0.336026847416048,-0.2921841619264197,0.988,equilibrium_files,16,16,180,-70,109,96,2.86102294921875e-06,True,False,observed-comparison
2864601_0.437,2864601_0.437:u009,unresolved_named_concept,none,radial_drift_geodesic_curvature__mean_w25,46,0.02529994752094807,0.016334653539013273,0.03481997060628295,0.948,equilibrium_files,16,16,180,-70,109,96,2.86102294921875e-06,True,False,observed-comparison
2864601_0.371,2864601_0.371:u000,supported_named_motif,bad_curvature_compression_p1_Bm1__mean_w25,bad_curvature_compression_p1_Bm1__mean_w25,-15,-0.38581751574630535,-0.41093967565818446,-0.3628907625803452,1.0,equilibrium_files,16,16,330,-135,194,96,1.0013580322265625e-05,True,False,observed-comparison
