function,method,stratum,statistic,estimate,ci_lower,ci_upper,replicates,resampling_unit,native_gap_estimate,native_gap_ci_lower,native_gap_ci_upper,oriented_native_gap_estimate,oriented_native_gap_ci_lower,oriented_native_gap_ci_upper,per_row_oriented_native_gap_estimate,per_row_oriented_native_gap_ci_lower,per_row_oriented_native_gap_ci_upper,row_favouring_fraction_estimate,denominator_estimate,denominator_ci_lower,denominator_ci_upper,denominator_negative_fraction,denominator_abs_below_0_005_fraction,control_map,control_map_normalized_margin_estimate,control_map_per_row_oriented_native_gap_estimate,control_map_per_row_oriented_native_gap_ci_lower,control_map_per_row_oriented_native_gap_ci_upper,control_map_row_favouring_fraction_estimate,method_minus_control_map_gap_estimate,method_minus_control_map_gap_ci_lower,method_minus_control_map_gap_ci_upper
original_f,scaled_gradient,all,sample_mean_absolute_attribution,0.011296450101781375,0.00931463563014745,0.013475639392055427,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
original_f,scaled_gradient,stable_or_near_floor,sample_mean_absolute_attribution,0.0022709102592092345,0.0011161167898204771,0.0037646201194024105,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
original_f,scaled_gradient,unstable,sample_mean_absolute_attribution,0.014431637626043275,0.012084106629113911,0.017139717556266604,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
original_f,ig_robust_constant,all,sample_mean_absolute_attribution,0.005829263803548201,0.005018921042722013,0.00661067713723753,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
original_f,ig_robust_constant,stable_or_near_floor,sample_mean_absolute_attribution,0.001140474921681523,0.0005271959784901507,0.0018337370361967422,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
original_f,ig_robust_constant,unstable,sample_mean_absolute_attribution,0.007458000994091363,0.00665332427992804,0.008215683972505902,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
original_f,ig_matched_observed,all,sample_mean_absolute_attribution,0.008019481853921206,0.007072008666818874,0.008954726570490833,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
original_f,ig_matched_observed,stable_or_near_floor,sample_mean_absolute_attribution,0.002814951190940161,0.0015731477936655705,0.004247393721776792,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
original_f,ig_matched_observed,unstable,sample_mean_absolute_attribution,0.009827371452640938,0.008807593848905526,0.011021949786319103,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
original_f,ig_medoid,all,sample_mean_absolute_attribution,0.006587346561161667,0.005696227427067413,0.007509752549410109,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
original_f,ig_medoid,stable_or_near_floor,sample_mean_absolute_attribution,0.001254536519065203,0.00061369208569059,0.002014512489690925,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
original_f,ig_medoid,unstable,sample_mean_absolute_attribution,0.008439796365258333,0.0075893934314004395,0.009320375251332542,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
original_f,ig_low_pass,all,sample_mean_absolute_attribution,0.0014340646812556201,0.0010445820063578637,0.0017918135127812812,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
original_f,ig_low_pass,stable_or_near_floor,sample_mean_absolute_attribution,0.0006978872703036883,0.0001632413671400586,0.001385414951761793,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
original_f,ig_low_pass,unstable,sample_mean_absolute_attribution,0.001689789466112607,0.0012411942087227974,0.0021340970778922046,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
original_f,expected_gradients,all,sample_mean_absolute_attribution,0.0067524162858489944,0.006047867447779254,0.007506655475347656,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
original_f,expected_gradients,stable_or_near_floor,sample_mean_absolute_attribution,0.002023602362676298,0.0011667962599775901,0.0029119842591061374,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
original_f,expected_gradients,unstable,sample_mean_absolute_attribution,0.008395056911793194,0.007660714265657589,0.00901838493061644,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
original_f,vargrad,all,sample_mean_absolute_attribution,0.00016852830041196726,8.257613880219786e-05,0.00028948274495926965,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
original_f,vargrad,stable_or_near_floor,sample_mean_absolute_attribution,2.0018168801759202e-05,4.7804638682117074e-06,4.266460809441217e-05,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
original_f,vargrad,unstable,sample_mean_absolute_attribution,0.00022011603033972375,0.00010374210022836163,0.00038466492175189156,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
original_f,cyclic_occlusion,all,sample_mean_absolute_attribution,0.007568111133650746,0.00658313178123251,0.008764091642589733,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
original_f,cyclic_occlusion,stable_or_near_floor,sample_mean_absolute_attribution,0.002111148010678307,0.0011615627819330917,0.00332051243817797,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
original_f,cyclic_occlusion,unstable,sample_mean_absolute_attribution,0.00946368779742012,0.008225711103112094,0.010682815929605185,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
original_f,periodic_mask,all,sample_mean_absolute_attribution,0.1094893982517533,0.10787343020929256,0.11115094443957788,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
original_f,periodic_mask,stable_or_near_floor,sample_mean_absolute_attribution,0.10364791796062932,0.10246032699378152,0.10510523604849975,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
original_f,periodic_mask,unstable,sample_mean_absolute_attribution,0.1115185440370911,0.10941488780473409,0.11357065243940605,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
original_f,periodic_mask_robust_constant,all,sample_mean_absolute_attribution,0.11043813551077619,0.10884491446486208,0.1122855841749697,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
original_f,periodic_mask_robust_constant,stable_or_near_floor,sample_mean_absolute_attribution,0.10431322568293774,0.10265242866042888,0.10616681151317828,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
original_f,periodic_mask_robust_constant,unstable,sample_mean_absolute_attribution,0.11256573576676218,0.11038403016368026,0.1148380785631506,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
original_f,tsr_scaled_gradient,all,sample_mean_absolute_attribution,0.01129644992397516,0.009213616963450022,0.013595676895351969,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
original_f,tsr_scaled_gradient,stable_or_near_floor,sample_mean_absolute_attribution,0.002270910246862155,0.001180291733643654,0.003813967301120458,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
original_f,tsr_scaled_gradient,unstable,sample_mean_absolute_attribution,0.014431637390761783,0.01232373625419936,0.017021470880197162,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
original_f,tsr_ig_robust_constant,all,sample_mean_absolute_attribution,0.005829263708278631,0.005141528819373775,0.0066497809680200245,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
original_f,tsr_ig_robust_constant,stable_or_near_floor,sample_mean_absolute_attribution,0.0011404749119802464,0.000529615540951702,0.0018746814691357112,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
original_f,tsr_ig_robust_constant,unstable,sample_mean_absolute_attribution,0.007458000869098071,0.006677400463040133,0.008285536655733412,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
invariant_tilde_f,scaled_gradient,all,sample_mean_absolute_attribution,0.009330537476898826,0.007843033714456738,0.010968188419377611,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
invariant_tilde_f,scaled_gradient,stable_or_near_floor,sample_mean_absolute_attribution,0.0024962290163702246,0.0011750720183375631,0.0040457210031573515,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
invariant_tilde_f,scaled_gradient,unstable,sample_mean_absolute_attribution,0.011704560415819288,0.009915448651820617,0.013851071010515288,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
invariant_tilde_f,ig_robust_constant,all,sample_mean_absolute_attribution,0.004988364012660895,0.004309034667743105,0.005652695268830143,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
invariant_tilde_f,ig_robust_constant,stable_or_near_floor,sample_mean_absolute_attribution,0.0009427754910465217,0.00041794048216119834,0.001510945917989099,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
invariant_tilde_f,ig_robust_constant,unstable,sample_mean_absolute_attribution,0.00639367370964273,0.00574032495815405,0.007077020546421408,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
invariant_tilde_f,ig_matched_observed,all,sample_mean_absolute_attribution,0.006932304757185648,0.006143853424406131,0.007686855830678496,500,equilibrium_files,,,,,,,,,,,,,,,,,,,,,,,,
