function,method,artifact_method,batch_layout_adapter,deterministic_optimizer,stratum,row_count,signed,contribution_valued,validity_tag,baseline_family,baseline_validity_tag,registered_baseline_convention,faithfulness_replacement,runtime_seconds,sparsity_fraction_for_90pct_mass,deletion_auc,random_deletion_auc,deletion_margin_vs_random,insertion_auc,random_insertion_auc,insertion_margin_vs_random,toy_channel_top1,toy_position_average_precision,toy_deletion_margin_vs_random,normalized_infidelity,cyclic_equivariance_relative_rms,cyclic_equivariance_baseline_convention,cyclic_equivariance_fixed_baseline_relative_rms,parameter_randomization_correlation,trained_map_input_baseline_abs_rank_correlation,randomized_map_input_baseline_abs_rank_correlation,relative_local_sensitivity,completeness_median_abs,completeness_q90_abs,completeness_max_abs,baseline_rank_correlation_vs_robust_constant,canonical_original_rank_correlation,control_map,deletion_control_map_margin_vs_random,deletion_method_minus_control_map_gap_estimate,deletion_method_minus_control_map_gap_ci_lower,deletion_method_minus_control_map_gap_ci_upper,deletion_margin_vs_control_map,insertion_control_map_margin_vs_random,insertion_method_minus_control_map_gap_estimate,insertion_method_minus_control_map_gap_ci_lower,insertion_method_minus_control_map_gap_ci_upper,insertion_margin_vs_control_map
invariant_tilde_f,ig_robust_constant,integrated_gradients_captum,none,not_applicable,all,64,True,True,deliberately_off_manifold_diagnostic,robust_constant,deliberately_off_manifold_diagnostic,fixed,robust_constant,1.75128895798116,0.4672619104385376,-0.029632569173977587,0.39716519857939514,0.42679776775337275,0.9020269040554787,0.35747875979165894,0.5445481442638198,1.0,1.0,0.5322035987213501,0.31120678782463074,9.91793854154821e-07,co_shifted,9.91793854154821e-07,0.30020050481637045,nan,nan,0.02814769372344017,0.009733319282531738,0.04892992228269577,0.13562893867492676,1.0,0.8666807286536561,absolute_input_minus_baseline,0.11019082110862531,0.25617847562534735,0.17938529600505715,0.3235531592008191,0.3166069466447474,0.06035109146819351,0.4172404482087586,0.31251534882103443,0.5167619558308797,0.4841970527956263
invariant_tilde_f,ig_robust_constant,integrated_gradients_captum,none,not_applicable,stable_or_near_floor,18,True,True,deliberately_off_manifold_diagnostic,robust_constant,deliberately_off_manifold_diagnostic,fixed,robust_constant,1.75128895798116,0.4776785671710968,0.6506325923922686,0.866260497879455,0.21562790548718647,1.0794672381776378,0.9482717800021655,0.1311954581754723,1.0,1.0,0.5322035987213501,,,,,,,,,,,,,,absolute_input_minus_baseline,0.13063088182441593,0.026726303332381796,0.0072193673584196325,0.04459162598268854,0.08499702366277054,-0.09957033738091474,0.06256362150112788,0.0168417290577458,0.13215805374292863,0.23076579555638704
invariant_tilde_f,ig_robust_constant,integrated_gradients_captum,none,not_applicable,unstable,46,True,True,deliberately_off_manifold_diagnostic,robust_constant,deliberately_off_manifold_diagnostic,fixed,robust_constant,1.75128895798116,0.4672619104385376,0.023002772529532915,0.4416266257120123,0.41862385318247936,0.9157562588932433,0.39984173155542846,0.5159145273378148,1.0,1.0,0.5322035987213501,,,,,,,,,,,,,,absolute_input_minus_baseline,0.11993768774066287,0.3459641033459615,0.26166584906512463,0.4345215311820578,0.2986861654418165,0.05132665126343862,0.5560270330706693,0.4204305389783668,0.7501341069084793,0.46458787607437624
invariant_tilde_f,ig_matched_observed,integrated_gradients_captum,none,not_applicable,all,64,True,True,deliberately_off_manifold_diagnostic,matched_observed,observed_comparison,fixed,matched_observed,1.6913529580051545,0.449404776096344,-5.834441934204196,-15.317838383042655,-9.483396448838459,-6.332363131729468,-15.994991039098789,9.66262790736932,1.0,1.0,0.5322035987213501,0.5584562420845032,6.389920059746146e-08,co_shifted,0.918950080871582,0.4346101680867311,nan,nan,0.019312603399157524,0.013646602630615234,0.12729603052139282,0.28101444244384766,0.5705788451448071,0.8734153812611556,absolute_input_minus_baseline,-0.45562679886223295,0.13590422138804567,0.01771274250495478,0.2380061034302343,-9.027769649976225,8.025520351233565,0.08702163809211927,-0.015718042757362154,0.16288543262926394,1.6371075561357546
invariant_tilde_f,ig_matched_observed,integrated_gradients_captum,none,not_applicable,stable_or_near_floor,18,True,True,deliberately_off_manifold_diagnostic,matched_observed,observed_comparison,fixed,matched_observed,1.6913529580051545,0.4613095223903656,0.2533163509315456,0.7760147328948594,0.5226983819633139,0.9972402274477936,0.8050750188340655,0.1921652086137281,1.0,1.0,0.5322035987213501,,,,,,,,,,,,,,absolute_input_minus_baseline,0.24514346690706554,0.07753919685880345,0.0053853094081084,0.19275334311442216,0.2775549150562483,-0.2906039386475025,0.026681164569324914,-0.13582520102875098,0.18443501426113962,0.4827691472612306
invariant_tilde_f,ig_matched_observed,integrated_gradients_captum,none,not_applicable,unstable,46,True,True,deliberately_off_manifold_diagnostic,matched_observed,observed_comparison,fixed,matched_observed,1.6913529580051545,0.4404761791229248,-0.46471097521418075,-1.4770387123394837,-1.012327737125303,0.13274134690606576,-1.0540690768761092,1.186810423782175,1.0,1.0,0.5322035987213501,,,,,,,,,,,,,,absolute_input_minus_baseline,-0.19235456934877593,0.15874270581356847,0.029452682292979676,0.302845277207215,-0.8199731677765271,0.5678919651204946,0.11063312914060508,0.025096802477441314,0.2393605015596941,0.6189184586616805
invariant_tilde_f,ig_medoid,integrated_gradients_captum,none,not_applicable,all,64,True,True,deliberately_off_manifold_diagnostic,medoid,observed_comparison,fixed,medoid,1.6994475000246894,0.4702380895614624,0.03136054685852502,0.41374202791933085,0.38238148106080583,0.9070854757398936,0.391106474319334,0.5159790014205596,1.0,1.0,0.5322035987213501,0.16016042232513428,7.851078009935009e-08,co_shifted,0.5256184935569763,0.40034681015440077,nan,nan,0.01847711019217968,0.010960325598716736,0.07927700877189636,0.15871238708496094,0.7364689703610445,0.8787293387354076,absolute_input_minus_baseline,0.032353839276950354,0.33876677466323596,0.2689375631755684,0.4141562464642629,0.3500276417838555,-0.0028412449066820616,0.5086034825304523,0.3931747300334973,0.644733420611592,0.5188202463272417
invariant_tilde_f,ig_medoid,integrated_gradients_captum,none,not_applicable,stable_or_near_floor,18,True,True,deliberately_off_manifold_diagnostic,medoid,observed_comparison,fixed,medoid,1.6994475000246894,0.4895833432674408,0.862908469299544,1.274964287239573,0.412055817940029,1.2336373704215875,1.2101417612502559,0.023495609171331644,1.0,1.0,0.5322035987213501,,,,,,,,,,,,,,absolute_input_minus_baseline,0.23013601039130877,0.037072419457965425,0.005561383283800551,0.10170236446791216,0.18191980754872022,-0.018929493438424573,0.05374003003040949,0.01603822246193886,0.09024407976617413,0.04242510260975622
invariant_tilde_f,ig_medoid,integrated_gradients_captum,none,not_applicable,unstable,46,True,True,deliberately_off_manifold_diagnostic,medoid,observed_comparison,fixed,medoid,1.6994475000246894,0.462797611951828,0.05108580100693346,0.4496648647565276,0.3985790637495942,0.9148317546644189,0.41864291105738405,0.49618884360703486,1.0,1.0,0.5322035987213501,,,,,,,,,,,,,,absolute_input_minus_baseline,0.05253907562108072,0.45682108876416866,0.3501015261718598,0.5460428770046437,0.34603998812851344,-0.011330828116993787,0.6865935319143792,0.4976356025202118,0.835221642366732,0.5075196717240287
invariant_tilde_f,ig_low_pass,integrated_gradients_captum,none,not_applicable,all,64,True,True,deliberately_off_manifold_diagnostic,low_pass,deliberately_off_manifold_diagnostic,co_shifted_input_derived,low_pass,1.566549582988955,0.369047611951828,-0.019860679351608533,-0.04830773708341943,-0.028447057731810894,0.8683699315418067,-0.4656345564136848,1.3340044879554915,1.0,1.0,0.5322035987213501,0.11504146456718445,5.827840965366704e-08,co_shifted,3.277998685836792,0.5928699435346628,0.6472487585900257,0.831662672635848,0.023108908906579018,0.00011296290904283524,0.0018526162020862103,0.009732574224472046,0.42594963777492256,0.885582262445907,absolute_input_minus_baseline,0.855912691550074,0.006605306480196308,-0.0003979053973307558,0.012988842220802316,-0.8843597492818849,1.552543877779137,0.007093454152345663,0.0019510491617256765,0.012872130977921191,-0.2185393898236454
