function,method,gradient_set,stratum,channel,channel_name,statistic,estimate,ci_lower,ci_upper,replicates,member_resampling_unit,sample_resampling_unit
original_f,ig_low_pass,varied,all,0,bmag,mean_absolute_attribution,0.000611065251233661,0.000519657275164834,0.0007004491981733563,500,members,equilibrium_files
original_f,ig_low_pass,varied,all,1,gbdrift,mean_absolute_attribution,0.0022364303297598186,0.0019499267428546498,0.002585700793825234,500,members,equilibrium_files
original_f,ig_low_pass,varied,all,2,cvdrift,mean_absolute_attribution,0.0011939114051961162,0.0010206256604488588,0.0013567289442536767,500,members,equilibrium_files
original_f,ig_low_pass,varied,all,3,gbdrift0_over_shat,mean_absolute_attribution,0.002619419073249006,0.002359192850319837,0.002948517711464613,500,members,equilibrium_files
original_f,ig_low_pass,varied,all,4,gds2,mean_absolute_attribution,0.002016629285105481,0.0015213971489223487,0.0026512072691666365,500,members,equilibrium_files
original_f,ig_low_pass,varied,all,5,gds21_over_shat,mean_absolute_attribution,0.0018721699060723382,0.001648151605204722,0.0020948184356454572,500,members,equilibrium_files
original_f,ig_low_pass,varied,all,6,gds22_over_shat_squared,mean_absolute_attribution,0.001154531641782897,0.0010047936697983985,0.0013001989723975672,500,members,equilibrium_files
original_f,ig_low_pass,varied,stable_or_near_floor,0,bmag,mean_absolute_attribution,0.0002720983018533574,0.0001787405305458024,0.0003923031824180636,500,members,equilibrium_files
original_f,ig_low_pass,varied,stable_or_near_floor,1,gbdrift,mean_absolute_attribution,0.0012163748757234194,0.0007679528992521587,0.001803704115108031,500,members,equilibrium_files
original_f,ig_low_pass,varied,stable_or_near_floor,2,cvdrift,mean_absolute_attribution,0.0006327754038102318,0.00037238050364522785,0.0009561744654283676,500,members,equilibrium_files
original_f,ig_low_pass,varied,stable_or_near_floor,3,gbdrift0_over_shat,mean_absolute_attribution,0.001142745645662598,0.0007389348372047119,0.001603412388446367,500,members,equilibrium_files
original_f,ig_low_pass,varied,stable_or_near_floor,4,gds2,mean_absolute_attribution,0.0007379137572832099,0.0004118225253391885,0.0011271847052897375,500,members,equilibrium_files
original_f,ig_low_pass,varied,stable_or_near_floor,5,gds21_over_shat,mean_absolute_attribution,0.0007702479265870939,0.0004892206098971323,0.0011783797332106168,500,members,equilibrium_files
original_f,ig_low_pass,varied,stable_or_near_floor,6,gds22_over_shat_squared,mean_absolute_attribution,0.00042983998135624665,0.00032166635795501016,0.0005694865607055243,500,members,equilibrium_files
original_f,ig_low_pass,varied,unstable,0,bmag,mean_absolute_attribution,0.0007181074457748095,0.0006098797367530869,0.0008463989156363633,500,members,equilibrium_files
original_f,ig_low_pass,varied,unstable,1,gbdrift,mean_absolute_attribution,0.002558553104718681,0.00221007598883374,0.0028945806837791365,500,members,equilibrium_files
original_f,ig_low_pass,varied,unstable,2,cvdrift,mean_absolute_attribution,0.0013711122477390273,0.0011985960870401421,0.0016030090994021212,500,members,equilibrium_files
original_f,ig_low_pass,varied,unstable,3,gbdrift0_over_shat,mean_absolute_attribution,0.0030857369977499763,0.0027904469482696215,0.003413620530647305,500,members,equilibrium_files
original_f,ig_low_pass,varied,unstable,4,gds2,mean_absolute_attribution,0.002420434188628304,0.0017924353080406264,0.003318310791256599,500,members,equilibrium_files
original_f,ig_low_pass,varied,unstable,5,gds21_over_shat,mean_absolute_attribution,0.002220145268015047,0.00196220968175914,0.0025216282203490404,500,members,equilibrium_files
original_f,ig_low_pass,varied,unstable,6,gds22_over_shat_squared,mean_absolute_attribution,0.0013833816398123658,0.0012112732318412028,0.0015801655779114267,500,members,equilibrium_files
original_f,ig_low_pass,fixed,all,0,bmag,mean_absolute_attribution,0.00046789119887107907,0.000405953577564425,0.000529396777904841,500,members,equilibrium_files
original_f,ig_low_pass,fixed,all,1,gbdrift,mean_absolute_attribution,0.0017786590739459073,0.0015270827910041137,0.00205205230272584,500,members,equilibrium_files
original_f,ig_low_pass,fixed,all,2,cvdrift,mean_absolute_attribution,0.0009685411766670655,0.0008260047066413345,0.0011240696044051443,500,members,equilibrium_files
original_f,ig_low_pass,fixed,all,3,gbdrift0_over_shat,mean_absolute_attribution,0.002184341307889565,0.001976793256532267,0.0024166544336783457,500,members,equilibrium_files
original_f,ig_low_pass,fixed,all,4,gds2,mean_absolute_attribution,0.002164379048206135,0.0014747250872595074,0.003086425573485458,500,members,equilibrium_files
original_f,ig_low_pass,fixed,all,5,gds21_over_shat,mean_absolute_attribution,0.0015537980137629859,0.0013476826628406441,0.0017644082446636468,500,members,equilibrium_files
original_f,ig_low_pass,fixed,all,6,gds22_over_shat_squared,mean_absolute_attribution,0.0009318830373726171,0.0008360711314426424,0.0010324772696121076,500,members,equilibrium_files
original_f,ig_low_pass,fixed,stable_or_near_floor,0,bmag,mean_absolute_attribution,7.068654853120548e-05,8.243139627816701e-06,0.000201044335934397,500,members,equilibrium_files
original_f,ig_low_pass,fixed,stable_or_near_floor,1,gbdrift,mean_absolute_attribution,0.00029240317179374107,8.74714523401728e-05,0.0005889005636128932,500,members,equilibrium_files
original_f,ig_low_pass,fixed,stable_or_near_floor,2,cvdrift,mean_absolute_attribution,0.00013596393439901594,3.5143794903463716e-05,0.00032226713430011985,500,members,equilibrium_files
original_f,ig_low_pass,fixed,stable_or_near_floor,3,gbdrift0_over_shat,mean_absolute_attribution,0.00043501665594871867,0.00016424971603891104,0.0007896104366871949,500,members,equilibrium_files
original_f,ig_low_pass,fixed,stable_or_near_floor,4,gds2,mean_absolute_attribution,0.00021042200368660122,7.744884609940566e-05,0.0003883943840698122,500,members,equilibrium_files
original_f,ig_low_pass,fixed,stable_or_near_floor,5,gds21_over_shat,mean_absolute_attribution,0.00029090858054453984,0.00013512361902090776,0.0004678983893443854,500,members,equilibrium_files
original_f,ig_low_pass,fixed,stable_or_near_floor,6,gds22_over_shat_squared,mean_absolute_attribution,9.016045307952896e-05,3.4980416204669e-05,0.00016613009812366732,500,members,equilibrium_files
original_f,ig_low_pass,fixed,unstable,0,bmag,mean_absolute_attribution,0.00047724197364878334,0.0004145635207731947,0.0005338799415898934,500,members,equilibrium_files
original_f,ig_low_pass,fixed,unstable,1,gbdrift,mean_absolute_attribution,0.0018136476980497964,0.0015471907198733302,0.0020881670793980625,500,members,equilibrium_files
original_f,ig_low_pass,fixed,unstable,2,cvdrift,mean_absolute_attribution,0.0009881412550418506,0.0008502584945688088,0.0011399288276227265,500,members,equilibrium_files
original_f,ig_low_pass,fixed,unstable,3,gbdrift0_over_shat,mean_absolute_attribution,0.002225522952715194,0.0020132820755730313,0.002500582130032516,500,members,equilibrium_files
original_f,ig_low_pass,fixed,unstable,4,gds2,mean_absolute_attribution,0.002210378036971692,0.0014067189628207712,0.003259158743893799,500,members,equilibrium_files
original_f,ig_low_pass,fixed,unstable,5,gds21_over_shat,mean_absolute_attribution,0.0015835282665409023,0.001392546399341788,0.0017796953829396602,500,members,equilibrium_files
original_f,ig_low_pass,fixed,unstable,6,gds22_over_shat_squared,mean_absolute_attribution,0.0009516984103907759,0.0008581808413763208,0.0010530373202078547,500,members,equilibrium_files
original_f,periodic_mask,varied,all,0,bmag,mean_absolute_attribution,0.07391243716171012,0.07034907312051393,0.07760199631746859,500,members,equilibrium_files
original_f,periodic_mask,varied,all,1,gbdrift,mean_absolute_attribution,0.1198817405355163,0.11678936072597863,0.12310124677557731,500,members,equilibrium_files
original_f,periodic_mask,varied,all,2,cvdrift,mean_absolute_attribution,0.08527214432624168,0.08191955376039142,0.08798840903349453,500,members,equilibrium_files
original_f,periodic_mask,varied,all,3,gbdrift0_over_shat,mean_absolute_attribution,0.13769886202700435,0.1319981925683259,0.1440923260302632,500,members,equilibrium_files
original_f,periodic_mask,varied,all,4,gds2,mean_absolute_attribution,0.12167930805087089,0.11825141381293534,0.12539292065113783,500,members,equilibrium_files
original_f,periodic_mask,varied,all,5,gds21_over_shat,mean_absolute_attribution,0.11203175178645179,0.1090993115820922,0.11489292411266126,500,members,equilibrium_files
original_f,periodic_mask,varied,all,6,gds22_over_shat_squared,mean_absolute_attribution,0.11540269600823522,0.11160248444495723,0.11981356510027312,500,members,equilibrium_files
original_f,periodic_mask,varied,stable_or_near_floor,0,bmag,mean_absolute_attribution,0.07195323824319834,0.06811780218191173,0.07617337894454249,500,members,equilibrium_files
original_f,periodic_mask,varied,stable_or_near_floor,1,gbdrift,mean_absolute_attribution,0.11412634516057248,0.10882409102642365,0.11945834038664664,500,members,equilibrium_files
original_f,periodic_mask,varied,stable_or_near_floor,2,cvdrift,mean_absolute_attribution,0.07975638443216061,0.07670343115807433,0.08290305387426633,500,members,equilibrium_files
original_f,periodic_mask,varied,stable_or_near_floor,3,gbdrift0_over_shat,mean_absolute_attribution,0.1223453424226803,0.11594940921338276,0.1300669688695731,500,members,equilibrium_files
original_f,periodic_mask,varied,stable_or_near_floor,4,gds2,mean_absolute_attribution,0.11282679168662678,0.10635400139988634,0.11923848897040201,500,members,equilibrium_files
original_f,periodic_mask,varied,stable_or_near_floor,5,gds21_over_shat,mean_absolute_attribution,0.10860016128746793,0.10473211755326096,0.11225934983143815,500,members,equilibrium_files
original_f,periodic_mask,varied,stable_or_near_floor,6,gds22_over_shat_squared,mean_absolute_attribution,0.11700808345340193,0.11054691001216027,0.12363414311405116,500,members,equilibrium_files
original_f,periodic_mask,varied,unstable,0,bmag,mean_absolute_attribution,0.07453113155702962,0.07041775567054528,0.07890879342498375,500,members,equilibrium_files
original_f,periodic_mask,varied,unstable,1,gbdrift,mean_absolute_attribution,0.12169923381181434,0.11841564890825478,0.1254680393975608,500,members,equilibrium_files
original_f,periodic_mask,varied,unstable,2,cvdrift,mean_absolute_attribution,0.08701396324016203,0.0841790852204722,0.09032731409888028,500,members,equilibrium_files
original_f,periodic_mask,varied,unstable,3,gbdrift0_over_shat,mean_absolute_attribution,0.14254734190205406,0.13631687368737766,0.1485550302521626,500,members,equilibrium_files
original_f,periodic_mask,varied,unstable,4,gds2,mean_absolute_attribution,0.12447483953431641,0.12057302377852734,0.12822326432977876,500,members,equilibrium_files
original_f,periodic_mask,varied,unstable,5,gds21_over_shat,mean_absolute_attribution,0.11311541194402563,0.10971211168354708,0.11639246338662557,500,members,equilibrium_files
original_f,periodic_mask,varied,unstable,6,gds22_over_shat_squared,mean_absolute_attribution,0.11489573155186678,0.11068910112464188,0.12003209743374273,500,members,equilibrium_files
original_f,periodic_mask,fixed,all,0,bmag,mean_absolute_attribution,0.05980157948215492,0.05586660062621813,0.06355267524073249,500,members,equilibrium_files
original_f,periodic_mask,fixed,all,1,gbdrift,mean_absolute_attribution,0.1360395768739749,0.1320034425009717,0.14002388585059786,500,members,equilibrium_files
original_f,periodic_mask,fixed,all,2,cvdrift,mean_absolute_attribution,0.07916086698845029,0.0757994890913146,0.08269043791005853,500,members,equilibrium_files
original_f,periodic_mask,fixed,all,3,gbdrift0_over_shat,mean_absolute_attribution,0.16029451800296082,0.15412486898269503,0.16678863417975606,500,members,equilibrium_files
original_f,periodic_mask,fixed,all,4,gds2,mean_absolute_attribution,0.13976149639617652,0.13566115315156987,0.1447699872962758,500,members,equilibrium_files
original_f,periodic_mask,fixed,all,5,gds21_over_shat,mean_absolute_attribution,0.11747820849642157,0.11363160103920149,0.12198523763546487,500,members,equilibrium_files
original_f,periodic_mask,fixed,all,6,gds22_over_shat_squared,mean_absolute_attribution,0.12538100997777657,0.11981799519514665,0.13114906897770243,500,members,equilibrium_files
original_f,periodic_mask,fixed,stable_or_near_floor,0,bmag,mean_absolute_attribution,0.06602177733919867,0.051876249178160874,0.08259946354087846,500,members,equilibrium_files
original_f,periodic_mask,fixed,stable_or_near_floor,1,gbdrift,mean_absolute_attribution,0.12147314001846572,0.09875994108475583,0.14810905173886565,500,members,equilibrium_files
original_f,periodic_mask,fixed,stable_or_near_floor,2,cvdrift,mean_absolute_attribution,0.07428595142681961,0.06713226501748938,0.08148992750813941,500,members,equilibrium_files
original_f,periodic_mask,fixed,stable_or_near_floor,3,gbdrift0_over_shat,mean_absolute_attribution,0.14533842849423703,0.13068066042159562,0.16272742494333373,500,members,equilibrium_files
original_f,periodic_mask,fixed,stable_or_near_floor,4,gds2,mean_absolute_attribution,0.12749064120909442,0.114399654360731,0.13948662663769462,500,members,equilibrium_files
original_f,periodic_mask,fixed,stable_or_near_floor,5,gds21_over_shat,mean_absolute_attribution,0.10764144582916861,0.09480645918510044,0.12072209265933412,500,members,equilibrium_files
original_f,periodic_mask,fixed,stable_or_near_floor,6,gds22_over_shat_squared,mean_absolute_attribution,0.11487837184382521,0.10028334176613261,0.13222192968079902,500,members,equilibrium_files
original_f,periodic_mask,fixed,unstable,0,bmag,mean_absolute_attribution,0.059655146983985004,0.05615192455758637,0.06293788960280265,500,members,equilibrium_files
original_f,periodic_mask,fixed,unstable,1,gbdrift,mean_absolute_attribution,0.13638249196883334,0.13256194580594668,0.1408496993719462,500,members,equilibrium_files
original_f,periodic_mask,fixed,unstable,2,cvdrift,mean_absolute_attribution,0.07927562958611406,0.07571788291364885,0.08289508519738772,500,members,equilibrium_files
original_f,periodic_mask,fixed,unstable,3,gbdrift0_over_shat,mean_absolute_attribution,0.16064660608760836,0.1538652869280091,0.16733863677625033,500,members,equilibrium_files
original_f,periodic_mask,fixed,unstable,4,gds2,mean_absolute_attribution,0.14005037016209554,0.1357739177743829,0.14443855408828385,500,members,equilibrium_files
original_f,periodic_mask,fixed,unstable,5,gds21_over_shat,mean_absolute_attribution,0.11770978018664349,0.11373188468297332,0.1219535608733518,500,members,equilibrium_files
original_f,periodic_mask,fixed,unstable,6,gds22_over_shat_squared,mean_absolute_attribution,0.12562825734428718,0.11927213253143092,0.13181117354485872,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,varied,all,0,bmag,mean_absolute_attribution,0.0004951219480313063,0.0004290626812829734,0.0005626591947392544,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,varied,all,1,gbdrift,mean_absolute_attribution,0.0019603075761016942,0.0017138884003118215,0.002209379799700335,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,varied,all,2,cvdrift,mean_absolute_attribution,0.0009731929643062156,0.0008344183699289573,0.0011113092690332184,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,varied,all,3,gbdrift0_over_shat,mean_absolute_attribution,0.0022680708692780454,0.0020220738291680095,0.0025078149743307456,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,varied,all,4,gds2,mean_absolute_attribution,0.001229608420168332,0.0009519985744316376,0.0016389273858880566,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,varied,all,5,gds21_over_shat,mean_absolute_attribution,0.001303768087125512,0.0011679484119450291,0.0014661144840483228,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,varied,all,6,gds22_over_shat_squared,mean_absolute_attribution,0.000768204429853619,0.0006807509592133015,0.0008598277472000369,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,varied,stable_or_near_floor,0,bmag,mean_absolute_attribution,0.00021372559708622915,0.00013204760112542664,0.0003173983177283315,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,varied,stable_or_near_floor,1,gbdrift,mean_absolute_attribution,0.0011008947197984878,0.0006577846968637991,0.001612318424996659,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,varied,stable_or_near_floor,2,cvdrift,mean_absolute_attribution,0.0005066211788021163,0.0003024338140774575,0.0007652703310282348,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,varied,stable_or_near_floor,3,gbdrift0_over_shat,mean_absolute_attribution,0.0010013672289059035,0.0006143087545389667,0.0014412472394056066,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,varied,stable_or_near_floor,4,gds2,mean_absolute_attribution,0.00042839673205765353,0.00024552421858856105,0.0006927338149538295,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,varied,stable_or_near_floor,5,gds21_over_shat,mean_absolute_attribution,0.0005329215767267155,0.00031707698372636215,0.0008427615265447683,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,varied,stable_or_near_floor,6,gds22_over_shat_squared,mean_absolute_attribution,0.000277501474121807,0.0001860381071049401,0.00038062711233204734,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,varied,unstable,0,bmag,mean_absolute_attribution,0.0005839839535929097,0.0005004514942659918,0.0006717866767534784,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,varied,unstable,1,gbdrift,mean_absolute_attribution,0.0022317011096711276,0.0019500896374431466,0.0025358754630758268,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,varied,unstable,2,cvdrift,mean_absolute_attribution,0.0011205314228864573,0.0009646094159928742,0.001283902771516426,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,varied,unstable,3,gbdrift0_over_shat,mean_absolute_attribution,0.0026680825451850377,0.002388140101599343,0.002966898478683097,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,varied,unstable,4,gds2,mean_absolute_attribution,0.0014826226374664412,0.001121228069750709,0.001930997821774624,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,varied,unstable,5,gds21_over_shat,mean_absolute_attribution,0.0015471933009356582,0.0013988556531650072,0.0017233899845113428,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,varied,unstable,6,gds22_over_shat_squared,mean_absolute_attribution,0.0009231632579794545,0.0008180051159143232,0.0010331835795871704,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,fixed,all,0,bmag,mean_absolute_attribution,0.0003923839498997373,0.0003448151078817361,0.00044111568754717756,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,fixed,all,1,gbdrift,mean_absolute_attribution,0.0015556595282972627,0.0013468181966094306,0.001771899734897109,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,fixed,all,2,cvdrift,mean_absolute_attribution,0.0008015397013605191,0.0006892772377149164,0.0009116634192656033,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,fixed,all,3,gbdrift0_over_shat,mean_absolute_attribution,0.001975099151656826,0.0017766639785895414,0.0021962013428891876,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,fixed,all,4,gds2,mean_absolute_attribution,0.001342284405815505,0.0008873850181164988,0.0018971191955528426,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,fixed,all,5,gds21_over_shat,mean_absolute_attribution,0.0011468654732818663,0.001019244200185469,0.0012845948751250829,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,fixed,all,6,gds22_over_shat_squared,mean_absolute_attribution,0.0006935446265720536,0.0006256300251827649,0.0007636745176444169,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,fixed,stable_or_near_floor,0,bmag,mean_absolute_attribution,5.712674533931066e-05,5.886418066965172e-06,0.00015487088052197078,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,fixed,stable_or_near_floor,1,gbdrift,mean_absolute_attribution,0.00026480113928834995,7.349715406888272e-05,0.0005986394988365448,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,fixed,stable_or_near_floor,2,cvdrift,mean_absolute_attribution,0.00010454049158480022,3.089466054602528e-05,0.00023910300486645758,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,fixed,stable_or_near_floor,3,gbdrift0_over_shat,mean_absolute_attribution,0.0004079032525008524,0.0001639306718907849,0.0007543404172639612,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,fixed,stable_or_near_floor,4,gds2,mean_absolute_attribution,9.68375242538484e-05,4.121157552553866e-05,0.00016632986335174537,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,fixed,stable_or_near_floor,5,gds21_over_shat,mean_absolute_attribution,0.00018513926440500258,9.182990993772902e-05,0.00028976809139026036,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,fixed,stable_or_near_floor,6,gds22_over_shat_squared,mean_absolute_attribution,6.1681027363577e-05,2.341482851537327e-05,0.00012149208413452913,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,fixed,unstable,0,bmag,mean_absolute_attribution,0.0004002763917675877,0.0003583367673263254,0.0004540218347332873,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,fixed,unstable,1,gbdrift,mean_absolute_attribution,0.0015860482109453743,0.0013709335831331622,0.001864556177392514,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,fixed,unstable,2,cvdrift,mean_absolute_attribution,0.0008179480757974091,0.0007128082784037435,0.0009338011626994521,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,fixed,unstable,3,gbdrift0_over_shat,mean_absolute_attribution,0.002011993220930713,0.001799067245217654,0.002235283001987476,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,fixed,unstable,4,gds2,mean_absolute_attribution,0.0013716040355759125,0.0009210819969170196,0.0019291828908779391,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,fixed,unstable,5,gds21_over_shat,mean_absolute_attribution,0.0011695059060394589,0.0010130720382259628,0.001309581304798475,500,members,equilibrium_files
invariant_tilde_f,ig_low_pass,fixed,unstable,6,gds22_over_shat_squared,mean_absolute_attribution,0.0007084196140662143,0.0006408873675190411,0.0007851153677913217,500,members,equilibrium_files
invariant_tilde_f,periodic_mask,varied,all,0,bmag,mean_absolute_attribution,0.0669062240568921,0.06370394359773957,0.07003874818559735,500,members,equilibrium_files
invariant_tilde_f,periodic_mask,varied,all,1,gbdrift,mean_absolute_attribution,0.13554133022956086,0.13159781952440971,0.13890138530576018,500,members,equilibrium_files
invariant_tilde_f,periodic_mask,varied,all,2,cvdrift,mean_absolute_attribution,0.08199962784391827,0.07807168108079583,0.08522339265212533,500,members,equilibrium_files
invariant_tilde_f,periodic_mask,varied,all,3,gbdrift0_over_shat,mean_absolute_attribution,0.15697870953418314,0.1511097029140615,0.16462357046084244,500,members,equilibrium_files
invariant_tilde_f,periodic_mask,varied,all,4,gds2,mean_absolute_attribution,0.11866136092417874,0.11423912225633394,0.12308304707973729,500,members,equilibrium_files
invariant_tilde_f,periodic_mask,varied,all,5,gds21_over_shat,mean_absolute_attribution,0.10997437899387441,0.10652785929620266,0.11379237544659175,500,members,equilibrium_files
invariant_tilde_f,periodic_mask,varied,all,6,gds22_over_shat_squared,mean_absolute_attribution,0.11330703954463825,0.1089519208342326,0.11830654749772278,500,members,equilibrium_files
invariant_tilde_f,periodic_mask,varied,stable_or_near_floor,0,bmag,mean_absolute_attribution,0.0706007913397237,0.06650663675759763,0.07481395242445675,500,members,equilibrium_files
invariant_tilde_f,periodic_mask,varied,stable_or_near_floor,1,gbdrift,mean_absolute_attribution,0.12701191589876543,0.12066582712735302,0.13322413200545513,500,members,equilibrium_files
invariant_tilde_f,periodic_mask,varied,stable_or_near_floor,2,cvdrift,mean_absolute_attribution,0.07945256819521698,0.07577831455572354,0.08394783893236309,500,members,equilibrium_files
invariant_tilde_f,periodic_mask,varied,stable_or_near_floor,3,gbdrift0_over_shat,mean_absolute_attribution,0.13812390254073156,0.1305197784253396,0.14659793255033826,500,members,equilibrium_files
invariant_tilde_f,periodic_mask,varied,stable_or_near_floor,4,gds2,mean_absolute_attribution,0.10134860346326605,0.09540159051368634,0.10778282135111901,500,members,equilibrium_files
