member_id,function,method,rows,shift,prediction_invariance_relative_rms,co_shifted_equivariance_relative_rms,fixed_baseline_equivariance_relative_rms,baseline_convention,validity_tag,estimator_backend
2864601_0.437,original_f,ig_low_pass,8,17,0.05314657464623451,0.8144192099571228,2.468271255493164,input-derived low-pass; deliberately off-manifold diagnostic,deliberately_off_manifold_diagnostic,integrated_gradients_captum
2864601_0.437,original_f,periodic_mask,8,17,0.05314657464623451,0.8463435173034668,1.0128452777862549,"fixed matched observation; observed endpoint, off-manifold path",deliberately_off_manifold_diagnostic,periodic_extremal_mask
2864601_0.437,invariant_tilde_f,ig_low_pass,8,17,5.2431619934623086e-08,6.467788438158095e-08,2.240234613418579,input-derived low-pass; deliberately off-manifold diagnostic,deliberately_off_manifold_diagnostic,integrated_gradients_captum
2864601_0.437,invariant_tilde_f,periodic_mask,8,17,5.2431619934623086e-08,5.8418139815330505e-05,0.9765787124633789,"fixed matched observation; observed endpoint, off-manifold path",deliberately_off_manifold_diagnostic,periodic_extremal_mask
2864601_0.371,original_f,ig_low_pass,8,17,0.05328458547592163,0.8706180453300476,1.9140909910202026,input-derived low-pass; deliberately off-manifold diagnostic,deliberately_off_manifold_diagnostic,integrated_gradients_captum
2864601_0.371,original_f,periodic_mask,8,17,0.05328458547592163,0.9481351375579834,1.0236423015594482,"fixed matched observation; observed endpoint, off-manifold path",deliberately_off_manifold_diagnostic,periodic_extremal_mask
2864601_0.371,invariant_tilde_f,ig_low_pass,8,17,8.733080392175907e-08,5.221850685188656e-08,1.9921095371246338,input-derived low-pass; deliberately off-manifold diagnostic,deliberately_off_manifold_diagnostic,integrated_gradients_captum
2864601_0.371,invariant_tilde_f,periodic_mask,8,17,8.733080392175907e-08,0.0008945755544118583,0.8872465491294861,"fixed matched observation; observed endpoint, off-manifold path",deliberately_off_manifold_diagnostic,periodic_extremal_mask
2864601_0.409,original_f,ig_low_pass,8,17,0.045745525509119034,0.8050704002380371,2.1673049926757812,input-derived low-pass; deliberately off-manifold diagnostic,deliberately_off_manifold_diagnostic,integrated_gradients_captum
2864601_0.409,original_f,periodic_mask,8,17,0.045745525509119034,1.0656975507736206,1.0754444599151611,"fixed matched observation; observed endpoint, off-manifold path",deliberately_off_manifold_diagnostic,periodic_extremal_mask
2864601_0.409,invariant_tilde_f,ig_low_pass,8,17,4.5003972104495915e-08,5.905106448267361e-08,2.0482494831085205,input-derived low-pass; deliberately off-manifold diagnostic,deliberately_off_manifold_diagnostic,integrated_gradients_captum
2864601_0.409,invariant_tilde_f,periodic_mask,8,17,4.5003972104495915e-08,1.669847051744e-07,0.9165802597999573,"fixed matched observation; observed endpoint, off-manifold path",deliberately_off_manifold_diagnostic,periodic_extremal_mask
2864601_0.386,original_f,ig_low_pass,8,17,0.034698039293289185,0.7109973430633545,2.08573579788208,input-derived low-pass; deliberately off-manifold diagnostic,deliberately_off_manifold_diagnostic,integrated_gradients_captum
2864601_0.386,original_f,periodic_mask,8,17,0.034698039293289185,0.8913342952728271,1.1457034349441528,"fixed matched observation; observed endpoint, off-manifold path",deliberately_off_manifold_diagnostic,periodic_extremal_mask
2864601_0.386,invariant_tilde_f,ig_low_pass,8,17,4.872188696936064e-08,6.041261713107815e-08,1.770187258720398,input-derived low-pass; deliberately off-manifold diagnostic,deliberately_off_manifold_diagnostic,integrated_gradients_captum
2864601_0.386,invariant_tilde_f,periodic_mask,8,17,4.872188696936064e-08,1.6748801101584831e-07,1.0270187854766846,"fixed matched observation; observed endpoint, off-manifold path",deliberately_off_manifold_diagnostic,periodic_extremal_mask
2864601_0.355,original_f,ig_low_pass,8,17,0.05156455188989639,0.8775724172592163,2.1849381923675537,input-derived low-pass; deliberately off-manifold diagnostic,deliberately_off_manifold_diagnostic,integrated_gradients_captum
2864601_0.355,original_f,periodic_mask,8,17,0.05156455188989639,0.8536743521690369,1.0415159463882446,"fixed matched observation; observed endpoint, off-manifold path",deliberately_off_manifold_diagnostic,periodic_extremal_mask
2864601_0.355,invariant_tilde_f,ig_low_pass,8,17,5.7442274936647664e-08,5.054036833485043e-08,2.232701301574707,input-derived low-pass; deliberately off-manifold diagnostic,deliberately_off_manifold_diagnostic,integrated_gradients_captum
2864601_0.355,invariant_tilde_f,periodic_mask,8,17,5.7442274936647664e-08,0.004642967600375414,0.9022025465965271,"fixed matched observation; observed endpoint, off-manifold path",deliberately_off_manifold_diagnostic,periodic_extremal_mask
2864601_0.449,original_f,ig_low_pass,8,17,0.04134504124522209,0.882535994052887,3.1635208129882812,input-derived low-pass; deliberately off-manifold diagnostic,deliberately_off_manifold_diagnostic,integrated_gradients_captum
2864601_0.449,original_f,periodic_mask,8,17,0.04134504124522209,0.8301538825035095,1.0955833196640015,"fixed matched observation; observed endpoint, off-manifold path",deliberately_off_manifold_diagnostic,periodic_extremal_mask
2864601_0.449,invariant_tilde_f,ig_low_pass,8,17,5.137580316727508e-08,1.7599928696654388e-06,2.642605781555176,input-derived low-pass; deliberately off-manifold diagnostic,deliberately_off_manifold_diagnostic,integrated_gradients_captum
2864601_0.449,invariant_tilde_f,periodic_mask,8,17,5.137580316727508e-08,0.001205558073706925,0.8979082703590393,"fixed matched observation; observed endpoint, off-manifold path",deliberately_off_manifold_diagnostic,periodic_extremal_mask
2864601_0.340,original_f,ig_low_pass,8,17,0.04937012121081352,1.0228627920150757,1.547889232635498,input-derived low-pass; deliberately off-manifold diagnostic,deliberately_off_manifold_diagnostic,integrated_gradients_captum
