source_family,source_id,member_id,function,method,gradient_set,stratum,source_signed,source_observed_nonnegative,validity_tag,source_feature_claims_permitted,estimator_backend,feature_claims_permitted,gx_quantity,mode,lag,lag_index_0_to_95,mean_within_tube_spearman,mean_within_tube_cross_correlation
s05_density,2864601_0.437:u001,2864601_0.437,invariant_tilde_f,equivariant_density_rho,varied,all,True,True,observed-comparison,True,s02_atrous_equivariant_density,False,Q_avgs_vs_z,signed,0,0,-0.03741455185156088,-0.028863707363715022
s05_density,2864601_0.437:u001,2864601_0.437,invariant_tilde_f,equivariant_density_rho,varied,all,True,True,observed-comparison,True,s02_atrous_equivariant_density,False,Q_avgs_vs_z,signed,1,1,-0.05921033948160873,-0.04969360564240837
s05_density,2864601_0.437:u001,2864601_0.437,invariant_tilde_f,equivariant_density_rho,varied,all,True,True,observed-comparison,True,s02_atrous_equivariant_density,False,Q_avgs_vs_z,signed,2,2,-0.08023762218485855,-0.06968672974126218
s05_density,2864601_0.437:u001,2864601_0.437,invariant_tilde_f,equivariant_density_rho,varied,all,True,True,observed-comparison,True,s02_atrous_equivariant_density,False,Q_avgs_vs_z,signed,3,3,-0.1007466670261137,-0.08917083750231238
s05_density,2864601_0.437:u001,2864601_0.437,invariant_tilde_f,equivariant_density_rho,varied,all,True,True,observed-comparison,True,s02_atrous_equivariant_density,False,Q_avgs_vs_z,signed,4,4,-0.12047213907860718,-0.10804125207504757
s05_density,2864601_0.437:u001,2864601_0.437,invariant_tilde_f,equivariant_density_rho,varied,all,True,True,observed-comparison,True,s02_atrous_equivariant_density,False,Q_avgs_vs_z,signed,5,5,-0.1395528299123209,-0.12595829621612212
s05_density,2864601_0.437:u001,2864601_0.437,invariant_tilde_f,equivariant_density_rho,varied,all,True,True,observed-comparison,True,s02_atrous_equivariant_density,False,Q_avgs_vs_z,signed,6,6,-0.15765924152049887,-0.14292793253795694
s05_density,2864601_0.437:u001,2864601_0.437,invariant_tilde_f,equivariant_density_rho,varied,all,True,True,observed-comparison,True,s02_atrous_equivariant_density,False,Q_avgs_vs_z,signed,7,7,-0.17461221155606907,-0.15885350705109616
s05_density,2864601_0.437:u001,2864601_0.437,invariant_tilde_f,equivariant_density_rho,varied,all,True,True,observed-comparison,True,s02_atrous_equivariant_density,False,Q_avgs_vs_z,signed,8,8,-0.19010367681486776,-0.1736054800977971
s05_density,2864601_0.437:u001,2864601_0.437,invariant_tilde_f,equivariant_density_rho,varied,all,True,True,observed-comparison,True,s02_atrous_equivariant_density,False,Q_avgs_vs_z,signed,9,9,-0.20432462767682005,-0.18711409197705428
s05_density,2864601_0.437:u001,2864601_0.437,invariant_tilde_f,equivariant_density_rho,varied,all,True,True,observed-comparison,True,s02_atrous_equivariant_density,False,Q_avgs_vs_z,signed,10,10,-0.2172677839901028,-0.1997178962531043
s05_density,2864601_0.437:u001,2864601_0.437,invariant_tilde_f,equivariant_density_rho,varied,all,True,True,observed-comparison,True,s02_atrous_equivariant_density,False,Q_avgs_vs_z,signed,11,11,-0.22980470050051605,-0.21208034601655062
s05_density,2864601_0.437:u001,2864601_0.437,invariant_tilde_f,equivariant_density_rho,varied,all,True,True,observed-comparison,True,s02_atrous_equivariant_density,False,Q_avgs_vs_z,signed,12,12,-0.2419148807306177,-0.22449499104657658
s05_density,2864601_0.437:u001,2864601_0.437,invariant_tilde_f,equivariant_density_rho,varied,all,True,True,observed-comparison,True,s02_atrous_equivariant_density,False,Q_avgs_vs_z,signed,13,13,-0.2535738446719436,-0.23667463554736046
s05_density,2864601_0.437:u001,2864601_0.437,invariant_tilde_f,equivariant_density_rho,varied,all,True,True,observed-comparison,True,s02_atrous_equivariant_density,False,Q_avgs_vs_z,signed,14,14,-0.26420123529334505,-0.2483658125689653
s05_density,2864601_0.437:u001,2864601_0.437,invariant_tilde_f,equivariant_density_rho,varied,all,True,True,observed-comparison,True,s02_atrous_equivariant_density,False,Q_avgs_vs_z,signed,15,15,-0.2738156359733326,-0.25910246262639136
s05_density,2864601_0.437:u001,2864601_0.437,invariant_tilde_f,equivariant_density_rho,varied,all,True,True,observed-comparison,True,s02_atrous_equivariant_density,False,Q_avgs_vs_z,signed,16,16,-0.28230512956033404,-0.268763236317628
s05_density,2864601_0.437:u001,2864601_0.437,invariant_tilde_f,equivariant_density_rho,varied,all,True,True,observed-comparison,True,s02_atrous_equivariant_density,False,Q_avgs_vs_z,signed,17,17,-0.2895223306936187,-0.2768908663160053
s05_density,2864601_0.437:u001,2864601_0.437,invariant_tilde_f,equivariant_density_rho,varied,all,True,True,observed-comparison,True,s02_atrous_equivariant_density,False,Q_avgs_vs_z,signed,18,18,-0.2954303657751824,-0.28355451840672935
s05_density,2864601_0.437:u001,2864601_0.437,invariant_tilde_f,equivariant_density_rho,varied,all,True,True,observed-comparison,True,s02_atrous_equivariant_density,False,Q_avgs_vs_z,signed,19,19,-0.3001977270423602,-0.28867740317900914
s05_density,2864601_0.437:u001,2864601_0.437,invariant_tilde_f,equivariant_density_rho,varied,all,True,True,observed-comparison,True,s02_atrous_equivariant_density,False,Q_avgs_vs_z,signed,20,20,-0.30369206068098387,-0.2922278553598134
s05_density,2864601_0.437:u001,2864601_0.437,invariant_tilde_f,equivariant_density_rho,varied,all,True,True,observed-comparison,True,s02_atrous_equivariant_density,False,Q_avgs_vs_z,signed,21,21,-0.30551738660690075,-0.2937069804091354
s05_density,2864601_0.437:u001,2864601_0.437,invariant_tilde_f,equivariant_density_rho,varied,all,True,True,observed-comparison,True,s02_atrous_equivariant_density,False,Q_avgs_vs_z,signed,22,22,-0.3053113456599078,-0.2932714861155331
s05_density,2864601_0.437:u001,2864601_0.437,invariant_tilde_f,equivariant_density_rho,varied,all,True,True,observed-comparison,True,s02_atrous_equivariant_density,False,Q_avgs_vs_z,signed,23,23,-0.3034736811163829,-0.29122592326018143
s05_density,2864601_0.437:u001,2864601_0.437,invariant_tilde_f,equivariant_density_rho,varied,all,True,True,observed-comparison,True,s02_atrous_equivariant_density,False,Q_avgs_vs_z,signed,24,24,-0.2998059732331915,-0.2878201542565749
