source_family,source_id,member_id,function,method,gradient_set,stratum,source_signed,source_observed_nonnegative,validity_tag,source_feature_claims_permitted,estimator_backend,feature_claims_permitted,gx_quantity,sample_count,mode,best_lag,best_lag_index_0_to_95,circular_spearman,circular_spearman_ci95_lower,circular_spearman_ci95_upper,best_lag_bootstrap_recurrence,best_lag_within_tolerance_recurrence,lag_stability_tolerance_positions,lag_bootstrap_stable,overlap_at_fixed_sparsity,overlap_chance_baseline,overlap_enrichment,overlap_orientation,alignment_sparsity,association_bootstrap_stable,bootstrap_stable,bootstrap_replicates,bootstrap_unit,lag_selection,interval_scope,spatial_distinction,selection_null_scope,selection_null_permutations,selection_null_q95,selection_null_max,observed_abs_correlation_to_selection_null_q95,lag_search_null_resolved,selection_null_permutation_unit
s05_density,2864601_0.437:u001,2864601_0.437,invariant_tilde_f,equivariant_density_rho,varied,all,True,True,observed-comparison,True,s02_atrous_equivariant_density,False,Q_avgs_vs_z,1000,signed,21,21,-0.30551738660690075,-0.3332126779880123,-0.27889543036461445,0.528,0.96,4,True,0.2009,0.13533333333333333,1.4844827586206897,gx_profile_sign_flipped_to_match_negative_association,0.1,True,True,500,equilibrium_files,max_abs_mean_within_tube_spearman_over_96_lags,fixed_full_panel_selected_lag,learned prediction signal compared with held-out physical Q_avgs_vs_z; association does not make the attribution a physical heat-flux profile,not_run_non_unstable_stratum,0,,,,,equilibrium_files
s05_density,2864601_0.437:u001,2864601_0.437,invariant_tilde_f,equivariant_density_rho,varied,all,True,True,observed-comparison,True,s02_atrous_equivariant_density,False,Q_avgs_vs_z,1000,positive_contribution,21,21,-0.3055287043295119,-0.3321121044738731,-0.27941644541388355,0.534,0.95,4,True,0.0882,0.13533333333333333,0.6517241379310345,gx_profile_unflipped,0.1,True,True,500,equilibrium_files,max_abs_mean_within_tube_spearman_over_96_lags,fixed_full_panel_selected_lag,learned prediction signal compared with held-out physical Q_avgs_vs_z; association does not make the attribution a physical heat-flux profile,not_run_non_unstable_stratum,0,,,,,equilibrium_files
s05_density,2864601_0.437:u001,2864601_0.437,invariant_tilde_f,equivariant_density_rho,varied,stable_or_near_floor,True,True,observed-comparison,True,s02_atrous_equivariant_density,False,Q_avgs_vs_z,240,signed,-30,66,0.1345555440170016,0.08188620046843612,0.1863481250326175,0.132,0.4,4,False,0.18916666666666668,0.16215277777777773,1.1665952890792295,gx_profile_unflipped,0.1,True,True,500,equilibrium_files,max_abs_mean_within_tube_spearman_over_96_lags,fixed_full_panel_selected_lag,learned prediction signal compared with held-out physical Q_avgs_vs_z; association does not make the attribution a physical heat-flux profile,not_run_non_unstable_stratum,0,,,,,equilibrium_files
s05_density,2864601_0.437:u001,2864601_0.437,invariant_tilde_f,equivariant_density_rho,varied,stable_or_near_floor,True,True,observed-comparison,True,s02_atrous_equivariant_density,False,Q_avgs_vs_z,240,positive_contribution,-30,66,0.13503221330968065,0.08437620961193604,0.18680255257820744,0.13,0.382,4,False,0.18916666666666668,0.16215277777777773,1.1665952890792295,gx_profile_unflipped,0.1,True,True,500,equilibrium_files,max_abs_mean_within_tube_spearman_over_96_lags,fixed_full_panel_selected_lag,learned prediction signal compared with held-out physical Q_avgs_vs_z; association does not make the attribution a physical heat-flux profile,not_run_non_unstable_stratum,0,,,,,equilibrium_files
s05_density,2864601_0.437:u001,2864601_0.437,invariant_tilde_f,equivariant_density_rho,varied,unstable,True,True,observed-comparison,True,s02_atrous_equivariant_density,True,Q_avgs_vs_z,760,signed,22,22,-0.360511998599993,-0.3883653797328812,-0.332533286776065,0.552,0.912,4,True,0.20697368421052628,0.1268640350877193,1.6314606741573032,gx_profile_sign_flipped_to_match_negative_association,0.1,True,True,500,equilibrium_files,max_abs_mean_within_tube_spearman_over_96_lags,fixed_full_panel_selected_lag,learned prediction signal compared with held-out physical Q_avgs_vs_z; association does not make the attribution a physical heat-flux profile,permuted_equilibrium_pairing_max_abs_over_96_lags,200,0.04321620846108337,0.0784787043115042,8.342055248197854,True,equilibrium_files
s05_density,2864601_0.437:u001,2864601_0.437,invariant_tilde_f,equivariant_density_rho,varied,unstable,True,True,observed-comparison,True,s02_atrous_equivariant_density,True,Q_avgs_vs_z,760,positive_contribution,22,22,-0.3605289607029165,-0.3882791684366123,-0.33484816763243674,0.514,0.912,4,True,0.0688157894736842,0.1268640350877193,0.5424373379429559,gx_profile_unflipped,0.1,True,True,500,equilibrium_files,max_abs_mean_within_tube_spearman_over_96_lags,fixed_full_panel_selected_lag,learned prediction signal compared with held-out physical Q_avgs_vs_z; association does not make the attribution a physical heat-flux profile,permuted_equilibrium_pairing_max_abs_over_96_lags,200,0.04586271753986168,0.06186419141241332,7.861046620047362,True,equilibrium_files
s05_density,2864601_0.437:u001,2864601_0.437,invariant_tilde_f,equivariant_density_rho,fixed,all,True,True,observed-comparison,True,s02_atrous_equivariant_density,False,Q_avgs_vs_z,1000,signed,21,21,-0.34337645931403954,-0.3673384507996009,-0.31968995240138864,0.504,0.828,4,True,0.20540000000000003,0.13533333333333333,1.5177339901477835,gx_profile_sign_flipped_to_match_negative_association,0.1,True,True,500,equilibrium_files,max_abs_mean_within_tube_spearman_over_96_lags,fixed_full_panel_selected_lag,learned prediction signal compared with held-out physical Q_avgs_vs_z; association does not make the attribution a physical heat-flux profile,not_run_non_unstable_stratum,0,,,,,equilibrium_files
s05_density,2864601_0.437:u001,2864601_0.437,invariant_tilde_f,equivariant_density_rho,fixed,all,True,True,observed-comparison,True,s02_atrous_equivariant_density,False,Q_avgs_vs_z,1000,positive_contribution,21,21,-0.3433752288006913,-0.36659808024149887,-0.31705089306422807,0.524,0.85,4,True,0.0839,0.13533333333333333,0.6199507389162562,gx_profile_unflipped,0.1,True,True,500,equilibrium_files,max_abs_mean_within_tube_spearman_over_96_lags,fixed_full_panel_selected_lag,learned prediction signal compared with held-out physical Q_avgs_vs_z; association does not make the attribution a physical heat-flux profile,not_run_non_unstable_stratum,0,,,,,equilibrium_files
s05_density,2864601_0.437:u001,2864601_0.437,invariant_tilde_f,equivariant_density_rho,fixed,stable_or_near_floor,True,True,observed-comparison,True,s02_atrous_equivariant_density,False,Q_avgs_vs_z,23,signed,0,0,0.0,0.0,0.0,1.0,1.0,4,True,1.0,1.0,1.0,gx_profile_unflipped,0.1,False,False,500,equilibrium_files,max_abs_mean_within_tube_spearman_over_96_lags,fixed_full_panel_selected_lag,learned prediction signal compared with held-out physical Q_avgs_vs_z; association does not make the attribution a physical heat-flux profile,not_run_non_unstable_stratum,0,,,,,equilibrium_files
s05_density,2864601_0.437:u001,2864601_0.437,invariant_tilde_f,equivariant_density_rho,fixed,stable_or_near_floor,True,True,observed-comparison,True,s02_atrous_equivariant_density,False,Q_avgs_vs_z,23,positive_contribution,0,0,0.0,0.0,0.0,1.0,1.0,4,True,1.0,1.0,1.0,gx_profile_unflipped,0.1,False,False,500,equilibrium_files,max_abs_mean_within_tube_spearman_over_96_lags,fixed_full_panel_selected_lag,learned prediction signal compared with held-out physical Q_avgs_vs_z; association does not make the attribution a physical heat-flux profile,not_run_non_unstable_stratum,0,,,,,equilibrium_files
