source_family,source_id,member_id,function,method,summary,source_signed,validity_tag,source_feature_claims_permitted,gradient_set,stratum,sample_count,spearman_rho,spearman_ci95_lower,spearman_ci95_upper,bootstrap_stable,bootstrap_replicates,bootstrap_unit,gx_quantity,feature_claims_permitted,association_not_causation
s05_density,2864601_0.437:u001,2864601_0.437,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,varied,all,1000,0.1444707622116981,0.07879249178245297,0.20756925401426884,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s05_density,2864601_0.437:u001,2864601_0.437,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,varied,stable_or_near_floor,240,-0.09251291156382502,-0.21132479014905017,0.03639345923652381,False,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s05_density,2864601_0.437:u001,2864601_0.437,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,varied,unstable,760,0.032139604680144686,-0.040245055326089664,0.09936644248289823,False,500,equilibrium_files,log10(zonal_phi2_amplitudes),True,True
s05_density,2864601_0.437:u001,2864601_0.437,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,fixed,all,1000,0.35648195697294244,0.2964446067116779,0.4168265022787579,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s05_density,2864601_0.437:u001,2864601_0.437,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,fixed,stable_or_near_floor,23,0.0,0.0,0.0,False,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s05_density,2864601_0.437:u001,2864601_0.437,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,fixed,unstable,977,0.3100324229207012,0.24670708081748557,0.37242794584914063,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),True,True
s05_density,2864601_0.437:u008,2864601_0.437,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,varied,all,1000,-0.17437140136486728,-0.23630197139468226,-0.1212125015294973,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s05_density,2864601_0.437:u008,2864601_0.437,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,varied,stable_or_near_floor,240,-0.031143520664012023,-0.1634967320076154,0.10021189943091399,False,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s05_density,2864601_0.437:u008,2864601_0.437,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,varied,unstable,760,-0.12162944609886839,-0.18339575629260024,-0.06012982420600932,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),True,True
s05_density,2864601_0.437:u008,2864601_0.437,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,fixed,all,1000,-0.5448224094327137,-0.6006211091403658,-0.4960066022795498,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s05_density,2864601_0.437:u008,2864601_0.437,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,fixed,stable_or_near_floor,23,-0.6185770750988142,-0.8488017265716706,-0.21903691316488796,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),False,True
s05_density,2864601_0.437:u008,2864601_0.437,invariant_tilde_f,equivariant_density_rho,mean_z_density,True,observed-comparison,True,fixed,unstable,977,-0.5126612658590667,-0.5635327044204261,-0.46129236101119847,True,500,equilibrium_files,log10(zonal_phi2_amplitudes),True,True
