concept,high_count,low_count,smd_a_over_lt,smd_a_over_ln,smd_geometry_scale,max_abs_smd,balance_threshold,balance_pass,matching_method,validity_tag
bad_curvature,197,197,-0.08989400942972435,-0.08613411391909422,-0.0351019538720432,0.08989400942972435,0.25,True,linear_nuisance_residual_extremes_then_within_class_nearest_neighbor,observed-comparison
cross_channel_colocation,197,197,-0.13987804404973891,-0.11201087008959841,-0.12240192739558481,0.13987804404973891,0.25,True,linear_nuisance_residual_extremes_then_within_class_nearest_neighbor,observed-comparison
f_stab,197,197,0.02292347458380587,0.022810890864686763,0.022579844443762022,0.02292347458380587,0.25,True,linear_nuisance_residual_extremes_then_within_class_nearest_neighbor,observed-comparison
geodesic_curvature,197,197,0.08521070653895317,-0.007833260539414591,0.06175522111434597,0.08521070653895317,0.25,True,linear_nuisance_residual_extremes_then_within_class_nearest_neighbor,observed-comparison
local_Qz_concentration,197,197,0.0426276187048842,0.05774796919682034,-0.01382528747658807,0.05774796919682034,0.25,True,linear_nuisance_residual_extremes_then_within_class_nearest_neighbor,observed-comparison
log10_zonal_phi2,197,197,0.3520757464011924,0.10779900518441289,-0.17343099891928015,0.3520757464011924,0.25,False,linear_nuisance_residual_extremes_then_within_class_nearest_neighbor,observed-comparison
log_FSA_grad_x,197,197,0.23066774123381684,0.049066450814843086,0.0734475420946065,0.23066774123381684,0.25,True,linear_nuisance_residual_extremes_then_within_class_nearest_neighbor,observed-comparison
log_compression,197,197,0.16822386368782752,0.06046407954883126,0.08492788398208728,0.16822386368782752,0.25,True,linear_nuisance_residual_extremes_then_within_class_nearest_neighbor,observed-comparison
log_f_Q,197,197,0.12826962831676686,0.03455398534580387,-0.006901360757790624,0.12826962831676686,0.25,True,linear_nuisance_residual_extremes_then_within_class_nearest_neighbor,observed-comparison
parallel_scale,197,197,-0.07111448823713162,0.00842593704277641,-0.09600375315699965,0.09600375315699965,0.25,True,linear_nuisance_residual_extremes_then_within_class_nearest_neighbor,observed-comparison
