member_id,concept_set,regime,held_out_r2,increment_r2_over_previous,increment_ci95_lower,increment_ci95_upper,bootstrap_selection_stability,gain_over_paper_baseline,completeness_relative_to_full_bottleneck,rows,outer_split_unit,inner_split_unit,bootstrap_unit,decoder,estimand,canonical_function,validity_tag,gain_over_paper_baseline_ci95_lower,gain_over_paper_baseline_ci95_upper,gain_over_paper_baseline_selection_stability,mse,bias_decoder_minus_member,residual_std
2864601_0.437,paper_baseline,all,0.82310253285661,0.82310253285661,0.805885685305872,0.8403274063007627,1.0,0.0,0.82310253285661,1000,equilibrium_files,equilibrium_files,equilibrium_files,nested_quadratic_ridge,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,0.0,0.0,0.0,0.7296067034017454,-0.0021821911856573094,0.8541673966169481
2864601_0.437,paper_baseline,stable_or_near_floor,-10.006094468782516,,,,,,,240,equilibrium_files,equilibrium_files,equilibrium_files,nested_quadratic_ridge,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,,,,0.8529129370740322,0.49256015442877144,0.7812153552914438
2864601_0.437,paper_baseline,unstable,0.7734758806873192,,,,,,,760,equilibrium_files,equilibrium_files,equilibrium_files,nested_quadratic_ridge,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,,,,0.6906678927683918,-0.15841661611652955,0.8158260038185715
2864601_0.437,paper_geometry,all,0.8171562190495065,-0.0059463138071034205,-0.016481560618440323,0.0023453294159557995,0.1,-0.0059463138071034205,0.8171562190495065,1000,equilibrium_files,equilibrium_files,equilibrium_files,nested_quadratic_ridge,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,-0.016557091407005772,0.0023777231824408376,0.122,0.7541320427650062,-0.0047627963111490515,0.8683947020429735
2864601_0.437,paper_geometry,stable_or_near_floor,-9.92932926072735,,,,,,,240,equilibrium_files,equilibrium_files,equilibrium_files,nested_quadratic_ridge,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,,,,0.8469640476425321,0.4813876694961246,0.7843659600592201
2864601_0.437,paper_geometry,unstable,0.7622758199865235,,,,,,,760,equilibrium_files,equilibrium_files,equilibrium_files,nested_quadratic_ridge,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,,,,0.7248166728036822,-0.15828399603976176,0.8365182899383413
2864601_0.437,spatial_geometry,all,0.8348164678276514,0.01766024877814487,0.0017368362055936956,0.03241681654761326,0.982,0.011713934971041451,0.8348164678276514,1000,equilibrium_files,equilibrium_files,equilibrium_files,nested_quadratic_ridge,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,-0.003482158130972484,0.02525735896439381,0.928,0.6812930355121068,-0.01448819569189242,0.8252776064438562
2864601_0.437,spatial_geometry,stable_or_near_floor,-8.71849063123919,,,,,,,240,equilibrium_files,equilibrium_files,equilibrium_files,nested_quadratic_ridge,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,,,,0.7531305870331682,0.38546870022461194,0.7775245772194705
2864601_0.437,spatial_geometry,unstable,0.7839909978876932,,,,,,,760,equilibrium_files,equilibrium_files,equilibrium_files,nested_quadratic_ridge,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,,,,0.6586074929265084,-0.1407903733497359,0.7992406168974089
2864601_0.437,all_candidates,all,0.9079841838061324,0.07316771597848104,0.05830871364535751,0.08864972843485784,1.0,0.08488165094952249,0.9079841838061324,1000,equilibrium_files,equilibrium_files,equilibrium_files,nested_quadratic_ridge,"native max(log Q, -2)",invariant_tilde_f,observed-comparison,0.07032880480353246,0.10006717974394319,1.0,0.37951564484306527,-0.005254248047422484,0.6160260040944062
