regime,drive,concept,bin_index,member_count,median_slope,minimum_slope,maximum_slope,member_sign_agreement,source,validity_tag
all,a_over_LT,bad_curvature,0,3,-0.8577743457208834,-0.9717118673464619,-0.7267643199920499,1.0,varied-gradient panel only,observed-comparison
all,a_over_LT,bad_curvature,1,3,0.24447774082932267,0.22978750855570862,0.2609391555108703,1.0,varied-gradient panel only,observed-comparison
all,a_over_LT,bad_curvature,2,3,0.3556052197971871,0.3411233556124108,0.36439596847525546,1.0,varied-gradient panel only,observed-comparison
all,a_over_LT,cross_channel_colocation,0,3,1.2704933221007926,1.0832106879175045,1.3031007663173926,1.0,varied-gradient panel only,observed-comparison
all,a_over_LT,cross_channel_colocation,1,3,0.8832443892506928,0.8773605449587939,0.9085967927035212,1.0,varied-gradient panel only,observed-comparison
all,a_over_LT,cross_channel_colocation,2,3,0.27940140613356657,0.26925432083090434,0.28684372068325,1.0,varied-gradient panel only,observed-comparison
all,a_over_LT,f_stab,0,3,1.3128855645692887,1.2014750572512756,1.3145613793490112,1.0,varied-gradient panel only,observed-comparison
all,a_over_LT,f_stab,1,3,2.0295337552834685,2.0245430670579534,2.0592524222366997,1.0,varied-gradient panel only,observed-comparison
all,a_over_LT,f_stab,2,3,2.2277456853958806,2.218551203951303,2.2397866523390313,1.0,varied-gradient panel only,observed-comparison
all,a_over_LT,geodesic_curvature,0,3,0.21993610967075725,0.17222852483485102,0.25499485848282855,1.0,varied-gradient panel only,observed-comparison
all,a_over_LT,geodesic_curvature,1,3,3.752184562235011,3.6018149975251412,3.7714015491441,1.0,varied-gradient panel only,observed-comparison
all,a_over_LT,geodesic_curvature,2,3,3.5533375757487873,3.3955016439741064,3.5859272677916962,1.0,varied-gradient panel only,observed-comparison
all,a_over_LT,log_FSA_grad_x,0,3,1.5641608632256578,1.3908532495140016,1.5646680785922973,1.0,varied-gradient panel only,observed-comparison
all,a_over_LT,log_FSA_grad_x,1,3,2.886508083318542,2.8279601872682454,2.8991132271820037,1.0,varied-gradient panel only,observed-comparison
all,a_over_LT,log_FSA_grad_x,2,3,3.165732651666279,3.164129243451198,3.196704681130927,1.0,varied-gradient panel only,observed-comparison
all,a_over_LT,log_compression,0,3,0.3309855808368145,0.3218063229421696,0.3338204277638443,1.0,varied-gradient panel only,observed-comparison
all,a_over_LT,log_compression,1,3,0.35140513292991454,0.3498629647784864,0.35291500778287466,1.0,varied-gradient panel only,observed-comparison
all,a_over_LT,log_compression,2,3,0.43373842257635126,0.4263435956877854,0.4359137496510878,1.0,varied-gradient panel only,observed-comparison
all,a_over_LT,log_f_Q,0,3,0.6862872870528031,0.6341390227945535,0.6918088161488226,1.0,varied-gradient panel only,observed-comparison
all,a_over_LT,log_f_Q,1,3,0.8992343254517485,0.8955429770124821,0.8996821575608456,1.0,varied-gradient panel only,observed-comparison
all,a_over_LT,log_f_Q,2,3,0.8577018341806387,0.8570267305212367,0.8607057205053954,1.0,varied-gradient panel only,observed-comparison
all,a_over_LT,parallel_scale,0,3,-0.07921506804216011,-0.1062573064793651,-0.0709948748176093,1.0,varied-gradient panel only,observed-comparison
all,a_over_LT,parallel_scale,1,3,-0.13429153304466743,-0.14670093894254688,-0.13036172237384375,1.0,varied-gradient panel only,observed-comparison
all,a_over_LT,parallel_scale,2,3,0.26746991761802796,0.24610475468278561,0.279203637440341,1.0,varied-gradient panel only,observed-comparison
all,a_over_Ln,bad_curvature,0,3,1.5069196121469237,1.4463845444724408,1.5684664706751192,1.0,varied-gradient panel only,observed-comparison
all,a_over_Ln,bad_curvature,1,3,2.83853101958773,2.8144606274323127,2.9154446736981035,1.0,varied-gradient panel only,observed-comparison
all,a_over_Ln,bad_curvature,2,3,1.2124136419713047,1.1528388494833453,1.2181171873855836,1.0,varied-gradient panel only,observed-comparison
all,a_over_Ln,cross_channel_colocation,0,3,0.7535230666207984,0.7415391815940983,0.7914433330050425,1.0,varied-gradient panel only,observed-comparison
all,a_over_Ln,cross_channel_colocation,1,3,1.2410147797758622,1.2198565511816721,1.245021281150159,1.0,varied-gradient panel only,observed-comparison
all,a_over_Ln,cross_channel_colocation,2,3,0.542623787416586,0.5156688067025695,0.543449697655093,1.0,varied-gradient panel only,observed-comparison
all,a_over_Ln,f_stab,0,3,1.3962110613635261,1.343345450724059,1.4264014906042244,1.0,varied-gradient panel only,observed-comparison
all,a_over_Ln,f_stab,1,3,1.4353248999423236,1.4185036105667204,1.4843624072904746,1.0,varied-gradient panel only,observed-comparison
all,a_over_Ln,f_stab,2,3,1.4975093225203313,1.4688145468165617,1.5086742352049989,1.0,varied-gradient panel only,observed-comparison
all,a_over_Ln,geodesic_curvature,0,3,2.182472360629741,2.042595657080133,2.2397600217988543,1.0,varied-gradient panel only,observed-comparison
all,a_over_Ln,geodesic_curvature,1,3,2.998513179043917,2.8421134374068875,3.149124164122822,1.0,varied-gradient panel only,observed-comparison
all,a_over_Ln,geodesic_curvature,2,3,5.284725239552588,5.014184710404624,5.298614873159001,1.0,varied-gradient panel only,observed-comparison
all,a_over_Ln,log_FSA_grad_x,0,3,1.523580442111855,1.423868438797124,1.5792676711001379,1.0,varied-gradient panel only,observed-comparison
all,a_over_Ln,log_FSA_grad_x,1,3,1.979176106923509,1.922886813793513,2.0220415460781127,1.0,varied-gradient panel only,observed-comparison
all,a_over_Ln,log_FSA_grad_x,2,3,1.5661918758452524,1.5077643785377428,1.581570977137067,1.0,varied-gradient panel only,observed-comparison
all,a_over_Ln,log_compression,0,3,0.36787295968479894,0.3500271618656206,0.3683270905171021,1.0,varied-gradient panel only,observed-comparison
all,a_over_Ln,log_compression,1,3,0.28581096760485575,0.2815449355037309,0.2864053200351823,1.0,varied-gradient panel only,observed-comparison
all,a_over_Ln,log_compression,2,3,0.2724918549358155,0.27073958776652063,0.274051479790008,1.0,varied-gradient panel only,observed-comparison
all,a_over_Ln,log_f_Q,0,3,0.6865930549166228,0.6685951061312172,0.7050024615186269,1.0,varied-gradient panel only,observed-comparison
all,a_over_Ln,log_f_Q,1,3,0.6627013720297948,0.6538877491567339,0.6770211038154886,1.0,varied-gradient panel only,observed-comparison
all,a_over_Ln,log_f_Q,2,3,0.5971388557586,0.5908012587027566,0.6017323452278307,1.0,varied-gradient panel only,observed-comparison
all,a_over_Ln,parallel_scale,0,3,0.6514797752917101,0.6062889626813599,0.6539258600392306,1.0,varied-gradient panel only,observed-comparison
all,a_over_Ln,parallel_scale,1,3,0.6962845114654582,0.6822520421901135,0.7158471201456615,1.0,varied-gradient panel only,observed-comparison
all,a_over_Ln,parallel_scale,2,3,0.726990692784566,0.7036698105332717,0.7487521910556226,1.0,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_LT,bad_curvature,0,3,-0.4171707857122328,-0.5821703164411494,0.16307780544919934,0.6666666666666666,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_LT,bad_curvature,1,3,0.15204057835197057,-0.11262054436988447,0.33674961001637393,0.6666666666666666,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_LT,bad_curvature,2,3,0.40337994318832215,0.36044709738087777,0.45358097350605214,1.0,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_LT,cross_channel_colocation,0,3,0.03821456168954002,0.022573440491577973,0.19701838664748308,1.0,varied-gradient panel only,observed-comparison
stable_or_near_floor,a_over_LT,cross_channel_colocation,1,3,0.061497298371828935,-0.05922023836606766,0.15450205735595732,0.6666666666666666,varied-gradient panel only,observed-comparison
