left_member_id,right_member_id,distance
2864601_0.437,2864601_0.371,3.4228081894319455
2864601_0.437,2864601_0.409,2.7910322593417756
2864601_0.437,2864601_0.386,2.8365377845615596
2864601_0.437,2864601_0.355,2.784131572038154
2864601_0.437,2864601_0.449,2.588601791659478
2864601_0.437,2864601_0.340,2.86597695778755
2864601_0.437,2864601_0.296,2.5886630929487753
2864601_0.437,2864601_0.270,2.790130833612024
2864601_0.437,2864601_0.352,3.184215115425343
2864601_0.437,2864601_0.487,2.8215276071183024
2864601_0.437,2864601_0.272,3.2311068679029806
2864601_0.437,2864601_0.404,2.6770505729566754
2864601_0.437,2864601_0.274,2.6991795403817
2864601_0.437,2864601_0.240,2.680823921093749
2864601_0.437,2864601_0.417,3.12110635469817
2864601_0.437,2864601_0.494,2.7970360053739567
2864601_0.437,2864601_0.260,2.717248195785881
2864601_0.437,2864601_0.434,2.8066642089182543
2864601_0.437,2864601_0.460,2.81390021058272
2864601_0.437,2864601_0.402,2.7359563833709166
2864601_0.437,2864601_0.279,2.800548746939525
2864601_0.437,2864601_0.353,2.922172464094609
2864601_0.437,2864601_0.175,2.4699381473843776
2864601_0.437,2864601_0.277,2.817273637325296
2864601_0.437,2864601_0.463,3.2060731933551834
2864601_0.437,2864601_0.229,2.2321697746299236
2864601_0.437,2864601_0.224,3.0176782748194917
2864601_0.437,2864601_0.373,2.31935444019509
2864601_0.437,2864601_0.481,2.7341148237166184
2864601_0.437,2864601_0.289,2.803444895380243
2864601_0.437,2864601_0.393,2.628522172424156
2864601_0.437,2864601_0.406,2.9199679182070217
2864601_0.437,2864601_0.206,2.628661594282193
2864601_0.437,2864601_0.284,3.358564409027848
2864601_0.437,2864601_0.235,2.9495127447955216
2864601_0.437,2864601_0.405,2.7792038697686734
2864601_0.437,2864601_0.398,2.423637408542151
2864601_0.437,2864601_0.358,2.7929453610210446
2864601_0.437,2864601_0.242,2.904502452057918
2864601_0.437,2864601_0.490,2.773751037143006
2864601_0.437,2864601_0.263,2.684605381959916
2864601_0.437,2864601_0.211,2.5877422598102444
2864601_0.437,2864601_0.292,3.5790161441834347
2864601_0.437,2864601_0.276,2.8381320220987227
2864601_0.437,2864601_0.427,2.7973623967968484
2864601_0.437,2864601_0.461,2.818531655723958
2864601_0.437,2864601_0.471,2.7285188033085546
2864601_0.437,2864601_0.440,2.011747573295811
2864601_0.437,2864601_0.457,2.7958247554207234
2864601_0.437,2864601_0.400,2.856790551600161
2864601_0.437,2864601_0.385,3.8171406928520066
2864601_0.437,2864601_0.350,2.7645493117637057
2864601_0.437,2864601_0.416,1.9579568315161173
2864601_0.437,2864601_0.342,2.7947407550454515
2864601_0.437,2864601_0.359,2.6486523433980422
2864601_0.437,2864601_0.475,2.613549352096201
2864601_0.437,2864601_0.462,3.058729824698198
2864601_0.437,2864601_0.268,4.329015818879645
2864601_0.437,2864601_0.262,2.4436629642702514
2864601_0.437,2864601_0.485,1.9190281756868566
2864601_0.437,2864601_0.473,2.6777214896707267
2864601_0.437,2864601_0.189,3.245997565224409
2864601_0.437,2864601_0.395,1.760810509381001
2864601_0.437,2864601_0.237,2.990113436292663
2864601_0.437,2864601_0.372,2.839583977714856
2864601_0.437,2864601_0.472,2.749937244287856
2864601_0.437,2864601_0.436,3.431475562220147
2864601_0.437,2864601_0.454,2.96057140676384
2864601_0.437,2864601_0.377,2.676577521214259
2864601_0.437,2864601_0.212,3.2398324081532954
2864601_0.437,2864601_0.123,2.642444680481114
2864601_0.437,2864601_0.288,2.7460141673566736
2864601_0.437,2864601_0.349,2.784848281253038
2864601_0.437,2864601_0.510,2.5395413290218105
2864601_0.437,2864601_0.376,2.627334308990649
2864601_0.437,2864601_0.305,3.1077514581679555
2864601_0.437,2864601_0.496,2.6447604167321304
2864601_0.437,2864601_0.261,2.786521225073969
2864601_0.437,2864601_0.252,2.624465040771455
2864601_0.437,2864601_0.208,2.4815764493462025
2864601_0.437,2864601_0.230,2.789383572150518
2864601_0.437,2864601_0.452,2.8483536514168253
2864601_0.437,2864601_0.498,2.745134442756283
2864601_0.437,2864601_0.271,2.6820202077111066
2864601_0.437,2864601_0.450,3.848911765393384
2864601_0.437,2864601_0.46,2.501504380062756
2864601_0.437,2864601_0.308,2.854993263946154
2864601_0.437,2864601_0.163,2.7164790042268585
2864601_0.437,2864601_0.246,2.8803282282040743
2864601_0.437,2864601_0.438,2.59247059907914
2864601_0.437,2864601_0.362,2.433365044804917
2864601_0.437,2864601_0.136,2.88391618036331
2864601_0.437,2864601_0.250,2.1541550900706867
2864601_0.437,2864601_0.247,2.8065571540945515
2864601_0.437,2864601_0.382,4.304445753721003
2864601_0.437,2864601_0.307,2.8089508620230155
2864601_0.437,2864601_0.339,3.0785703401768654
2864601_0.437,2864601_0.426,3.3297754476625845
2864601_0.437,2864601_0.379,2.864722722509937
2864601_0.371,2864601_0.409,2.232670903556703
2864601_0.371,2864601_0.386,1.8174622029728293
2864601_0.371,2864601_0.355,2.158358712443683
2864601_0.371,2864601_0.449,2.2021560881932243
2864601_0.371,2864601_0.340,1.9002801217995013
2864601_0.371,2864601_0.296,2.236358766794484
2864601_0.371,2864601_0.270,2.2311615565053367
2864601_0.371,2864601_0.352,1.5308268720337281
2864601_0.371,2864601_0.487,2.141870063120335
2864601_0.371,2864601_0.272,1.2464982101287327
2864601_0.371,2864601_0.404,2.160063575455808
2864601_0.371,2864601_0.274,2.2008426249071738
2864601_0.371,2864601_0.240,2.1837329361572175
2864601_0.371,2864601_0.417,1.3920482239074907
2864601_0.371,2864601_0.494,2.1425653618191127
2864601_0.371,2864601_0.260,2.207919019805818
2864601_0.371,2864601_0.434,2.171787979557003
2864601_0.371,2864601_0.460,2.2056526203357505
2864601_0.371,2864601_0.402,2.2082934679161275
2864601_0.371,2864601_0.279,2.179222508160171
2864601_0.371,2864601_0.353,2.129059083299678
2864601_0.371,2864601_0.175,2.2170237220159175
2864601_0.371,2864601_0.277,2.247006148172496
2864601_0.371,2864601_0.463,1.2066589993963108
2864601_0.371,2864601_0.229,2.3180130832848596
2864601_0.371,2864601_0.224,2.193170619772336
2864601_0.371,2864601_0.373,2.275636978102826
2864601_0.371,2864601_0.481,2.1931063554132955
2864601_0.371,2864601_0.289,2.1246537618956753
2864601_0.371,2864601_0.393,2.2026654025308203
2864601_0.371,2864601_0.406,2.1890028023304
2864601_0.371,2864601_0.206,2.258273156239353
2864601_0.371,2864601_0.284,0.985370500118962
2864601_0.371,2864601_0.235,2.157207549286377
2864601_0.371,2864601_0.405,2.1540939367924636
2864601_0.371,2864601_0.398,2.386033863597535
2864601_0.371,2864601_0.358,2.1947478301831227
2864601_0.371,2864601_0.242,2.214890024299939
2864601_0.371,2864601_0.490,2.1703553201674626
2864601_0.371,2864601_0.263,2.196029021365961
2864601_0.371,2864601_0.211,2.041997043361351
2864601_0.371,2864601_0.292,0.9516527486833228
2864601_0.371,2864601_0.276,2.177316276319089
2864601_0.371,2864601_0.427,2.1772672495370418
2864601_0.371,2864601_0.461,2.1513879747684594
2864601_0.371,2864601_0.471,2.23284659154555
2864601_0.371,2864601_0.440,2.4743058982670236
2864601_0.371,2864601_0.457,2.12202559071522
2864601_0.371,2864601_0.400,2.1852313636684992
2864601_0.371,2864601_0.385,1.2785488910908978
2864601_0.371,2864601_0.350,2.0409354038037497
2864601_0.371,2864601_0.416,2.6364524080334415
2864601_0.371,2864601_0.342,2.1847874239636553
2864601_0.371,2864601_0.359,2.1807094471888018
2864601_0.371,2864601_0.475,2.2016594852528697
2864601_0.371,2864601_0.462,5.250418456120466
2864601_0.371,2864601_0.268,1.6559066702055025
2864601_0.371,2864601_0.262,2.24664119848428
2864601_0.371,2864601_0.485,2.4968959852442083
2864601_0.371,2864601_0.473,2.2821019600531263
2864601_0.371,2864601_0.189,1.0093154259688122
2864601_0.371,2864601_0.395,2.4897455314150156
2864601_0.371,2864601_0.237,2.3009313063278234
2864601_0.371,2864601_0.372,2.197188907241953
2864601_0.371,2864601_0.472,2.2094299080301076
2864601_0.371,2864601_0.436,2.3282706170029694
2864601_0.371,2864601_0.454,2.1969939399021126
2864601_0.371,2864601_0.377,2.179299907955994
2864601_0.371,2864601_0.212,1.1518413334780884
2864601_0.371,2864601_0.123,2.2859703082481384
2864601_0.371,2864601_0.288,2.2924859250121785
2864601_0.371,2864601_0.349,2.153676404228444
2864601_0.371,2864601_0.510,2.279508592730335
2864601_0.371,2864601_0.376,2.2666149404590086
2864601_0.371,2864601_0.305,2.318253652584705
2864601_0.371,2864601_0.496,2.169266552357378
2864601_0.371,2864601_0.261,2.183052559537994
2864601_0.371,2864601_0.252,2.3182329281258482
2864601_0.371,2864601_0.208,2.2296849990373024
2864601_0.371,2864601_0.230,2.1824399673197035
2864601_0.371,2864601_0.452,2.196606828010085
2864601_0.371,2864601_0.498,2.161696843107562
2864601_0.371,2864601_0.271,2.383506883917403
2864601_0.371,2864601_0.450,2.1723503045508488
2864601_0.371,2864601_0.46,2.1866710480658234
2864601_0.371,2864601_0.308,2.201748839225927
2864601_0.371,2864601_0.163,1.9691133611823701
2864601_0.371,2864601_0.246,2.0576201901145112
2864601_0.371,2864601_0.438,2.2039093679163706
2864601_0.371,2864601_0.362,2.2513164882330097
2864601_0.371,2864601_0.136,1.831895623993928
2864601_0.371,2864601_0.250,2.2613884095305634
2864601_0.371,2864601_0.247,2.1772258623464427
2864601_0.371,2864601_0.382,1.955921274749457
2864601_0.371,2864601_0.307,2.162815478356025
2864601_0.371,2864601_0.339,1.750380638971416
2864601_0.371,2864601_0.426,1.2079732084753674
2864601_0.371,2864601_0.379,2.33790150190769
2864601_0.409,2864601_0.386,1.1883593974104028
2864601_0.409,2864601_0.355,1.1346060486015341
2864601_0.409,2864601_0.449,1.0267313549858441
2864601_0.409,2864601_0.340,1.1928771047514743
2864601_0.409,2864601_0.296,0.9650202274454789
2864601_0.409,2864601_0.270,0.9935830009311996
2864601_0.409,2864601_0.352,1.4168661165102518
2864601_0.409,2864601_0.487,1.0538640893429454
2864601_0.409,2864601_0.272,2.0244138020398728
2864601_0.409,2864601_0.404,0.9462736523082874
2864601_0.409,2864601_0.274,0.9647059187303106
2864601_0.409,2864601_0.240,1.0544125189840836
2864601_0.409,2864601_0.417,1.4930321876910717
2864601_0.409,2864601_0.494,1.010852540802078
2864601_0.409,2864601_0.260,0.9905925706651185
2864601_0.409,2864601_0.434,1.0906935852276165
2864601_0.409,2864601_0.460,1.1439709237455091
2864601_0.409,2864601_0.402,1.012083155159267
2864601_0.409,2864601_0.279,0.9811246463595434
2864601_0.409,2864601_0.353,1.097654815513655
2864601_0.409,2864601_0.175,1.0946904742013506
2864601_0.409,2864601_0.277,1.0369810807260444
2864601_0.409,2864601_0.463,1.992356180011691
2864601_0.409,2864601_0.229,1.216098847446746
2864601_0.409,2864601_0.224,1.1109947631083195
2864601_0.409,2864601_0.373,1.1578121892333675
2864601_0.409,2864601_0.481,1.1294665478436678
2864601_0.409,2864601_0.289,1.0398552497227656
2864601_0.409,2864601_0.393,0.982152932351809
2864601_0.409,2864601_0.406,1.0959522084576527
2864601_0.409,2864601_0.206,1.102594996482123
2864601_0.409,2864601_0.284,2.1488336179292835
2864601_0.409,2864601_0.235,1.1625772870918183
2864601_0.409,2864601_0.405,1.2487250683783402
2864601_0.409,2864601_0.398,1.262121705095917
2864601_0.409,2864601_0.358,1.1568484759741477
2864601_0.409,2864601_0.242,1.0721674517452446
2864601_0.409,2864601_0.490,0.9508980819469656
2864601_0.409,2864601_0.263,0.9164643738845224
2864601_0.409,2864601_0.211,1.204785285482896
2864601_0.409,2864601_0.292,2.4061472258729037
2864601_0.409,2864601_0.276,1.0541498444745316
2864601_0.409,2864601_0.427,1.0057212277709537
2864601_0.409,2864601_0.461,1.0507265794620222
2864601_0.409,2864601_0.471,1.0744899823278866
2864601_0.409,2864601_0.440,1.4198817103498058
2864601_0.409,2864601_0.457,0.956743836066104
2864601_0.409,2864601_0.400,1.0994214403257856
2864601_0.409,2864601_0.385,2.655696708470461
2864601_0.409,2864601_0.350,1.0566467006505966
2864601_0.409,2864601_0.416,1.8034727492106912
2864601_0.409,2864601_0.342,1.0573500603805084
2864601_0.409,2864601_0.359,1.0135242014264259
2864601_0.409,2864601_0.475,1.1316765465177403
2864601_0.409,2864601_0.462,4.83795366835067
2864601_0.409,2864601_0.268,3.4702675308640263
2864601_0.409,2864601_0.262,1.0321532036058592
2864601_0.409,2864601_0.485,1.5370839517916262
2864601_0.409,2864601_0.473,1.1139750102758963
2864601_0.409,2864601_0.189,1.9381251007886326
2864601_0.409,2864601_0.395,1.588453010446549
2864601_0.409,2864601_0.237,1.1476156099035164
2864601_0.409,2864601_0.372,1.0908996584787385
2864601_0.409,2864601_0.472,1.188842478891606
2864601_0.409,2864601_0.436,1.7616823813729199
2864601_0.409,2864601_0.454,1.2166055899118047
2864601_0.409,2864601_0.377,1.0442388382134702
2864601_0.409,2864601_0.212,1.725850690747844
2864601_0.409,2864601_0.123,1.0888867539690106
2864601_0.409,2864601_0.288,0.9607455418774046
2864601_0.409,2864601_0.349,0.9959295245189661
2864601_0.409,2864601_0.510,1.1639437752620045
2864601_0.409,2864601_0.376,1.0627649759271998
2864601_0.409,2864601_0.305,1.117233774102693
2864601_0.409,2864601_0.496,1.1870814658462987
2864601_0.409,2864601_0.261,1.131206169313743
2864601_0.409,2864601_0.252,1.1389702437105969
2864601_0.409,2864601_0.208,1.1269529741441384
2864601_0.409,2864601_0.230,1.0442671686795384
2864601_0.409,2864601_0.452,1.1806952586102963
2864601_0.409,2864601_0.498,1.0959193589319658
2864601_0.409,2864601_0.271,1.2728851348803298
2864601_0.409,2864601_0.450,3.583072357844366
2864601_0.409,2864601_0.46,1.094046447489506
2864601_0.409,2864601_0.308,1.0213706096872281
2864601_0.409,2864601_0.163,1.1770777040982483
2864601_0.409,2864601_0.246,1.2145523155606541
2864601_0.409,2864601_0.438,0.9904763127387306
2864601_0.409,2864601_0.362,1.0941017833058018
2864601_0.409,2864601_0.136,1.2548998061840753
2864601_0.409,2864601_0.250,1.3445091791663588
2864601_0.409,2864601_0.247,1.070690286478341
2864601_0.409,2864601_0.382,3.7328061319969406
2864601_0.409,2864601_0.307,1.0786079911825983
2864601_0.409,2864601_0.339,1.5888169400711398
2864601_0.409,2864601_0.426,1.857050938876706
2864601_0.409,2864601_0.379,1.2372475521766186
2864601_0.386,2864601_0.355,1.2169284304573889
2864601_0.386,2864601_0.449,1.0418173363425258
2864601_0.386,2864601_0.340,0.9587790262529454
2864601_0.386,2864601_0.296,1.1070785668666168
2864601_0.386,2864601_0.270,1.0483321332913371
2864601_0.386,2864601_0.352,1.1471251674636265
2864601_0.386,2864601_0.487,1.0204589208588768
2864601_0.386,2864601_0.272,1.6784876687969796
2864601_0.386,2864601_0.404,1.0910240633492618
2864601_0.386,2864601_0.274,1.002216115653445
2864601_0.386,2864601_0.240,1.0730981774763673
2864601_0.386,2864601_0.417,1.218351162652737
2864601_0.386,2864601_0.494,1.0557700647931645
2864601_0.386,2864601_0.260,1.0163700304009764
2864601_0.386,2864601_0.434,1.063433297815032
2864601_0.386,2864601_0.460,1.1142294371905368
2864601_0.386,2864601_0.402,1.165962806159608
2864601_0.386,2864601_0.279,1.1613028056589314
2864601_0.386,2864601_0.353,1.0615619601078907
2864601_0.386,2864601_0.175,1.12316789130962
2864601_0.386,2864601_0.277,1.1550230174987817
2864601_0.386,2864601_0.463,1.5709363556568234
2864601_0.386,2864601_0.229,1.3258741833043426
2864601_0.386,2864601_0.224,1.1136204708235071
2864601_0.386,2864601_0.373,1.1286183285030056
2864601_0.386,2864601_0.481,1.202668836876765
2864601_0.386,2864601_0.289,1.0327012350680826
2864601_0.386,2864601_0.393,1.130057431861654
2864601_0.386,2864601_0.406,1.2187944622508144
2864601_0.386,2864601_0.206,1.1131075441345881
2864601_0.386,2864601_0.284,1.7386890924956593
2864601_0.386,2864601_0.235,1.2153176161529373
2864601_0.386,2864601_0.405,1.2238692157181432
2864601_0.386,2864601_0.398,1.4344550066297437
2864601_0.386,2864601_0.358,1.1748203729444895
2864601_0.386,2864601_0.242,1.0537203331882028
2864601_0.386,2864601_0.490,1.1390105859816368
2864601_0.386,2864601_0.263,1.0857495675753084
2864601_0.386,2864601_0.211,1.1023913028842238
2864601_0.386,2864601_0.292,1.9632434566415222
2864601_0.386,2864601_0.276,0.9823318135712373
2864601_0.386,2864601_0.427,1.0548094451745593
2864601_0.386,2864601_0.461,1.088864003685431
2864601_0.386,2864601_0.471,0.9980197981438701
2864601_0.386,2864601_0.440,1.5941202167973283
2864601_0.386,2864601_0.457,1.119089542832395
2864601_0.386,2864601_0.400,1.010887838579721
2864601_0.386,2864601_0.385,2.2754975076354738
2864601_0.386,2864601_0.350,0.9348863068356347
2864601_0.386,2864601_0.416,1.9356364250420761
2864601_0.386,2864601_0.342,1.1049830591701324
2864601_0.386,2864601_0.359,1.0264867006360072
2864601_0.386,2864601_0.475,1.1231008512910878
2864601_0.386,2864601_0.462,4.912399445085694
2864601_0.386,2864601_0.268,3.1286318432309796
2864601_0.386,2864601_0.262,1.2393298381090683
2864601_0.386,2864601_0.485,1.586681037522867
2864601_0.386,2864601_0.473,1.2720932934134093
2864601_0.386,2864601_0.189,1.502395481592604
2864601_0.386,2864601_0.395,1.6118596519193804
2864601_0.386,2864601_0.237,1.342163845981476
2864601_0.386,2864601_0.372,1.1559034109243767
2864601_0.386,2864601_0.472,1.079417493690119
2864601_0.386,2864601_0.436,1.8632795596107732
2864601_0.386,2864601_0.454,1.290350815601527
2864601_0.386,2864601_0.377,1.2015322504799708
2864601_0.386,2864601_0.212,1.330576170484632
2864601_0.386,2864601_0.123,1.3188023741630421
2864601_0.386,2864601_0.288,1.2749170699816461
2864601_0.386,2864601_0.349,1.0509283930015405
2864601_0.386,2864601_0.510,1.089842462223753
2864601_0.386,2864601_0.376,1.1790717272280682
2864601_0.386,2864601_0.305,1.3441454665334964
2864601_0.386,2864601_0.496,1.2948926310101794
2864601_0.386,2864601_0.261,1.329938534921003
2864601_0.386,2864601_0.252,1.2677555565946828
2864601_0.386,2864601_0.208,1.12466785660263
2864601_0.386,2864601_0.230,1.1263918261708317
2864601_0.386,2864601_0.452,1.0684094429732969
2864601_0.386,2864601_0.498,1.1333818194458858
2864601_0.386,2864601_0.271,1.395274698665566
2864601_0.386,2864601_0.450,3.264017372254834
2864601_0.386,2864601_0.46,1.1669201186124738
2864601_0.386,2864601_0.308,1.2224991308528992
2864601_0.386,2864601_0.163,0.988131665657275
2864601_0.386,2864601_0.246,1.067202817347001
2864601_0.386,2864601_0.438,1.0664699951028642
2864601_0.386,2864601_0.362,1.0713221488060922
2864601_0.386,2864601_0.136,1.16924148671779
2864601_0.386,2864601_0.250,1.2159859117102925
2864601_0.386,2864601_0.247,1.1524850742713917
2864601_0.386,2864601_0.382,3.3088289366200847
2864601_0.386,2864601_0.307,0.9632619887590699
2864601_0.386,2864601_0.339,1.357186883829211
2864601_0.386,2864601_0.426,1.564430319519664
2864601_0.386,2864601_0.379,1.2712448992593044
2864601_0.355,2864601_0.449,1.1389718332756138
2864601_0.355,2864601_0.340,1.235200145159934
2864601_0.355,2864601_0.296,1.1820678487030183
2864601_0.355,2864601_0.270,1.2222756941314847
2864601_0.355,2864601_0.352,1.5011860599711242
2864601_0.355,2864601_0.487,0.9692809931642087
2864601_0.355,2864601_0.272,2.0783546774465256
2864601_0.355,2864601_0.404,1.0463940554362798
2864601_0.355,2864601_0.274,1.1702912712438334
2864601_0.355,2864601_0.240,1.1268185997084108
2864601_0.355,2864601_0.417,1.5074162135576763
2864601_0.355,2864601_0.494,1.0463365227662238
2864601_0.355,2864601_0.260,1.0651000501523906
2864601_0.355,2864601_0.434,1.0939069180380112
2864601_0.355,2864601_0.460,1.1923223092276856
2864601_0.355,2864601_0.402,1.2815542816994043
2864601_0.355,2864601_0.279,1.0558293733564403
2864601_0.355,2864601_0.353,1.0557555500745832
2864601_0.355,2864601_0.175,1.1618677335164431
2864601_0.355,2864601_0.277,1.0429270129825667
2864601_0.355,2864601_0.463,1.915512214346823
2864601_0.355,2864601_0.229,1.2016823041091729
2864601_0.355,2864601_0.224,0.9766025040235244
2864601_0.355,2864601_0.373,1.2487978941274451
2864601_0.355,2864601_0.481,1.2112713051260884
2864601_0.355,2864601_0.289,1.1075254777887185
2864601_0.355,2864601_0.393,1.078429479334351
2864601_0.355,2864601_0.406,1.1000782981881918
2864601_0.355,2864601_0.206,1.173124341683861
2864601_0.355,2864601_0.284,2.1272912707471927
2864601_0.355,2864601_0.235,1.1857819685853834
2864601_0.355,2864601_0.405,1.2682778223998468
2864601_0.355,2864601_0.398,1.4749931601160775
2864601_0.355,2864601_0.358,1.2747854490604202
2864601_0.355,2864601_0.242,1.0530191583787005
2864601_0.355,2864601_0.490,0.9675865499184542
2864601_0.355,2864601_0.263,1.0828279176227138
2864601_0.355,2864601_0.211,1.1295084951328729
2864601_0.355,2864601_0.292,2.397768004217244
2864601_0.355,2864601_0.276,1.108754256829258
2864601_0.355,2864601_0.427,1.0528526417662336
2864601_0.355,2864601_0.461,1.1081570197681079
2864601_0.355,2864601_0.471,0.9455008936793099
2864601_0.355,2864601_0.440,1.5580303102933581
2864601_0.355,2864601_0.457,1.0748120147096716
2864601_0.355,2864601_0.400,1.1001533554147451
2864601_0.355,2864601_0.385,2.6545547669073053
2864601_0.355,2864601_0.350,0.9955653164212968
2864601_0.355,2864601_0.416,1.8891190291600406
2864601_0.355,2864601_0.342,1.0930970964150724
2864601_0.355,2864601_0.359,1.0963945757209412
2864601_0.355,2864601_0.475,1.1769501739887478
2864601_0.355,2864601_0.462,4.91020826659236
2864601_0.355,2864601_0.268,3.3670520617250577
2864601_0.355,2864601_0.262,1.1305270025358916
2864601_0.355,2864601_0.485,1.4858953490615108
2864601_0.355,2864601_0.473,1.13456345436182
2864601_0.355,2864601_0.189,1.954504106739787
2864601_0.355,2864601_0.395,1.5804596219065101
2864601_0.355,2864601_0.237,1.3503429830269174
2864601_0.355,2864601_0.372,1.0214600373786122
