feature,outcome,regime,sample_count,spearman,interval_lower,interval_upper,finite_resamples,resampling_unit,interval_kind,feature_selection
support_warning_score,ensemble_spread,all,1000,0.013032651761125584,-0.05477350839356125,0.07394571571393975,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
support_warning_score,ensemble_absolute_error,all,1000,-0.013233570863143548,-0.07348218446005259,0.0476644077355569,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
a_over_lt,ensemble_spread,all,1000,-0.07348150948150949,-0.13882278004260562,-0.01623346017557706,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
a_over_lt,ensemble_absolute_error,all,1000,0.0005640305674147508,-0.06299015273855822,0.06277240973198557,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
a_over_ln,ensemble_spread,all,1000,-0.3392390792390793,-0.3942316300512047,-0.28917993876897136,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
a_over_ln,ensemble_absolute_error,all,1000,-0.26058590214941757,-0.31814178424349265,-0.19708337535427087,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
q_stds,ensemble_spread,all,1000,0.24034278034278034,0.16653720689288862,0.3081016255381834,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
q_stds,ensemble_absolute_error,all,1000,0.24792826541583501,0.17214142791910478,0.3107348919070451,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
symmetry_error,ensemble_spread,all,1000,0.617137603721537,0.5718454708243336,0.6640266648524136,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
symmetry_error,ensemble_absolute_error,all,1000,0.4819714057281705,0.42689926172147963,0.5329084306846936,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
motif_activation_dispersion,ensemble_spread,all,1000,0.002815322815322815,-0.058730565755204016,0.059903203546913156,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
motif_activation_dispersion,ensemble_absolute_error,all,1000,-0.017800085906886424,-0.0783142013234809,0.037257134893164366,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
concept_activation_dispersion,ensemble_spread,all,1000,0.2412720492720493,0.181548497233753,0.3072132697859064,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
concept_activation_dispersion,ensemble_absolute_error,all,1000,0.08889788343127074,0.03137258153178176,0.15006784226987158,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
nfp,ensemble_spread,all,1000,-0.08442179821616116,-0.15051707272886816,-0.02519072178534912,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
nfp,ensemble_absolute_error,all,1000,-0.011855252172448556,-0.07188721496292409,0.04947736756278444,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
iota,ensemble_spread,all,1000,-0.004285840285840286,-0.06438489393609115,0.056371734280680035,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
iota,ensemble_absolute_error,all,1000,-0.07693559339720696,-0.14305492880541695,-0.012882565146976468,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
shat,ensemble_spread,all,1000,0.04911531711531712,-0.00824634835412722,0.10774776390819203,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
shat,ensemble_absolute_error,all,1000,0.003474453495300217,-0.05941315767496541,0.06515386736487043,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
d_pressure_d_s,ensemble_spread,all,1000,-0.05287309837223545,-0.11825094611996592,0.01165124008360534,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
d_pressure_d_s,ensemble_absolute_error,all,1000,-0.054359947736836764,-0.1183859978955954,0.012507077633177339,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
aspect,ensemble_spread,all,1000,-0.09845630219957861,-0.16274363879605727,-0.03799642931461557,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
aspect,ensemble_absolute_error,all,1000,-0.04622033071934751,-0.11160746176050917,0.016192678153088634,500,equilibrium_files,grouped_resample_sensitivity_interval,none_frozen_before_residual_analysis
