regime,equilibrium_class,sample_count,mean_ensemble_spread_native,mean_ensemble_absolute_error_native
all,0,240,0.1506785882187528,0.21224679825778972
all,1,199,0.11287618786841352,0.18747554076297313
all,2,184,0.1176667390412726,0.19689993095159045
all,3,154,0.13474463101802997,0.15071271561606267
all,4,223,0.13228280039440912,0.18239920775326712
stable_or_near_floor,0,64,0.07779590320921576,0.11161002516746521
stable_or_near_floor,1,40,0.05319685073011682,0.1791726152820047
stable_or_near_floor,2,48,0.05072857238540305,0.0712715486685435
stable_or_near_floor,3,32,0.07216040559898526,0.08384726196527481
stable_or_near_floor,4,56,0.05899717096405629,0.08000275492668152
unstable,0,176,0.17718138276767534,0.2488419884724532
unstable,1,159,0.12788985758873975,0.18956432704749349
unstable,2,136,0.1412919743315795,0.24123935999266585
unstable,3,122,0.1511601655541728,0.16825119526217097
unstable,4,167,0.15685762223931785,0.21673574283284075
