spread_threshold_native,error_threshold_native,regime,sample_count,common_mode_failure_count,common_mode_failure_fraction,threshold_status
0.12,0.4,all,1000,6,0.006,post_review_sensitivity
0.12,0.4,stable_or_near_floor,240,0,0.0,post_review_sensitivity
0.12,0.4,unstable,760,6,0.007894736842105263,post_review_sensitivity
0.12,0.5,all,1000,2,0.002,post_review_sensitivity
0.12,0.5,stable_or_near_floor,240,0,0.0,post_review_sensitivity
0.12,0.5,unstable,760,2,0.002631578947368421,post_review_sensitivity
0.12,0.6,all,1000,2,0.002,post_review_sensitivity
0.12,0.6,stable_or_near_floor,240,0,0.0,post_review_sensitivity
0.12,0.6,unstable,760,2,0.002631578947368421,post_review_sensitivity
0.15,0.4,all,1000,19,0.019,post_review_sensitivity
0.15,0.4,stable_or_near_floor,240,2,0.008333333333333333,post_review_sensitivity
0.15,0.4,unstable,760,17,0.02236842105263158,post_review_sensitivity
0.15,0.5,all,1000,8,0.008,registered_primary
0.15,0.5,stable_or_near_floor,240,2,0.008333333333333333,registered_primary
0.15,0.5,unstable,760,6,0.007894736842105263,registered_primary
0.15,0.6,all,1000,7,0.007,post_review_sensitivity
0.15,0.6,stable_or_near_floor,240,2,0.008333333333333333,post_review_sensitivity
0.15,0.6,unstable,760,5,0.006578947368421052,post_review_sensitivity
0.18,0.4,all,1000,34,0.034,post_review_sensitivity
0.18,0.4,stable_or_near_floor,240,5,0.020833333333333332,post_review_sensitivity
0.18,0.4,unstable,760,29,0.038157894736842106,post_review_sensitivity
0.18,0.5,all,1000,18,0.018,post_review_sensitivity
0.18,0.5,stable_or_near_floor,240,4,0.016666666666666666,post_review_sensitivity
0.18,0.5,unstable,760,14,0.018421052631578946,post_review_sensitivity
0.18,0.6,all,1000,13,0.013,post_review_sensitivity
0.18,0.6,stable_or_near_floor,240,4,0.016666666666666666,post_review_sensitivity
0.18,0.6,unstable,760,9,0.011842105263157895,post_review_sensitivity
