outcome,member_id,regime,channel,sample_count,signed_mean_robust_scaled_gradient,mean_absolute_robust_scaled_gradient,signs_retained,estimand,gradient_identity
ensemble_spread,all_members,all,0,1000,-9.949324491753613e-05,0.0005173320648806632,True,"native max(log Q, -2)",direct_autograd
ensemble_spread,all_members,all,1,1000,-0.00020528526615021437,0.0019427778510179936,True,"native max(log Q, -2)",direct_autograd
ensemble_spread,all_members,all,2,1000,4.5993448287508085e-05,0.0008698998029820483,True,"native max(log Q, -2)",direct_autograd
ensemble_spread,all_members,all,3,1000,-4.026339851549107e-05,0.001667900669734598,True,"native max(log Q, -2)",direct_autograd
ensemble_spread,all_members,all,4,1000,-0.0001877385276899611,0.0013200948300367684,True,"native max(log Q, -2)",direct_autograd
ensemble_spread,all_members,all,5,1000,-2.0049784421710063e-05,0.001029342515167335,True,"native max(log Q, -2)",direct_autograd
ensemble_spread,all_members,all,6,1000,5.7017151934143285e-05,0.0009557199452051144,True,"native max(log Q, -2)",direct_autograd
ensemble_spread,all_members,stable_or_near_floor,0,240,-1.0273183966136109e-05,0.00030227773766847903,True,"native max(log Q, -2)",direct_autograd
ensemble_spread,all_members,stable_or_near_floor,1,240,0.0007540741217884226,0.001224534417969119,True,"native max(log Q, -2)",direct_autograd
ensemble_spread,all_members,stable_or_near_floor,2,240,0.00023860145112295726,0.0004978091324211481,True,"native max(log Q, -2)",direct_autograd
ensemble_spread,all_members,stable_or_near_floor,3,240,9.642656852125626e-05,0.001161420855735502,True,"native max(log Q, -2)",direct_autograd
ensemble_spread,all_members,stable_or_near_floor,4,240,-0.00041003278373717917,0.0006959525024541913,True,"native max(log Q, -2)",direct_autograd
ensemble_spread,all_members,stable_or_near_floor,5,240,-5.8141330192641246e-05,0.0005651655312399802,True,"native max(log Q, -2)",direct_autograd
ensemble_spread,all_members,stable_or_near_floor,6,240,0.00017734004298603878,0.0005315860940011935,True,"native max(log Q, -2)",direct_autograd
ensemble_spread,all_members,unstable,0,760,-0.00012766800100745193,0.0005852439576845108,True,"native max(log Q, -2)",direct_autograd
ensemble_spread,all_members,unstable,1,760,-0.000508240862341363,0.002169591566717639,True,"native max(log Q, -2)",direct_autograd
ensemble_spread,all_members,unstable,2,760,-1.4830131555265352e-05,0.0009874021200012798,True,"native max(log Q, -2)",direct_autograd
ensemble_spread,all_members,unstable,3,760,-8.34286512639376e-05,0.0018278416636290495,True,"native max(log Q, -2)",direct_autograd
ensemble_spread,all_members,unstable,4,760,-0.00011754034156978697,0.0015171924071681088,True,"native max(log Q, -2)",direct_autograd
ensemble_spread,all_members,unstable,5,760,-8.02087523088969e-06,0.0011759247206180785,True,"native max(log Q, -2)",direct_autograd
ensemble_spread,all_members,unstable,6,760,1.9020449496702596e-05,0.0010896569508484577,True,"native max(log Q, -2)",direct_autograd
ensemble_mean_prediction,mean_top_gradient_members,all,0,128,-0.00040201993369313863,0.002157466626973798,True,"native max(log Q, -2)",direct_autograd
ensemble_mean_prediction,mean_top_gradient_members,all,1,128,0.006158125833961453,0.009582721913581699,True,"native max(log Q, -2)",direct_autograd
ensemble_mean_prediction,mean_top_gradient_members,all,2,128,0.002237297251331103,0.0037100344832230823,True,"native max(log Q, -2)",direct_autograd
ensemble_mean_prediction,mean_top_gradient_members,all,3,128,-0.0006452350574492263,0.007236808124102435,True,"native max(log Q, -2)",direct_autograd
ensemble_mean_prediction,mean_top_gradient_members,all,4,128,-0.004399849013480463,0.005858482992538317,True,"native max(log Q, -2)",direct_autograd
ensemble_mean_prediction,mean_top_gradient_members,all,5,128,0.00021721121862654398,0.0036565121077586087,True,"native max(log Q, -2)",direct_autograd
ensemble_mean_prediction,mean_top_gradient_members,all,6,128,0.0033588173913516872,0.00447120391153545,True,"native max(log Q, -2)",direct_autograd
ensemble_mean_prediction,mean_top_gradient_members,stable_or_near_floor,0,31,5.1931120821879406e-05,0.000309395480762421,True,"native max(log Q, -2)",direct_autograd
ensemble_mean_prediction,mean_top_gradient_members,stable_or_near_floor,1,31,0.00187649777687521,0.0021012086385591485,True,"native max(log Q, -2)",direct_autograd
ensemble_mean_prediction,mean_top_gradient_members,stable_or_near_floor,2,31,0.0006490520026015542,0.000772194601239208,True,"native max(log Q, -2)",direct_autograd
ensemble_mean_prediction,mean_top_gradient_members,stable_or_near_floor,3,31,-0.00014358086287246695,0.0013715315318433285,True,"native max(log Q, -2)",direct_autograd
ensemble_mean_prediction,mean_top_gradient_members,stable_or_near_floor,4,31,-0.00076089992811732,0.0010294070775814107,True,"native max(log Q, -2)",direct_autograd
ensemble_mean_prediction,mean_top_gradient_members,stable_or_near_floor,5,31,3.003668697240505e-05,0.0006328075377296345,True,"native max(log Q, -2)",direct_autograd
ensemble_mean_prediction,mean_top_gradient_members,stable_or_near_floor,6,31,9.618544047633936e-05,0.0005238320732755915,True,"native max(log Q, -2)",direct_autograd
ensemble_mean_prediction,mean_top_gradient_members,unstable,0,97,-0.0005470970748268042,0.0027480873025671248,True,"native max(log Q, -2)",direct_autograd
ensemble_mean_prediction,mean_top_gradient_members,unstable,1,97,0.007526481192411695,0.011973721001475505,True,"native max(log Q, -2)",direct_autograd
ensemble_mean_prediction,mean_top_gradient_members,unstable,2,97,0.0027448807844302372,0.004648931765094218,True,"native max(log Q, -2)",direct_autograd
ensemble_mean_prediction,mean_top_gradient_members,unstable,3,97,-0.0008055575320046856,0.009111277962865654,True,"native max(log Q, -2)",direct_autograd
ensemble_mean_prediction,mean_top_gradient_members,unstable,4,97,-0.0055628121232356945,0.007401795913813205,True,"native max(log Q, -2)",direct_autograd
ensemble_mean_prediction,mean_top_gradient_members,unstable,5,97,0.0002770298833819904,0.004622850681685394,True,"native max(log Q, -2)",direct_autograd
ensemble_mean_prediction,mean_top_gradient_members,unstable,6,97,0.004401514200394325,0.0057327351175772605,True,"native max(log Q, -2)",direct_autograd
member_residual,2864601_0.437,all,0,128,-0.0006468926835506528,0.003734373328370101,True,"native max(log Q, -2)",d(member residual)/dX = d(member native prediction)/dX
member_residual,2864601_0.437,all,1,128,0.004585887647997581,0.011424050788034655,True,"native max(log Q, -2)",d(member residual)/dX = d(member native prediction)/dX
member_residual,2864601_0.437,all,2,128,0.0016116015686008466,0.004984612484405705,True,"native max(log Q, -2)",d(member residual)/dX = d(member native prediction)/dX
member_residual,2864601_0.437,all,3,128,0.004484376707959053,0.011445169817353761,True,"native max(log Q, -2)",d(member residual)/dX = d(member native prediction)/dX
member_residual,2864601_0.437,all,4,128,-0.0027255302051591847,0.006624736593199107,True,"native max(log Q, -2)",d(member residual)/dX = d(member native prediction)/dX
member_residual,2864601_0.437,all,5,128,-0.0017623750951492921,0.006243776152366182,True,"native max(log Q, -2)",d(member residual)/dX = d(member native prediction)/dX
member_residual,2864601_0.437,all,6,128,0.00439598722937572,0.0076193347268933885,True,"native max(log Q, -2)",d(member residual)/dX = d(member native prediction)/dX
member_residual,2864601_0.437,stable_or_near_floor,0,31,5.183779839063843e-05,0.0005741873645039902,True,"native max(log Q, -2)",d(member residual)/dX = d(member native prediction)/dX
member_residual,2864601_0.437,stable_or_near_floor,1,31,0.0016354611978854478,0.002262382358272036,True,"native max(log Q, -2)",d(member residual)/dX = d(member native prediction)/dX
member_residual,2864601_0.437,stable_or_near_floor,2,31,0.0004941818848506672,0.0007833828132086909,True,"native max(log Q, -2)",d(member residual)/dX = d(member native prediction)/dX
member_residual,2864601_0.437,stable_or_near_floor,3,31,0.00021936700140895728,0.0015745308265435417,True,"native max(log Q, -2)",d(member residual)/dX = d(member native prediction)/dX
member_residual,2864601_0.437,stable_or_near_floor,4,31,-0.0005726533019108553,0.0010255662197518175,True,"native max(log Q, -2)",d(member residual)/dX = d(member native prediction)/dX
member_residual,2864601_0.437,stable_or_near_floor,5,31,-0.0003370859153251368,0.001096190140306797,True,"native max(log Q, -2)",d(member residual)/dX = d(member native prediction)/dX
member_residual,2864601_0.437,stable_or_near_floor,6,31,6.303206594509743e-05,0.0009545212942230455,True,"native max(log Q, -2)",d(member residual)/dX = d(member native prediction)/dX
member_residual,2864601_0.437,unstable,0,97,-0.000870198301490653,0.00474432966733762,True,"native max(log Q, -2)",d(member residual)/dX = d(member native prediction)/dX
member_residual,2864601_0.437,unstable,1,97,0.005528807441332387,0.01435200667795879,True,"native max(log Q, -2)",d(member residual)/dX = d(member native prediction)/dX
member_residual,2864601_0.437,unstable,2,97,0.001968715075778739,0.006327273513344957,True,"native max(log Q, -2)",d(member residual)/dX = d(member native prediction)/dX
member_residual,2864601_0.437,unstable,3,97,0.0058474210471657845,0.014599703927818883,True,"native max(log Q, -2)",d(member residual)/dX = d(member native prediction)/dX
member_residual,2864601_0.437,unstable,4,97,-0.0034135630299086507,0.008414162176465765,True,"native max(log Q, -2)",d(member residual)/dX = d(member native prediction)/dX
member_residual,2864601_0.437,unstable,5,97,-0.0022178798845776306,0.007888880960343923,True,"native max(log Q, -2)",d(member residual)/dX = d(member native prediction)/dX
member_residual,2864601_0.437,unstable,6,97,0.005780746096039116,0.009749326648674634,True,"native max(log Q, -2)",d(member residual)/dX = d(member native prediction)/dX
member_residual,2864601_0.371,all,0,128,-0.0005061720305887371,0.0037408717884197962,True,"native max(log Q, -2)",d(member residual)/dX = d(member native prediction)/dX
member_residual,2864601_0.371,all,1,128,0.006421303626882455,0.014231873017773178,True,"native max(log Q, -2)",d(member residual)/dX = d(member native prediction)/dX
member_residual,2864601_0.371,all,2,128,0.001774948722757811,0.006956753115199746,True,"native max(log Q, -2)",d(member residual)/dX = d(member native prediction)/dX
member_residual,2864601_0.371,all,3,128,-0.006282059627488447,0.012034033544616844,True,"native max(log Q, -2)",d(member residual)/dX = d(member native prediction)/dX
member_residual,2864601_0.371,all,4,128,-0.0040132944126951,0.012458895568377518,True,"native max(log Q, -2)",d(member residual)/dX = d(member native prediction)/dX
member_residual,2864601_0.371,all,5,128,0.0037006978007980084,0.009084220005188125,True,"native max(log Q, -2)",d(member residual)/dX = d(member native prediction)/dX
member_residual,2864601_0.371,all,6,128,0.0038418518214955754,0.009062507506835335,True,"native max(log Q, -2)",d(member residual)/dX = d(member native prediction)/dX
member_residual,2864601_0.371,stable_or_near_floor,0,31,2.168690700129071e-05,0.0005547169736348013,True,"native max(log Q, -2)",d(member residual)/dX = d(member native prediction)/dX
member_residual,2864601_0.371,stable_or_near_floor,1,31,0.001226533534980638,0.0020640814577500967,True,"native max(log Q, -2)",d(member residual)/dX = d(member native prediction)/dX
member_residual,2864601_0.371,stable_or_near_floor,2,31,0.00029267004294756925,0.0010104226306019445,True,"native max(log Q, -2)",d(member residual)/dX = d(member native prediction)/dX
member_residual,2864601_0.371,stable_or_near_floor,3,31,-0.0005552596715556212,0.0015406752827932288,True,"native max(log Q, -2)",d(member residual)/dX = d(member native prediction)/dX
member_residual,2864601_0.371,stable_or_near_floor,4,31,-0.0007328249720465319,0.0020358797710699995,True,"native max(log Q, -2)",d(member residual)/dX = d(member native prediction)/dX
member_residual,2864601_0.371,stable_or_near_floor,5,31,0.0004037309305790876,0.001257921778529054,True,"native max(log Q, -2)",d(member residual)/dX = d(member native prediction)/dX
member_residual,2864601_0.371,stable_or_near_floor,6,31,6.759617759708928e-05,0.0010752409271844025,True,"native max(log Q, -2)",d(member residual)/dX = d(member native prediction)/dX
member_residual,2864601_0.371,unstable,0,97,-0.0006748692168288492,0.004759127450876857,True,"native max(log Q, -2)",d(member residual)/dX = d(member native prediction)/dX
member_residual,2864601_0.371,unstable,1,97,0.008081487883057261,0.01812054867097643,True,"native max(log Q, -2)",d(member residual)/dX = d(member native prediction)/dX
