candidate,outcome,gradient_set,regime,rows,spearman_rho,ci95_lower,ci95_upper,bootstrap_replicates,bootstrap_unit,validity_tag,claim_grade
f_Q_integrand_w25_peak,target_native,fixed,all,1000,0.8071523595642384,0.7780339061407684,0.8340791093676506,500,equilibrium_files,observed-comparison,observational-physical
f_Q_integrand_w25_peak,target_native,fixed,stable_or_near_floor,23,0.32141217326661253,0.0,0.5855436942175875,500,equilibrium_files,observed-comparison,observational-physical
f_Q_integrand_w25_peak,target_native,fixed,unstable,977,0.7942094143372597,0.7616189146413352,0.8212066191510432,500,equilibrium_files,observed-comparison,observational-physical
f_Q_integrand_w25_peak,log_Q,fixed,all,1000,0.8071846831846833,0.7763583190578899,0.8325548012034113,500,equilibrium_files,observed-comparison,observational-physical
f_Q_integrand_w25_peak,log_Q,fixed,stable_or_near_floor,23,0.6808300395256918,0.30903640286300094,0.8688935530679932,500,equilibrium_files,observed-comparison,observational-physical
f_Q_integrand_w25_peak,log_Q,fixed,unstable,977,0.7942094143372597,0.7638768173052821,0.8213137817468298,500,equilibrium_files,observed-comparison,observational-physical
f_Q_integrand_w25_peak,log10_Q_stds,fixed,all,1000,0.8071846831846833,0.7806286986923763,0.8304452770980708,500,equilibrium_files,observed-comparison,observational-physical
f_Q_integrand_w25_peak,log10_Q_stds,fixed,stable_or_near_floor,23,0.6808300395256918,0.3541635340436417,0.8829553781103789,500,equilibrium_files,observed-comparison,observational-physical
f_Q_integrand_w25_peak,log10_Q_stds,fixed,unstable,977,0.7942094143372597,0.7632813939715909,0.8205709310289754,500,equilibrium_files,observed-comparison,observational-physical
f_Q_integrand_w25_peak,log10_zonal_phi2,fixed,all,1000,0.274985650985651,0.21446837768464933,0.3441255146012989,500,equilibrium_files,observed-comparison,observational-physical
f_Q_integrand_w25_peak,log10_zonal_phi2,fixed,stable_or_near_floor,23,0.6343873517786561,0.2569763057613408,0.8623341729825629,500,equilibrium_files,observed-comparison,observational-physical
