candidate,baseline,gradient_set,regime,fold_seed_offset,fold_seed,model_seed_held_fixed,mse_improvement,mse_improvement_ci95_lower,mse_improvement_ci95_upper,mse_improvement_resolved,delta_r2,split_unit,bootstrap_unit,estimand,validity_tag
f_Q_integrand_w25_peak,paper_selected,fixed,all,0,20264826,20264826,0.007822007866254777,-0.00165253222677037,0.015630077136597746,False,0.005798428676123679,equilibrium_files,equilibrium_files,"native max(log Q, -2)",observed-comparison
bad_curvature_compression,paper_selected,fixed,all,0,20264826,20264826,0.007947051041926072,-0.00025602724292846584,0.01598684636892168,False,0.005891122770525392,equilibrium_files,equilibrium_files,"native max(log Q, -2)",observed-comparison
geodesic_curvature_compression,paper_selected,fixed,all,0,20264826,20264826,0.018801234591043544,0.006169223930695939,0.03251621098915842,True,0.013937293296463094,equilibrium_files,equilibrium_files,"native max(log Q, -2)",observed-comparison
f_Q_integrand_w25_peak,paper_selected,fixed,all,1,20264827,20264826,0.005165961477324724,-0.004474477316521932,0.012419578711507255,False,0.0038295102334399145,equilibrium_files,equilibrium_files,"native max(log Q, -2)",observed-comparison
bad_curvature_compression,paper_selected,fixed,all,1,20264827,20264826,0.006181789651375098,-0.0013173647905136915,0.014429971632404283,False,0.0045825403140972165,equilibrium_files,equilibrium_files,"native max(log Q, -2)",observed-comparison
geodesic_curvature_compression,paper_selected,fixed,all,1,20264827,20264826,0.018239882793355762,0.005947829521360857,0.03127384633023524,True,0.013521165057171936,equilibrium_files,equilibrium_files,"native max(log Q, -2)",observed-comparison
f_Q_integrand_w25_peak,paper_selected,fixed,all,2,20264828,20264826,0.009598033898306288,0.002025550030884835,0.016692125220085886,True,0.007114990925851994,equilibrium_files,equilibrium_files,"native max(log Q, -2)",observed-comparison
bad_curvature_compression,paper_selected,fixed,all,2,20264828,20264826,0.010478746093677238,0.0028892964190567767,0.018443686535419265,True,0.007767859976403835,equilibrium_files,equilibrium_files,"native max(log Q, -2)",observed-comparison
geodesic_curvature_compression,paper_selected,fixed,all,2,20264828,20264826,0.021750428807960066,0.009106493101526322,0.035006294625015054,True,0.016123521258800122,equilibrium_files,equilibrium_files,"native max(log Q, -2)",observed-comparison
f_Q_integrand_w25_peak,paper_selected,fixed,all,3,20264829,20264826,0.009350392554430651,0.0008459245370259424,0.016900861570897256,True,0.0069314152130330875,equilibrium_files,equilibrium_files,"native max(log Q, -2)",observed-comparison
bad_curvature_compression,paper_selected,fixed,all,3,20264829,20264826,0.010600111347479188,0.0033994128273050336,0.018579445797784234,True,0.007857827639433879,equilibrium_files,equilibrium_files,"native max(log Q, -2)",observed-comparison
geodesic_curvature_compression,paper_selected,fixed,all,3,20264829,20264826,0.01994325340854626,0.00847859427723983,0.03270913835560889,True,0.014783868085609941,equilibrium_files,equilibrium_files,"native max(log Q, -2)",observed-comparison
f_Q_integrand_w25_peak,paper_selected,fixed,all,4,20264830,20264826,0.011441921389927287,0.0011228477583706247,0.019564561777172227,True,0.00848185865211526,equilibrium_files,equilibrium_files,"native max(log Q, -2)",observed-comparison
bad_curvature_compression,paper_selected,fixed,all,4,20264830,20264826,0.015324802890737132,0.007642529925378508,0.023283364959937124,True,0.011360225923697342,equilibrium_files,equilibrium_files,"native max(log Q, -2)",observed-comparison
geodesic_curvature_compression,paper_selected,fixed,all,4,20264830,20264826,0.026618125088680035,0.01384419177703949,0.041052452106074645,True,0.019731928484079675,equilibrium_files,equilibrium_files,"native max(log Q, -2)",observed-comparison
f_Q_integrand_w25_peak,paper_selected,fixed,all,5,20264831,20264826,0.009465033570830549,-7.97775803837833e-05,0.018263775222082633,False,0.007016398221017739,equilibrium_files,equilibrium_files,"native max(log Q, -2)",observed-comparison
bad_curvature_compression,paper_selected,fixed,all,5,20264831,20264826,0.011181922756985168,0.0032409695839990876,0.019602943400798142,True,0.008289122521599745,equilibrium_files,equilibrium_files,"native max(log Q, -2)",observed-comparison
geodesic_curvature_compression,paper_selected,fixed,all,5,20264831,20264826,0.022124029010582087,0.009978053176817183,0.0354434901237666,True,0.016400469858869338,equilibrium_files,equilibrium_files,"native max(log Q, -2)",observed-comparison
f_Q_integrand_w25_peak,paper_selected,fixed,all,6,20264832,20264826,0.00987610516240829,0.001625507296609539,0.018179205509065197,True,0.007321124238339527,equilibrium_files,equilibrium_files,"native max(log Q, -2)",observed-comparison
bad_curvature_compression,paper_selected,fixed,all,6,20264832,20264826,0.011366536966769349,0.003054584564273715,0.019834577479548983,True,0.008425976427442694,equilibrium_files,equilibrium_files,"native max(log Q, -2)",observed-comparison
geodesic_curvature_compression,paper_selected,fixed,all,6,20264832,20264826,0.025584874652234028,0.012749320372916829,0.03908497303603006,True,0.018965983337673853,equilibrium_files,equilibrium_files,"native max(log Q, -2)",observed-comparison
