evidence_id,candidate_id,matrix_column,source_step,source_artifact,source_selector,source_fields,source_record_count,source_values_json,method_family,direction,direction_rule,direction_source,estimand,outcome,outcome_source,function_scope,cohort,regime,validity_tag,intervention,intervention_executed,machine_readable,uncertainty_unit,uncertainty_unit_source,summary
E04_FQ_U001_SHAPLEY,localized_f_Q_integrand_peak,bottleneck_shapley,S04,reports/xai/S04_artifacts/shapley_global.csv,"{""feature_id"":""2864601_0.437:u001"",""member_id"":""2864601_0.437"",""stratum"":""overall""}",method;mean_signed;mean_absolute;rms;variance_share;validity_tag,1,"[{""mean_absolute"":""0.4183336394447324"",""mean_signed"":""-0.0063559083473446664"",""method"":""exact_enumeration"",""rms"":""0.5832459675538877"",""validity_tag"":""deliberately_off_manifold_diagnostic"",""variance_share"":""0.10532968488587091""}]",bottleneck_credit,supports,"{""basis"":""upstream result interpretation; not used by the headline gate"",""kind"":""interpretive"",""value"":""supports""}",config.direction:interpretive_not_used_for_claim_gate,"native max(log Q, -2)","native max(log Q, -2)",config.estimand,invariant_tilde_f,S01 varied-gradient interpretation panel,all,deliberately_off_manifold_diagnostic,exact Shapley mean-background coalition diagnostic,True,True,not_applicable_no_interval_selected,not_applicable,The top member's u001 carries the largest exact bottleneck Shapley magnitude.
E05_FQ_U001_SEMANTICS,localized_f_Q_integrand_peak,unit_semantics,S05,reports/xai/S05_artifacts/unit_motifs.csv,"{""unit_id"":""2864601_0.437:u001""}",motif_status;claimed_concept;lag;lag_correlation;bootstrap_recurrence;selection_null_q95;validity_tag,1,"[{""bootstrap_recurrence"":""0.994"",""claimed_concept"":""f_Q_integrand_p3_Bm1__mean_w25"",""lag"":""23"",""lag_correlation"":""-0.3694081202042421"",""motif_status"":""supported_named_motif"",""selection_null_q95"":""0.06634460844133923"",""validity_tag"":""observed-comparison""}]",spatial_unit_semantics,supports,"{""basis"":""upstream result interpretation; not used by the headline gate"",""kind"":""interpretive"",""value"":""supports""}",config.direction:interpretive_not_used_for_claim_gate,"native max(log Q, -2)","native max(log Q, -2)",config.estimand,invariant_tilde_f,S01 varied-gradient interpretation panel,unstable-led with strata retained,observed-comparison,not_interventional,False,True,not_applicable_no_interval_selected,not_applicable,"u001 aligns with the 25-point f_Q-integrand motif, but only after a large lag."
E04_FQ_DIRECTION_REMOVAL,localized_f_Q_integrand_peak,supported_perturbation,S04,reports/xai/S04_artifacts/encoded_vs_used.csv,"{""member_id"":""2864601_0.437"",""stratum"":""overall"",""target"":""log_f_Q""}",encoded_linear_grouped_cv_r2;used_direction_removal_rms_delta;used_rms_per_edit_sd;random_direction_control_median_rms_per_edit_sd;direction_intervention_validity,1,"[{""direction_intervention_validity"":""deliberately_off_manifold_diagnostic"",""encoded_linear_grouped_cv_r2"":""0.8563508358191579"",""random_direction_control_median_rms_per_edit_sd"":""0.2502031755820999"",""used_direction_removal_rms_delta"":""0.8350566170050705"",""used_rms_per_edit_sd"":""0.656710517709018""}]",hidden_intervention,supports,"{""basis"":""upstream result interpretation; not used by the headline gate"",""kind"":""interpretive"",""value"":""supports""}",config.direction:interpretive_not_used_for_claim_gate,"native max(log Q, -2)","native max(log Q, -2)",config.estimand,invariant_tilde_f,S01 varied-gradient interpretation panel,all,deliberately_off_manifold_diagnostic,remove decoded log_f_Q bottleneck direction,True,True,not_applicable_no_interval_selected,not_applicable,Removing the decoded log_f_Q direction moves the native output more than random directions.
E08_FQ_ENCODING,localized_f_Q_integrand_peak,hidden_encoding,S08,reports/xai/S08_artifacts/probe_scores.csv,"{""concept"":""log_f_Q""}",member_id;layer_index;encoded_r2;encoded_r2_stable_or_near_floor;encoded_r2_unstable;permuted_r2,15,"[{""encoded_r2"":""0.6662505132647814"",""encoded_r2_stable_or_near_floor"":""0.7874905437723281"",""encoded_r2_unstable"":""0.6036093349852234"",""layer_index"":""0"",""member_id"":""2864601_0.437"",""permuted_r2"":""-0.00018144667313313434""},{""encoded_r2"":""0.8368762183989719"",""encoded_r2_stable_or_near_floor"":""0.8431165028945125"",""encoded_r2_unstable"":""0.8273460439941255"",""layer_index"":""1"",""member_id"":""2864601_0.437"",""permuted_r2"":""-0.0006930825071249647""},{""encoded_r2"":""0.8227834425148741"",""encoded_r2_stable_or_near_floor"":""0.8145867380423497"",""encoded_r2_unstable"":""0.8183863439282506"",""layer_index"":""2"",""member_id"":""2864601_0.437"",""permuted_r2"":""-0.0023118109857105384""},{""encoded_r2"":""0.8699366216898822"",""encoded_r2_stable_or_near_floor"":""0.8657783260640579"",""encoded_r2_unstable"":""0.8659707251905502"",""layer_index"":""3"",""member_id"":""2864601_0.437"",""permuted_r2"":""-0.003222772838918919""},{""encoded_r2"":""0.8568092815338719"",""encoded_r2_stable_or_near_floor"":""0.8772913346611686"",""encoded_r2_unstable"":""0.8424760225403641"",""layer_index"":""4"",""member_id"":""2864601_0.437"",""permuted_r2"":""-0.004364976284165101""},{""encoded_r2"":""0.8358410823557845"",""encoded_r2_stable_or_near_floor"":""0.8467983397688978"",""encoded_r2_unstable"":""0.8243901095084786"",""layer_index"":""0"",""member_id"":""2864601_0.371"",""permuted_r2"":""-0.0010774086358944501""},{""encoded_r2"":""0.8260592417826658"",""encoded_r2_stable_or_near_floor"":""0.8354674276662857"",""encoded_r2_unstable"":""0.8148017251868869"",""layer_index"":""1"",""member_id"":""2864601_0.371"",""permuted_r2"":""-0.006487901219521808""},{""encoded_r2"":""0.8036196440551774"",""encoded_r2_stable_or_near_floor"":""0.8140940616164157"",""encoded_r2_unstable"":""0.7909684890221094"",""layer_index"":""2"",""member_id"":""2864601_0.371"",""permuted_r2"":""-0.0023946726282109143""},{""encoded_r2"":""0.8439275075416688"",""encoded_r2_stable_or_near_floor"":""0.8618775510091938"",""encoded_r2_unstable"":""0.8300447051953073"",""layer_index"":""3"",""member_id"":""2864601_0.371"",""permuted_r2"":""-0.0013462235834396097""},{""encoded_r2"":""0.8642501693766378"",""encoded_r2_stable_or_near_floor"":""0.8871581094089305"",""encoded_r2_unstable"":""0.8492735723905388"",""layer_index"":""4"",""member_id"":""2864601_0.371"",""permuted_r2"":""-0.0022935585353380805""},{""encoded_r2"":""0.8323096681509095"",""encoded_r2_stable_or_near_floor"":""0.8303849723034765"",""encoded_r2_unstable"":""0.8258296242303198"",""layer_index"":""0"",""member_id"":""2864601_0.409"",""permuted_r2"":""-0.0020785615034597527""},{""encoded_r2"":""0.8515205194328743"",""encoded_r2_stable_or_near_floor"":""0.8627196619735586"",""encoded_r2_unstable"":""0.8406508178560339"",""layer_index"":""1"",""member_id"":""2864601_0.409"",""permuted_r2"":""-0.0016076891358240974""},{""encoded_r2"":""0.8224833624685592"",""encoded_r2_stable_or_near_floor"":""0.8392056040896547"",""encoded_r2_unstable"":""0.8081623345650681"",""layer_index"":""2"",""member_id"":""2864601_0.409"",""permuted_r2"":""-0.0007536512376054016""},{""encoded_r2"":""0.8815274823876178"",""encoded_r2_stable_or_near_floor"":""0.887903528838602"",""encoded_r2_unstable"":""0.873872599616606"",""layer_index"":""3"",""member_id"":""2864601_0.409"",""permuted_r2"":""-0.0008288851705622324""},{""encoded_r2"":""0.9038762882234375"",""encoded_r2_stable_or_near_floor"":""0.9100443707223378"",""encoded_r2_unstable"":""0.8972697638248084"",""layer_index"":""4"",""member_id"":""2864601_0.409"",""permuted_r2"":""-0.0005365757910542612""}]",hidden_probe,supports,"{""control_field"":""permuted_r2"",""encoded_field"":""encoded_r2"",""kind"":""probe_vs_permutation"",""minimum_gain"":0.1,""stable_field"":""encoded_r2_stable_or_near_floor"",""unstable_field"":""encoded_r2_unstable""}","config.direction_rule:probe_vs_permutation;median_gains=overall:0.838484,stable:0.848406,unstable:0.828954;minimum_gain=0.1","native max(log Q, -2)","native max(log Q, -2)",probe_scores.csv:estimand,invariant_tilde_f,S01 varied-gradient interpretation panel,all with stable and unstable retained,observed-comparison,not_interventional,False,True,not_applicable_no_interval_selected,not_applicable,log_f_Q is decodable across the top-three members and five hidden layers.
E08_FQ_USE,localized_f_Q_integrand_peak,hidden_intervention,S08,reports/xai/S08_artifacts/tcav_use.csv,"{""concept"":""log_f_Q""}",member_id;layer_index;mean_directional_derivative;intervention_to_scale_matched_random_ratio;use_claim_permitted;perturbation_validity_tag,15,"[{""intervention_to_scale_matched_random_ratio"":""0.6654309580777564"",""layer_index"":""0"",""mean_directional_derivative"":""-0.03344746306538582"",""member_id"":""2864601_0.437"",""perturbation_validity_tag"":""deliberately_off_manifold_diagnostic"",""use_claim_permitted"":""False""},{""intervention_to_scale_matched_random_ratio"":""1.1328537444410982"",""layer_index"":""1"",""mean_directional_derivative"":""0.12594999372959137"",""member_id"":""2864601_0.437"",""perturbation_validity_tag"":""deliberately_off_manifold_diagnostic"",""use_claim_permitted"":""True""},{""intervention_to_scale_matched_random_ratio"":""2.1412669026387436"",""layer_index"":""2"",""mean_directional_derivative"":""0.6124559044837952"",""member_id"":""2864601_0.437"",""perturbation_validity_tag"":""deliberately_off_manifold_diagnostic"",""use_claim_permitted"":""True""},{""intervention_to_scale_matched_random_ratio"":""1.881658020769386"",""layer_index"":""3"",""mean_directional_derivative"":""0.6125864386558533"",""member_id"":""2864601_0.437"",""perturbation_validity_tag"":""deliberately_off_manifold_diagnostic"",""use_claim_permitted"":""True""},{""intervention_to_scale_matched_random_ratio"":""1.6610694541640012"",""layer_index"":""4"",""mean_directional_derivative"":""0.5249394774436951"",""member_id"":""2864601_0.437"",""perturbation_validity_tag"":""deliberately_off_manifold_diagnostic"",""use_claim_permitted"":""True""},{""intervention_to_scale_matched_random_ratio"":""1.4310836063229435"",""layer_index"":""0"",""mean_directional_derivative"":""-0.6294673085212708"",""member_id"":""2864601_0.371"",""perturbation_validity_tag"":""deliberately_off_manifold_diagnostic"",""use_claim_permitted"":""True""},{""intervention_to_scale_matched_random_ratio"":""1.4925365669448092"",""layer_index"":""1"",""mean_directional_derivative"":""0.33432912826538086"",""member_id"":""2864601_0.371"",""perturbation_validity_tag"":""deliberately_off_manifold_diagnostic"",""use_claim_permitted"":""True""},{""intervention_to_scale_matched_random_ratio"":""1.9820766759316428"",""layer_index"":""2"",""mean_directional_derivative"":""0.36752375960350037"",""member_id"":""2864601_0.371"",""perturbation_validity_tag"":""deliberately_off_manifold_diagnostic"",""use_claim_permitted"":""True""},{""intervention_to_scale_matched_random_ratio"":""1.4486076885215686"",""layer_index"":""3"",""mean_directional_derivative"":""0.35694456100463867"",""member_id"":""2864601_0.371"",""perturbation_validity_tag"":""deliberately_off_manifold_diagnostic"",""use_claim_permitted"":""True""},{""intervention_to_scale_matched_random_ratio"":""1.3260895451734216"",""layer_index"":""4"",""mean_directional_derivative"":""0.21728156507015228"",""member_id"":""2864601_0.371"",""perturbation_validity_tag"":""deliberately_off_manifold_diagnostic"",""use_claim_permitted"":""True""},{""intervention_to_scale_matched_random_ratio"":""0.9708137292197112"",""layer_index"":""0"",""mean_directional_derivative"":""-0.2681010961532593"",""member_id"":""2864601_0.409"",""perturbation_validity_tag"":""deliberately_off_manifold_diagnostic"",""use_claim_permitted"":""False""},{""intervention_to_scale_matched_random_ratio"":""0.9757326056302574"",""layer_index"":""1"",""mean_directional_derivative"":""0.2312951683998108"",""member_id"":""2864601_0.409"",""perturbation_validity_tag"":""deliberately_off_manifold_diagnostic"",""use_claim_permitted"":""False""},{""intervention_to_scale_matched_random_ratio"":""1.828828563899686"",""layer_index"":""2"",""mean_directional_derivative"":""0.8505998253822327"",""member_id"":""2864601_0.409"",""perturbation_validity_tag"":""deliberately_off_manifold_diagnostic"",""use_claim_permitted"":""True""},{""intervention_to_scale_matched_random_ratio"":""2.8688336669018315"",""layer_index"":""3"",""mean_directional_derivative"":""1.3957349061965942"",""member_id"":""2864601_0.409"",""perturbation_validity_tag"":""deliberately_off_manifold_diagnostic"",""use_claim_permitted"":""True""},{""intervention_to_scale_matched_random_ratio"":""1.5039036072921148"",""layer_index"":""4"",""mean_directional_derivative"":""0.8485115170478821"",""member_id"":""2864601_0.409"",""perturbation_validity_tag"":""deliberately_off_manifold_diagnostic"",""use_claim_permitted"":""True""}]",hidden_intervention,regime-dependent,"{""field"":""use_claim_permitted"",""kind"":""tcav_pass_fraction""}",config.direction_rule:tcav_pass_fraction;use_claim_permitted=12/15,"native max(log Q, -2)","native max(log Q, -2)",tcav_use.csv:estimand,invariant_tilde_f,S01 96-row registered hidden-intervention subset,pooled claim with regime checks retained,deliberately_off_manifold_diagnostic,edit hidden state along matched log_f_Q concept direction,True,True,not_applicable_no_interval_selected,not_applicable,The complete encoding-plus-use gate passes in 12/15 log_f_Q member/layer cells.
E10_FQ_MOTIF,localized_f_Q_integrand_peak,cross_model_consensus,S10,reports/xai/S10_artifacts/motif_catalog.csv,"{""motif_id"":""motif_001""}",unit_ids;member_count;minimum_recurrence;minimum_causal_similarity;s05_supported_unit_count;interpretive_label,1,"[{""interpretive_label"":""f_Q_integrand_p3_Bm1__mean_w25"",""member_count"":""7"",""minimum_causal_similarity"":""0.7080908576391702"",""minimum_recurrence"":""1.0"",""s05_supported_unit_count"":""1"",""unit_ids"":""2864601_0.340:u022|2864601_0.352:u007|2864601_0.355:u027|2864601_0.371:u017|2864601_0.386:u001|2864601_0.409:u021|2864601_0.437:u001""}]",cross_model_functional_matching,supports,"{""basis"":""upstream result interpretation; not used by the headline gate"",""kind"":""interpretive"",""value"":""supports""}",config.direction:interpretive_not_used_for_claim_gate,"native max(log Q, -2)","native max(log Q, -2)",config.estimand,invariant_tilde_f member functions,S01 varied-gradient interpretation panel,stable and unstable gates both required,deliberately_off_manifold_diagnostic,matched hidden-unit mean replacement,True,True,not_applicable_no_interval_selected,not_applicable,A seven-member functional motif is tentatively anchored by u001; only one matched unit has the supported name.
E12_FQ_RECURRENCE,localized_f_Q_integrand_peak,distillation,S12,reports/xai/S12_artifacts/term_recurrence.csv,"{""feature_name"":""f_Q_integrand_w25_peak"",""target_kind"":""member_output""}",target_id;top_k_recurrence;median_importance;importance_ci95_lower;importance_ci95_upper;bootstrap_unit,3,"[{""bootstrap_unit"":""equilibrium_files"",""importance_ci95_lower"":""0.08251485328063869"",""importance_ci95_upper"":""0.15688175949565739"",""median_importance"":""0.12209485273149775"",""target_id"":""2864601_0.437"",""top_k_recurrence"":""0.8333333333333334""},{""bootstrap_unit"":""equilibrium_files"",""importance_ci95_lower"":""0.09163685737878936"",""importance_ci95_upper"":""0.16398944912454058"",""median_importance"":""0.13256919397375674"",""target_id"":""2864601_0.371"",""top_k_recurrence"":""0.8333333333333334""},{""bootstrap_unit"":""equilibrium_files"",""importance_ci95_lower"":""0.08799105684595279"",""importance_ci95_upper"":""0.19516175832707933"",""median_importance"":""0.13014227620373464"",""target_id"":""2864601_0.409"",""top_k_recurrence"":""0.8666666666666667""}]",distillation,supports,"{""field"":""top_k_recurrence"",""kind"":""recurrence_across_members"",""support_threshold"":0.5}",config.direction_rule:recurrence_across_members;range=0.833333-0.866667;support_threshold=0.5,"native max(log Q, -2)","native max(log Q, -2)",config.estimand,three invariant_tilde_f member functions,S01 varied-gradient interpretation panel,all,observed-comparison,not_interventional,False,True,equilibrium_files,reports/xai/S12_artifacts/term_recurrence.csv:bootstrap_unit,The localized peak recurs in 0.83-0.87 of member-output EBM bootstrap refits.
E07_FQ_QZ,localized_f_Q_integrand_peak,Q_z,S07,reports/xai/S07_artifacts/spatial_alignment.csv,"{""gradient_set"":""varied"",""mode"":""signed"",""source_family"":""s05_density"",""source_id"":""2864601_0.437:u001"",""stratum"":""unstable""}",circular_spearman;circular_spearman_ci95_lower;circular_spearman_ci95_upper;best_lag;best_lag_within_tolerance_recurrence;bootstrap_unit;plasma_claims_permitted,1,"[{""best_lag"":""22"",""best_lag_within_tolerance_recurrence"":""0.912"",""bootstrap_unit"":""equilibrium_files"",""circular_spearman"":""-0.360511998599993"",""circular_spearman_ci95_lower"":""-0.3883653797328812"",""circular_spearman_ci95_upper"":""-0.332533286776065"",""plasma_claims_permitted"":""True""}]",gx_spatial_observation,mixed,"{""correlation_field"":""circular_spearman"",""kind"":""signed_spatial_association"",""lag_field"":""best_lag""}",config.direction_rule:signed_spatial_association;median_correlation=-0.360512;median_lag=22,"native max(log Q, -2)","native max(log Q, -2)",config.estimand,invariant_tilde_f density compared with held-out GX Q(z),S01 varied-gradient interpretation panel,unstable,observed-comparison,not_interventional,False,True,equilibrium_files,reports/xai/S07_artifacts/spatial_alignment.csv:bootstrap_unit,"u001 density is negatively and laggedly associated with Q(z), not co-located with high transport."
E13_FQ_ZONAL,localized_f_Q_integrand_peak,zonal_flow,S13,reports/xai/S13_artifacts/fixed_associations.csv,"{""candidate"":""f_Q_integrand_w25_peak"",""gradient_set"":""fixed"",""outcome"":""log10_zonal_phi2"",""regime"":""all""}",spearman_rho;ci95_lower;ci95_upper;bootstrap_unit;claim_grade,1,"[{""bootstrap_unit"":""equilibrium_files"",""ci95_lower"":""0.21446837768464933"",""ci95_upper"":""0.3441255146012989"",""claim_grade"":""observational-physical"",""spearman_rho"":""0.274985650985651""}]",gx_scalar_observation,descriptive,"{""basis"":""upstream result interpretation; not used by the headline gate"",""kind"":""interpretive"",""value"":""descriptive""}",config.direction:interpretive_not_used_for_claim_gate,"native max(log Q, -2)",log10_zonal_phi2,fixed_associations.csv:outcome,observed GX fixed-drive outcome,S01 fixed-gradient comparison panel,all,observed-comparison,not_interventional,False,True,equilibrium_files,reports/xai/S13_artifacts/fixed_associations.csv:bootstrap_unit,"The localized peak has a modest fixed-drive zonal association, not an isolated mechanism."
E13_FQ_NATIVE_ASSOCIATION,localized_f_Q_integrand_peak,natural_experiment,S13,reports/xai/S13_artifacts/fixed_associations.csv,"{""candidate"":""f_Q_integrand_w25_peak"",""gradient_set"":""fixed"",""outcome"":""target_native"",""regime"":""all""}",rows;spearman_rho;ci95_lower;ci95_upper;bootstrap_replicates;bootstrap_unit;validity_tag;claim_grade,1,"[{""bootstrap_replicates"":""500"",""bootstrap_unit"":""equilibrium_files"",""ci95_lower"":""0.7780339061407684"",""ci95_upper"":""0.8340791093676506"",""claim_grade"":""observational-physical"",""rows"":""1000"",""spearman_rho"":""0.8071523595642384"",""validity_tag"":""observed-comparison""}]",gx_scalar_observation,supports,"{""basis"":""upstream result interpretation; not used by the headline gate"",""kind"":""interpretive"",""value"":""supports""}",config.direction:interpretive_not_used_for_claim_gate,"native max(log Q, -2)",target_native,fixed_associations.csv:outcome,observed GX native output,S01 fixed-gradient comparison panel,all,observed-comparison,not_interventional,False,True,equilibrium_files,reports/xai/S13_artifacts/fixed_associations.csv:bootstrap_unit,The localized peak has a strong grouped-bootstrap rank association with native GX output.
